,FRG
2018-07-26,10.5
2018-07-27,10.399999618530273
2018-07-30,10.600000381469727
2018-07-31,10.300000190734863
2018-08-01,9.199999809265137
2018-08-02,9.100000381469727
2018-08-03,9.260000228881836
2018-08-06,9.289999961853027
2018-08-07,10.100000381469727
2018-08-08,10.399999618530273
2018-08-09,10.170000076293945
2018-08-10,10.15999984741211
2018-08-13,10.300000190734863
2018-08-14,10.550000190734863
2018-08-15,10.75
2018-08-16,11.149999618530273
2018-08-17,11.0
2018-08-20,11.050000190734863
2018-08-21,11.100000381469727
2018-08-22,11.380000114440918
2018-08-23,11.4399995803833
2018-08-24,11.319999694824219
2018-08-27,11.399999618530273
2018-08-28,10.949999809265137
2018-08-29,11.199999809265137
2018-08-30,11.319999694824219
2018-08-31,11.5
2018-09-04,11.449999809265137
2018-09-05,11.449999809265137
2018-09-06,11.5
2018-09-07,11.520000457763672
2018-09-10,11.510000228881836
2018-09-11,11.550000190734863
2018-09-12,11.550000190734863
2018-09-13,11.550000190734863
2018-09-14,11.550000190734863
2018-09-17,11.600000381469727
2018-09-18,11.600000381469727
2018-09-19,11.5600004196167
2018-09-20,11.609999656677246
2018-09-21,12.0
2018-09-24,11.600000381469727
2018-09-25,11.600000381469727
2018-09-26,11.5
2018-09-27,11.609999656677246
2018-09-28,11.649999618530273
2018-10-01,11.600000381469727
2018-10-02,11.5
2018-10-03,11.699999809265137
2018-10-04,11.600000381469727
2018-10-05,11.600000381469727
2018-10-08,11.609999656677246
2018-10-09,11.550000190734863
2018-10-10,11.5
2018-10-11,11.5
2018-10-12,11.550000190734863
2018-10-15,11.710000038146973
2018-10-16,11.649999618530273
2018-10-17,11.699999809265137
2018-10-18,11.800000190734863
2018-10-19,11.850000381469727
2018-10-22,11.600000381469727
2018-10-23,11.600000381469727
2018-10-24,11.649999618530273
2018-10-25,11.649999618530273
2018-10-26,11.600000381469727
2018-10-29,10.5
2018-10-30,10.579999923706055
2018-10-31,10.800000190734863
2018-11-01,10.699999809265137
2018-11-02,10.550000190734863
2018-11-05,10.399999618530273
2018-11-06,10.40999984741211
2018-11-07,10.260000228881836
2018-11-08,10.25
2018-11-09,10.100000381469727
2018-11-12,9.5
2018-11-13,9.289999961853027
2018-11-14,9.899999618530273
2018-11-15,10.0
2018-11-16,10.779999732971191
2018-11-19,10.010000228881836
2018-11-20,10.0
2018-11-21,9.75
2018-11-23,9.75
2018-11-26,9.75
2018-11-27,9.800000190734863
2018-11-28,9.510000228881836
2018-11-29,12.300000190734863
2018-11-30,12.1899995803833
2018-12-03,12.0
2018-12-04,11.600000381469727
2018-12-06,11.5
2018-12-07,11.550000190734863
2018-12-10,11.770000457763672
2018-12-11,11.829999923706055
2018-12-12,12.100000381469727
2018-12-13,12.010000228881836
2018-12-14,11.800000190734863
2018-12-17,11.90999984741211
2018-12-18,11.899999618530273
2018-12-19,11.75
2018-12-20,11.40999984741211
2018-12-21,11.600000381469727
2018-12-24,11.649999618530273
2018-12-26,11.649999618530273
2018-12-27,11.850000381469727
2018-12-28,11.75
2018-12-31,11.729999542236328
2019-01-02,11.699999809265137
2019-01-03,11.75
2019-01-04,12.0
2019-01-07,12.050000190734863
2019-01-08,12.220000267028809
2019-01-09,12.100000381469727
2019-01-10,12.149999618530273
2019-01-11,12.25
2019-01-14,12.050000190734863
2019-01-15,12.25
2019-01-16,12.25
2019-01-17,12.0
2019-01-18,12.100000381469727
2019-01-22,12.050000190734863
2019-01-23,12.199999809265137
2019-01-24,12.199999809265137
2019-01-25,12.199999809265137
2019-01-28,11.899999618530273
2019-01-29,12.0
2019-01-30,11.979999542236328
2019-01-31,11.90999984741211
2019-02-01,12.0
2019-02-04,12.0
2019-02-05,11.949999809265137
2019-02-06,11.949999809265137
2019-02-07,11.869999885559082
2019-02-08,11.899999618530273
2019-02-11,11.859999656677246
2019-02-12,11.850000381469727
2019-02-13,11.850000381469727
2019-02-14,11.930000305175781
2019-02-15,11.850000381469727
2019-02-19,11.850000381469727
2019-02-20,11.899999618530273
2019-02-21,11.850000381469727
2019-02-22,11.800000190734863
2019-02-25,11.699999809265137
2019-02-26,11.600000381469727
2019-02-27,11.600000381469727
2019-02-28,11.550000190734863
2019-03-01,11.510000228881836
2019-03-04,11.5
2019-03-05,11.25
2019-03-06,11.25
2019-03-07,10.989999771118164
2019-03-08,10.989999771118164
2019-03-11,10.75
2019-03-12,9.949999809265137
2019-03-13,10.25
2019-03-14,10.0
2019-03-15,10.0600004196167
2019-03-18,10.09000015258789
2019-03-19,10.149999618530273
2019-03-20,10.199999809265137
2019-03-21,10.039999961853027
2019-03-22,10.010000228881836
2019-03-25,10.0
2019-03-26,9.9399995803833
2019-03-27,9.9399995803833
2019-03-28,9.9399995803833
2019-03-29,9.890000343322754
2019-04-01,9.890000343322754
2019-04-02,9.989999771118164
2019-04-03,9.9399995803833
2019-04-04,9.949999809265137
2019-04-05,9.869999885559082
2019-04-08,9.899999618530273
2019-04-09,9.770000457763672
2019-04-10,9.75
2019-04-11,9.890000343322754
2019-04-12,9.789999961853027
2019-04-15,9.529999732971191
2019-04-16,9.520000457763672
2019-04-17,9.5
2019-04-18,9.050000190734863
2019-04-22,9.199999809265137
2019-04-23,9.0
2019-04-24,9.199999809265137
2019-04-25,9.050000190734863
2019-04-26,8.920000076293945
2019-04-29,9.050000190734863
2019-04-30,9.0
2019-05-01,8.949999809265137
2019-05-02,9.0
2019-05-03,9.149999618530273
2019-05-06,10.09000015258789
2019-05-07,10.050000190734863
2019-05-08,10.010000228881836
2019-05-09,10.010000228881836
2019-05-10,10.050000190734863
2019-05-13,9.899999618530273
2019-05-14,9.859999656677246
2019-05-15,9.800000190734863
2019-05-16,9.899999618530273
2019-05-17,9.84000015258789
2019-05-20,9.949999809265137
2019-05-21,9.949999809265137
2019-05-22,9.949999809265137
2019-05-23,9.8100004196167
2019-05-24,10.0
2019-05-28,10.0
2019-05-29,10.020000457763672
2019-05-30,10.0
