,BANR
1995-11-01,71.95247650146484
1995-11-02,75.20661163330078
1995-11-03,73.39875793457031
1995-11-06,73.76033020019531
1995-11-07,73.39875793457031
1995-11-08,73.39875793457031
1995-11-09,75.20661163330078
1995-11-10,75.20661163330078
1995-11-13,73.03719329833984
1995-11-14,74.48347473144531
1995-11-15,74.48347473144531
1995-11-16,73.76033020019531
1995-11-17,74.48347473144531
1995-11-20,74.48347473144531
1995-11-21,75.20661163330078
1995-11-22,75.20661163330078
1995-11-24,74.48347473144531
1995-11-27,75.20661163330078
1995-11-28,74.48347473144531
1995-11-29,75.20661163330078
1995-11-30,75.20661163330078
1995-12-01,75.92974853515625
1995-12-04,75.20661163330078
1995-12-05,75.20661163330078
1995-12-06,76.65289306640625
1995-12-07,75.20661163330078
1995-12-08,75.92974853515625
1995-12-11,74.66425323486328
1995-12-12,75.92974853515625
1995-12-13,75.92974853515625
1995-12-14,75.92974853515625
1995-12-15,75.20661163330078
1995-12-18,73.76033020019531
1995-12-19,74.48347473144531
1995-12-20,75.20661163330078
1995-12-21,75.56818389892578
1995-12-22,75.20661163330078
1995-12-26,76.65289306640625
1995-12-27,75.92974853515625
1995-12-28,75.92974853515625
1995-12-29,75.92974853515625
1996-01-02,75.56818389892578
1996-01-03,76.65289306640625
1996-01-04,76.65289306640625
1996-01-05,76.65289306640625
1996-01-08,76.65289306640625
1996-01-09,76.65289306640625
1996-01-10,76.65289306640625
1996-01-11,76.65289306640625
1996-01-12,76.65289306640625
1996-01-15,77.37602996826172
1996-01-16,77.37602996826172
1996-01-17,78.09917449951172
1996-01-18,78.09917449951172
1996-01-19,77.37602996826172
1996-01-22,78.09917449951172
1996-01-23,77.37602996826172
1996-01-24,76.65289306640625
1996-01-25,76.65289306640625
1996-01-26,76.65289306640625
1996-01-29,75.92974853515625
1996-01-30,74.48347473144531
1996-01-31,74.48347473144531
1996-02-01,74.12190246582031
1996-02-02,74.48347473144531
1996-02-05,75.20661163330078
1996-02-06,75.56818389892578
1996-02-07,77.37602996826172
1996-02-08,76.65289306640625
1996-02-09,76.65289306640625
1996-02-12,75.92974853515625
1996-02-13,75.92974853515625
1996-02-14,75.20661163330078
1996-02-15,75.20661163330078
1996-02-16,75.20661163330078
1996-02-20,73.39875793457031
1996-02-21,73.76033020019531
1996-02-22,74.12190246582031
1996-02-23,73.39875793457031
1996-02-26,74.12190246582031
1996-02-27,73.76033020019531
1996-02-28,74.48347473144531
1996-02-29,74.48347473144531
1996-03-01,73.76033020019531
1996-03-04,72.31404876708984
1996-03-05,72.2236557006836
1996-03-06,73.03719329833984
1996-03-07,73.03719329833984
1996-03-08,71.59091186523438
1996-03-11,71.59091186523438
1996-03-12,71.59091186523438
