,CRCT
2021-03-26,18.0
2021-03-29,18.110000610351562
2021-03-30,18.760000228881836
2021-03-31,19.790000915527344
2021-04-01,20.0
2021-04-05,19.700000762939453
2021-04-06,19.989999771118164
2021-04-07,20.010000228881836
2021-04-08,20.010000228881836
2021-04-09,20.0
2021-04-12,19.850000381469727
2021-04-13,19.979999542236328
2021-04-14,20.020000457763672
2021-04-15,20.0
2021-04-16,20.0
2021-04-19,23.34000015258789
2021-04-20,20.350000381469727
2021-04-21,21.149999618530273
2021-04-22,22.959999084472656
2021-04-23,22.959999084472656
2021-04-26,23.950000762939453
2021-04-27,25.43000030517578
2021-04-28,26.049999237060547
2021-04-29,25.5
2021-04-30,26.5
2021-05-03,26.049999237060547
2021-05-04,25.270000457763672
2021-05-05,24.389999389648438
2021-05-06,22.969999313354492
2021-05-07,22.90999984741211
2021-05-10,20.59000015258789
2021-05-11,20.530000686645508
2021-05-12,19.479999542236328
2021-05-13,20.0
2021-05-14,24.540000915527344
