,CLOVW
2021-01-11,3.359999895095825
2021-01-12,3.3399999141693115
2021-01-13,3.2799999713897705
2021-01-14,3.380000114440918
2021-01-15,3.2200000286102295
2021-01-19,3.450000047683716
2021-01-20,3.549999952316284
2021-01-21,3.450000047683716
2021-01-22,3.5799999237060547
2021-01-25,3.930000066757202
2021-01-26,4.400000095367432
2021-01-27,3.700000047683716
2021-01-28,3.619999885559082
2021-01-29,3.7699999809265137
2021-02-01,3.819999933242798
2021-02-02,3.859999895095825
2021-02-03,3.569999933242798
2021-02-04,3.390000104904175
2021-02-05,3.450000047683716
2021-02-08,3.4200000762939453
2021-02-09,3.5199999809265137
2021-02-10,3.4000000953674316
2021-02-11,3.316999912261963
2021-02-12,3.390000104904175
2021-02-16,3.200000047683716
2021-02-17,3.1700000762939453
2021-02-18,2.930000066757202
2021-02-19,3.240000009536743
2021-02-22,3.25
2021-02-23,2.990000009536743
2021-02-24,2.9749999046325684
2021-02-25,2.690000057220459
2021-02-26,2.5799999237060547
2021-03-01,2.890000104904175
2021-03-02,2.381999969482422
2021-03-03,1.75
2021-03-04,1.75
2021-03-05,2.0
2021-03-08,1.850000023841858
2021-03-09,2.059999942779541
2021-03-10,2.0199999809265137
2021-03-11,2.130000114440918
2021-03-12,2.200000047683716
2021-03-15,2.1700000762939453
2021-03-16,2.0
2021-03-17,1.9900000095367432
2021-03-18,1.9700000286102295
2021-03-19,1.8799999952316284
2021-03-22,1.809999942779541
2021-03-23,1.7599999904632568
2021-03-24,1.600000023841858
2021-03-25,1.4800000190734863
2021-03-26,1.5800000429153442
2021-03-29,1.4500000476837158
2021-03-30,1.440000057220459
2021-03-31,1.6100000143051147
2021-04-01,1.6299999952316284
2021-04-05,1.659999966621399
2021-04-06,1.6200000047683716
2021-04-07,1.5099999904632568
2021-04-08,2.130000114440918
2021-04-09,1.940000057220459
2021-04-12,1.7899999618530273
2021-04-13,1.75
2021-04-14,1.9900000095367432
2021-04-15,1.8200000524520874
2021-04-16,2.319999933242798
2021-04-19,2.799999952316284
2021-04-20,2.2699999809265137
2021-04-21,2.5
2021-04-22,2.2799999713897705
2021-04-23,2.5
2021-04-26,2.859999895095825
2021-04-27,2.890000104904175
2021-04-28,3.2100000381469727
2021-04-29,3.2200000286102295
2021-04-30,3.059999942779541
2021-05-03,2.799999952316284
2021-05-04,2.75
2021-05-05,2.609999895095825
2021-05-06,2.380000114440918
2021-05-07,2.5
2021-05-10,2.4000000953674316
2021-05-11,2.3499999046325684
2021-05-12,2.390000104904175
2021-05-13,2.2300000190734863
2021-05-14,2.1600000858306885
