,ALDX
2014-05-02,7.199999809265137
2014-05-05,6.699999809265137
2014-05-06,6.099999904632568
2014-05-07,6.050000190734863
2014-05-08,6.989999771118164
2014-05-09,6.550000190734863
2014-05-12,6.929999828338623
2014-05-13,6.980000019073486
2014-05-14,6.519999980926514
2014-05-15,7.440000057220459
2014-05-16,7.21999979019165
2014-05-19,7.409999847412109
2014-05-20,7.340000152587891
2014-05-21,6.730000019073486
2014-05-22,6.699999809265137
2014-05-23,6.739999771118164
2014-05-27,6.360000133514404
2014-05-28,6.159999847412109
2014-05-29,6.25
2014-05-30,6.103000164031982
2014-06-02,6.090000152587891
2014-06-03,6.28000020980835
2014-06-04,6.090000152587891
2014-06-05,6.550000190734863
2014-06-06,6.579999923706055
2014-06-09,6.570000171661377
2014-06-10,6.989999771118164
2014-06-11,6.510000228881836
2014-06-12,6.670000076293945
2014-06-13,6.789999961853027
2014-06-16,6.920000076293945
2014-06-17,7.199999809265137
2014-06-18,6.690000057220459
2014-06-19,7.510000228881836
2014-06-20,6.949999809265137
2014-06-23,7.199999809265137
2014-06-24,6.650000095367432
2014-06-25,6.699999809265137
2014-06-26,6.650000095367432
2014-06-27,6.71999979019165
2014-06-30,6.559999942779541
2014-07-01,6.659999847412109
2014-07-02,6.590000152587891
2014-07-03,6.590000152587891
2014-07-07,6.593999862670898
2014-07-08,6.5
2014-07-09,6.699999809265137
2014-07-10,6.309999942779541
2014-07-11,6.539999961853027
2014-07-14,6.099999904632568
2014-07-15,6.0
2014-07-16,5.349999904632568
2014-07-17,4.840000152587891
2014-07-18,4.829999923706055
2014-07-21,4.989999771118164
2014-07-22,4.75
2014-07-23,4.5
2014-07-24,4.289999961853027
2014-07-25,4.269999980926514
2014-07-28,3.630000114440918
2014-07-29,3.8450000286102295
2014-07-30,3.700000047683716
2014-07-31,3.569999933242798
2014-08-01,3.5
2014-08-04,3.3399999141693115
2014-08-05,3.2799999713897705
2014-08-06,3.609999895095825
2014-08-07,3.8399999141693115
2014-08-08,4.150000095367432
2014-08-11,4.320000171661377
2014-08-12,3.9700000286102295
2014-08-13,4.039999961853027
2014-08-14,4.199999809265137
2014-08-15,4.019999980926514
2014-08-18,4.119999885559082
2014-08-19,4.139999866485596
2014-08-20,4.010000228881836
2014-08-21,3.890000104904175
2014-08-22,3.819999933242798
2014-08-25,3.859999895095825
2014-08-26,3.5999999046325684
2014-08-27,3.4000000953674316
2014-08-28,3.3499999046325684
2014-08-29,3.4600000381469727
2014-09-02,3.630000114440918
2014-09-03,3.5999999046325684
2014-09-04,3.890000104904175
2014-09-05,4.210000038146973
2014-09-08,4.050000190734863
2014-09-09,4.170000076293945
2014-09-10,4.079999923706055
2014-09-11,4.150000095367432
2014-09-12,5.03000020980835
2014-09-15,6.565000057220459
2014-09-16,6.880000114440918
2014-09-17,6.949999809265137
2014-09-18,6.900000095367432
2014-09-19,7.400000095367432
2014-09-22,7.300000190734863
2014-09-23,6.840000152587891
2014-09-24,6.539999961853027
2014-09-25,6.139999866485596
2014-09-26,6.099999904632568
2014-09-29,5.769999980926514
2014-09-30,5.920000076293945
2014-10-01,5.989999771118164
2014-10-02,6.0
2014-10-03,6.0
2014-10-06,5.960000038146973
2014-10-07,5.739999771118164
2014-10-08,5.860000133514404
2014-10-09,5.900000095367432
2014-10-10,5.880000114440918
2014-10-13,5.769999980926514
2014-10-14,5.989999771118164
2014-10-15,5.980000019073486
2014-10-16,5.791999816894531
2014-10-17,5.75
2014-10-20,5.889999866485596
2014-10-21,7.949999809265137
2014-10-22,7.190999984741211
2014-10-23,7.849999904632568
2014-10-24,7.809999942779541
2014-10-27,8.244999885559082
2014-10-28,8.989999771118164
2014-10-29,9.760000228881836
2014-10-30,7.5
2014-10-31,6.900000095367432
2014-11-03,6.710000038146973
2014-11-04,7.889999866485596
2014-11-05,7.380000114440918
2014-11-06,7.71999979019165
2014-11-07,7.119999885559082
2014-11-10,7.909999847412109
2014-11-11,7.510000228881836
2014-11-12,7.519999980926514
2014-11-13,7.909999847412109
2014-11-14,7.46999979019165
2014-11-17,7.650000095367432
2014-11-18,7.21999979019165
2014-11-19,7.329999923706055
2014-11-20,7.25
2014-11-21,7.53000020980835
2014-11-24,7.510000228881836
2014-11-25,7.349999904632568
2014-11-26,7.349999904632568
2014-11-28,7.21999979019165
2014-12-01,7.340000152587891
2014-12-02,7.260000228881836
2014-12-03,7.550000190734863
2014-12-04,7.389999866485596
2014-12-05,7.190000057220459
2014-12-08,7.800000190734863
2014-12-09,7.710000038146973
2014-12-10,7.849999904632568
2014-12-11,7.900000095367432
2014-12-12,7.800000190734863
2014-12-15,7.599999904632568
2014-12-16,7.050000190734863
2014-12-17,6.739999771118164
2014-12-18,7.460000038146973
2014-12-19,7.440000057220459
2014-12-22,7.829999923706055
2014-12-23,7.320000171661377
2014-12-24,7.519999980926514
2014-12-26,6.650000095367432
2014-12-29,7.099999904632568
2014-12-30,7.010000228881836
2014-12-31,7.21999979019165
2015-01-02,7.300000190734863
2015-01-05,7.610000133514404
2015-01-06,7.829999923706055
2015-01-07,7.480000019073486
2015-01-08,7.639999866485596
2015-01-09,7.480000019073486
2015-01-12,7.820000171661377
2015-01-13,7.869999885559082
2015-01-14,7.860000133514404
2015-01-15,7.896999835968018
2015-01-16,10.170000076293945
2015-01-20,10.649999618530273
2015-01-21,9.430000305175781
2015-01-22,9.600000381469727
2015-01-23,8.859999656677246
2015-01-26,9.859999656677246
2015-01-27,10.970000267028809
2015-01-28,11.59000015258789
2015-01-29,11.84000015258789
2015-01-30,12.100000381469727
2015-02-02,11.5
2015-02-03,10.680000305175781
2015-02-04,11.09000015258789
2015-02-05,11.350000381469727
2015-02-06,11.630000114440918
2015-02-09,11.149999618530273
2015-02-10,11.25
2015-02-11,10.989999771118164
2015-02-12,11.260000228881836
2015-02-13,11.010000228881836
2015-02-17,11.140000343322754
2015-02-18,11.050000190734863
2015-02-19,11.829999923706055
2015-02-20,10.5
2015-02-23,10.3100004196167
2015-02-24,9.850000381469727
2015-02-25,10.25
2015-02-26,10.270000457763672
2015-02-27,10.199999809265137
2015-03-02,10.579999923706055
2015-03-03,10.600000381469727
2015-03-04,10.390000343322754
2015-03-05,10.5
2015-03-06,10.520000457763672
2015-03-09,10.010000228881836
2015-03-10,10.470000267028809
2015-03-11,10.619999885559082
2015-03-12,10.59000015258789
2015-03-13,10.40999984741211
2015-03-16,11.460000038146973
2015-03-17,11.109999656677246
2015-03-18,11.220000267028809
2015-03-19,10.600000381469727
2015-03-20,10.800000190734863
2015-03-23,10.619999885559082
2015-03-24,10.609999656677246
2015-03-25,10.640999794006348
2015-03-26,10.40999984741211
2015-03-27,10.75
2015-03-30,10.119999885559082
2015-03-31,10.180000305175781
2015-04-01,10.010000228881836
2015-04-02,10.149999618530273
2015-04-06,10.640000343322754
2015-04-07,10.609999656677246
2015-04-08,10.119999885559082
2015-04-09,10.25
2015-04-10,10.28600025177002
2015-04-13,10.119999885559082
2015-04-14,10.449999809265137
2015-04-15,10.489999771118164
2015-04-16,10.59000015258789
2015-04-17,10.970000267028809
2015-04-20,10.720000267028809
2015-04-21,10.75
2015-04-22,9.300000190734863
2015-04-23,9.739999771118164
2015-04-24,9.5600004196167
2015-04-27,9.550000190734863
2015-04-28,9.529999732971191
2015-04-29,9.319999694824219
2015-04-30,9.442999839782715
2015-05-01,9.329999923706055
2015-05-04,9.270000457763672
2015-05-05,9.039999961853027
2015-05-06,8.350000381469727
2015-05-07,8.260000228881836
2015-05-08,7.550000190734863
2015-05-11,7.5
2015-05-12,7.510000228881836
2015-05-13,7.489999771118164
2015-05-14,7.429999828338623
2015-05-15,7.019999980926514
2015-05-18,7.289999961853027
2015-05-19,7.309999942779541
2015-05-20,7.289999961853027
2015-05-21,7.21999979019165
2015-05-22,7.130000114440918
2015-05-26,6.869999885559082
2015-05-27,7.46999979019165
2015-05-28,7.489999771118164
2015-05-29,7.449999809265137
2015-06-01,7.570000171661377
2015-06-02,7.599999904632568
2015-06-03,7.849999904632568
2015-06-04,7.670000076293945
2015-06-05,7.71999979019165
2015-06-08,7.860000133514404
2015-06-09,7.739999771118164
2015-06-10,7.619999885559082
2015-06-11,8.300000190734863
2015-06-12,8.170000076293945
2015-06-15,8.244999885559082
2015-06-16,8.550000190734863
