,BLI
2020-07-17,65.44999694824219
2020-07-20,62.099998474121094
2020-07-21,58.5
2020-07-22,56.0
2020-07-23,58.099998474121094
2020-07-24,59.5
2020-07-27,57.599998474121094
2020-07-28,57.900001525878906
2020-07-29,59.0
2020-07-30,58.599998474121094
2020-07-31,59.970001220703125
2020-08-03,71.19999694824219
2020-08-04,71.86000061035156
2020-08-05,65.95999908447266
2020-08-06,64.0
2020-08-07,57.54999923706055
2020-08-10,58.150001525878906
2020-08-11,56.41999816894531
2020-08-12,60.0
2020-08-13,61.11000061035156
2020-08-14,62.27000045776367
2020-08-17,59.75
2020-08-18,58.77000045776367
2020-08-19,57.72999954223633
2020-08-20,61.52000045776367
2020-08-21,63.29999923706055
2020-08-24,65.93000030517578
2020-08-25,71.8499984741211
2020-08-26,63.0
2020-08-27,63.68000030517578
2020-08-28,67.70999908447266
2020-08-31,65.4000015258789
2020-09-01,64.87999725341797
2020-09-02,66.16999816894531
2020-09-03,63.25
2020-09-04,62.400001525878906
2020-09-08,60.45000076293945
2020-09-09,60.02000045776367
2020-09-10,59.560001373291016
2020-09-11,58.70000076293945
2020-09-14,60.56999969482422
2020-09-15,61.709999084472656
2020-09-16,61.810001373291016
2020-09-17,66.51000213623047
2020-09-18,72.30999755859375
2020-09-21,72.69000244140625
2020-09-22,70.38999938964844
2020-09-23,68.69000244140625
2020-09-24,68.04000091552734
2020-09-25,66.5999984741211
2020-09-28,70.19000244140625
2020-09-29,74.37999725341797
2020-09-30,76.36000061035156
2020-10-01,76.98999786376953
2020-10-02,78.18000030517578
2020-10-05,81.62000274658203
2020-10-06,85.08000183105469
2020-10-07,86.5
2020-10-08,84.5999984741211
2020-10-09,83.97000122070312
2020-10-12,83.61000061035156
2020-10-13,81.05000305175781
2020-10-14,80.38999938964844
2020-10-15,77.44000244140625
2020-10-16,75.11000061035156
2020-10-19,74.95999908447266
2020-10-20,78.55999755859375
2020-10-21,77.13999938964844
2020-10-22,78.55999755859375
2020-10-23,75.5999984741211
2020-10-26,73.80000305175781
2020-10-27,74.75
2020-10-28,78.05999755859375
2020-10-29,75.9000015258789
2020-10-30,72.56999969482422
2020-11-02,70.37999725341797
2020-11-03,71.95999908447266
2020-11-04,75.2699966430664
2020-11-05,79.73999786376953
2020-11-06,83.44999694824219
2020-11-09,87.7300033569336
2020-11-10,87.05999755859375
2020-11-11,82.56999969482422
2020-11-12,90.83000183105469
2020-11-13,95.0
2020-11-16,90.16999816894531
2020-11-17,86.08000183105469
2020-11-18,93.01000213623047
2020-11-19,81.62999725341797
2020-11-20,83.77999877929688
2020-11-23,83.36000061035156
2020-11-24,82.48999786376953
2020-11-25,77.9800033569336
2020-11-27,81.94000244140625
2020-11-30,82.86000061035156
2020-12-01,79.93000030517578
2020-12-02,79.0
2020-12-03,77.2699966430664
2020-12-04,81.27999877929688
2020-12-07,85.37999725341797
2020-12-08,89.3499984741211
2020-12-09,87.62000274658203
2020-12-10,90.0
2020-12-11,89.51000213623047
2020-12-14,82.80999755859375
2020-12-15,83.56999969482422
2020-12-16,87.04000091552734
2020-12-17,88.6500015258789
2020-12-18,94.20500183105469
2020-12-21,103.55999755859375
2020-12-22,106.0
2020-12-23,103.44999694824219
2020-12-24,103.37999725341797
2020-12-28,98.73999786376953
2020-12-29,89.5
2020-12-30,92.0
2020-12-31,89.41000366210938
2021-01-04,83.54000091552734
2021-01-05,88.6500015258789
2021-01-06,87.80000305175781
2021-01-07,89.05999755859375
2021-01-08,88.8499984741211
2021-01-11,89.26000213623047
2021-01-12,87.75
2021-01-13,83.70999908447266
2021-01-14,85.41999816894531
2021-01-15,83.75
2021-01-19,80.83000183105469
2021-01-20,82.77999877929688
2021-01-21,83.01000213623047
2021-01-22,81.02999877929688
2021-01-25,79.94999694824219
2021-01-26,73.22000122070312
2021-01-27,71.33999633789062
2021-01-28,74.55000305175781
2021-01-29,72.0
2021-02-01,71.86000061035156
2021-02-02,77.18000030517578
2021-02-03,76.97000122070312
2021-02-04,77.5999984741211
2021-02-05,78.30999755859375
2021-02-08,79.01000213623047
2021-02-09,80.0
2021-02-10,78.62000274658203
2021-02-11,78.80999755859375
2021-02-12,79.9800033569336
2021-02-16,76.62000274658203
2021-02-17,74.55000305175781
2021-02-18,73.0199966430664
2021-02-19,72.0199966430664
2021-02-22,69.33999633789062
2021-02-23,67.83000183105469
2021-02-24,67.5
2021-02-25,61.90999984741211
2021-02-26,61.970001220703125
2021-03-01,62.29999923706055
2021-03-02,61.849998474121094
2021-03-03,58.779998779296875
2021-03-04,53.720001220703125
2021-03-05,49.744998931884766
2021-03-08,47.81999969482422
2021-03-09,53.310001373291016
2021-03-10,53.09000015258789
2021-03-11,55.45000076293945
2021-03-12,54.2400016784668
2021-03-15,54.2599983215332
2021-03-16,54.209999084472656
2021-03-17,54.869998931884766
2021-03-18,49.88999938964844
2021-03-19,48.810001373291016
2021-03-22,51.13999938964844
2021-03-23,49.400001525878906
2021-03-24,47.150001525878906
2021-03-25,45.45000076293945
2021-03-26,44.779998779296875
2021-03-29,44.4900016784668
2021-03-30,44.33000183105469
2021-03-31,50.22999954223633
2021-04-01,48.85499954223633
2021-04-05,51.29999923706055
2021-04-06,50.459999084472656
2021-04-07,50.790000915527344
2021-04-08,49.08000183105469
2021-04-09,47.2400016784668
2021-04-12,47.63999938964844
2021-04-13,48.779998779296875
2021-04-14,48.43000030517578
2021-04-15,49.06999969482422
2021-04-16,47.93000030517578
2021-04-19,46.880001068115234
2021-04-20,46.7599983215332
2021-04-21,48.02000045776367
2021-04-22,48.849998474121094
2021-04-23,50.040000915527344
2021-04-26,52.9900016784668
2021-04-27,52.79999923706055
2021-04-28,52.95000076293945
2021-04-29,50.380001068115234
2021-04-30,49.11000061035156
2021-05-03,49.310001373291016
2021-05-04,48.189998626708984
2021-05-05,49.119998931884766
2021-05-06,47.91999816894531
2021-05-07,46.5
2021-05-10,45.540000915527344
2021-05-11,43.130001068115234
2021-05-12,39.529998779296875
2021-05-13,36.400001525878906
2021-05-14,37.130001068115234
