,EMXF
2020-10-13,36.54499816894531
2020-10-14,36.44599914550781
2020-10-15,36.44599914550781
2020-10-16,36.290000915527344
2020-10-19,36.40999984741211
2020-10-20,36.40999984741211
2020-10-21,36.40999984741211
2020-10-22,36.40999984741211
2020-10-23,37.0099983215332
2020-10-26,36.54600143432617
2020-10-27,36.6619987487793
2020-10-28,35.849998474121094
2020-10-29,36.231998443603516
2020-10-30,36.231998443603516
2020-11-02,36.349998474121094
2020-11-03,36.349998474121094
2020-11-04,37.869998931884766
2020-11-05,38.439998626708984
2020-11-06,38.76300048828125
2020-11-09,38.76300048828125
2020-11-10,38.75
2020-11-11,38.779998779296875
2020-11-12,38.970001220703125
2020-11-13,39.18199920654297
2020-11-16,39.18199920654297
2020-11-17,39.18199920654297
2020-11-18,39.599998474121094
2020-11-19,39.595001220703125
2020-11-20,39.595001220703125
2020-11-23,40.12799835205078
2020-11-24,40.624000549316406
2020-11-25,40.11000061035156
2020-11-27,40.11000061035156
2020-11-30,39.5880012512207
2020-12-01,40.5
2020-12-02,40.40999984741211
2020-12-03,40.68000030517578
2020-12-04,40.68000030517578
2020-12-07,41.220001220703125
2020-12-08,41.150001525878906
2020-12-09,41.018001556396484
2020-12-10,41.3489990234375
2020-12-11,41.150001525878906
2020-12-14,40.93000030517578
2020-12-15,40.959999084472656
2020-12-16,41.310001373291016
2020-12-17,41.599998474121094
2020-12-18,41.400001525878906
2020-12-21,41.016998291015625
2020-12-22,40.869998931884766
2020-12-23,41.17900085449219
2020-12-24,40.92300033569336
2020-12-28,40.92300033569336
2020-12-29,41.52000045776367
2020-12-30,41.9900016784668
2020-12-31,41.9640007019043
2021-01-04,42.34000015258789
2021-01-05,43.005001068115234
2021-01-06,42.90999984741211
2021-01-07,43.29800033569336
2021-01-08,44.0
2021-01-11,43.90599822998047
2021-01-12,44.22700119018555
2021-01-13,44.34700012207031
2021-01-14,44.81999969482422
2021-01-15,44.05400085449219
2021-01-19,44.816001892089844
2021-01-20,45.696998596191406
2021-01-21,45.81999969482422
2021-01-22,45.560001373291016
2021-01-25,45.72200012207031
2021-01-26,45.380001068115234
2021-01-27,44.2400016784668
2021-01-28,44.53200149536133
2021-01-29,43.56999969482422
2021-02-01,44.2400016784668
2021-02-02,45.10200119018555
2021-02-03,45.37900161743164
2021-02-04,45.143001556396484
2021-02-05,45.439998626708984
2021-02-08,45.290000915527344
2021-02-09,46.16999816894531
2021-02-10,46.34000015258789
2021-02-11,46.88999938964844
2021-02-12,46.91400146484375
2021-02-16,46.93000030517578
2021-02-17,47.040000915527344
2021-02-18,46.130001068115234
2021-02-19,46.55400085449219
2021-02-22,45.36000061035156
2021-02-23,45.5620002746582
2021-02-24,45.119998931884766
2021-02-25,44.17900085449219
2021-02-26,43.560001373291016
2021-03-01,44.540000915527344
2021-03-02,44.15700149536133
2021-03-03,44.28200149536133
2021-03-04,43.17100143432617
2021-03-05,43.49399948120117
2021-03-08,42.400001525878906
2021-03-09,43.005001068115234
2021-03-10,43.2400016784668
2021-03-11,44.60900115966797
2021-03-12,43.93000030517578
2021-03-15,44.02000045776367
2021-03-16,44.268001556396484
2021-03-17,44.31399917602539
2021-03-18,43.560001373291016
2021-03-19,44.03300094604492
2021-03-22,44.040000915527344
2021-03-23,43.388999938964844
2021-03-24,42.319000244140625
2021-03-25,42.650001525878906
2021-03-26,43.573001861572266
2021-03-29,43.1609992980957
2021-03-30,43.45800018310547
2021-03-31,43.74399948120117
2021-04-01,44.20000076293945
2021-04-05,44.3390007019043
2021-04-06,44.422000885009766
2021-04-07,44.0099983215332
2021-04-08,44.27799987792969
2021-04-09,43.941001892089844
2021-04-12,43.40999984741211
2021-04-13,43.551998138427734
2021-04-14,43.79800033569336
2021-04-15,44.25699996948242
2021-04-16,44.38999938964844
2021-04-19,44.305999755859375
2021-04-20,44.1609992980957
2021-04-21,44.374000549316406
2021-04-22,44.374000549316406
2021-04-23,44.7869987487793
2021-04-26,44.9010009765625
2021-04-27,44.88100051879883
2021-04-28,45.25699996948242
2021-04-29,45.25699996948242
2021-04-30,44.30699920654297
2021-05-03,44.37200164794922
2021-05-04,43.70100021362305
2021-05-05,43.880001068115234
2021-05-06,44.36800003051758
2021-05-07,45.029998779296875
2021-05-10,44.38999938964844
2021-05-11,43.810001373291016
2021-05-12,42.5099983215332
2021-05-13,42.736000061035156
2021-05-14,43.53300094604492
