,FEMS
2012-02-17,30.799999237060547
2012-02-21,30.799999237060547
2012-02-22,30.799999237060547
2012-02-23,30.799999237060547
2012-02-24,31.280000686645508
2012-02-27,31.049999237060547
2012-02-28,31.18000030517578
2012-02-29,31.469999313354492
2012-03-01,31.469999313354492
2012-03-02,31.469999313354492
2012-03-05,31.469999313354492
2012-03-06,31.469999313354492
2012-03-07,31.469999313354492
2012-03-08,31.469999313354492
2012-03-09,31.469999313354492
2012-03-12,31.469999313354492
2012-03-13,46.59000015258789
2012-03-14,31.09000015258789
2012-03-15,31.09000015258789
2012-03-16,31.350000381469727
2012-03-19,31.350000381469727
2012-03-20,30.729999542236328
2012-03-21,30.729999542236328
2012-03-22,30.450000762939453
2012-03-23,30.530000686645508
2012-03-26,30.530000686645508
2012-03-27,30.770000457763672
2012-03-28,30.770000457763672
2012-03-29,30.770000457763672
2012-03-30,30.770000457763672
2012-04-02,30.770000457763672
2012-04-03,30.770000457763672
2012-04-04,30.770000457763672
2012-04-05,30.770000457763672
2012-04-09,30.770000457763672
2012-04-10,30.770000457763672
2012-04-11,30.770000457763672
2012-04-12,29.6200008392334
2012-04-13,29.6200008392334
2012-04-16,29.399999618530273
2012-04-17,29.399999618530273
2012-04-18,29.399999618530273
2012-04-19,29.399999618530273
2012-04-20,29.399999618530273
2012-04-23,29.010000228881836
2012-04-24,29.010000228881836
2012-04-25,29.010000228881836
2012-04-26,29.010000228881836
2012-04-27,29.010000228881836
2012-04-30,29.010000228881836
2012-05-01,29.010000228881836
2012-05-02,29.010000228881836
2012-05-03,29.760000228881836
2012-05-04,29.760000228881836
2012-05-07,29.760000228881836
2012-05-08,29.760000228881836
2012-05-09,29.760000228881836
2012-05-10,28.6200008392334
2012-05-11,28.3700008392334
2012-05-14,28.3700008392334
2012-05-15,28.3700008392334
2012-05-16,26.889999389648438
2012-05-17,26.75
2012-05-18,26.75
2012-05-21,26.75
2012-05-22,26.75
2012-05-23,26.75
2012-05-24,26.75
2012-05-25,26.75
2012-05-29,26.75
2012-05-30,26.3700008392334
2012-05-31,26.3700008392334
2012-06-01,26.3700008392334
2012-06-04,25.399999618530273
2012-06-05,25.770000457763672
2012-06-06,25.770000457763672
2012-06-07,25.770000457763672
2012-06-08,25.770000457763672
2012-06-11,25.770000457763672
2012-06-12,25.770000457763672
2012-06-13,25.770000457763672
2012-06-14,25.770000457763672
2012-06-15,25.770000457763672
2012-06-18,27.149999618530273
2012-06-19,27.149999618530273
2012-06-20,27.149999618530273
2012-06-21,26.790000915527344
2012-06-22,26.450000762939453
2012-06-25,26.450000762939453
2012-06-26,26.450000762939453
2012-06-27,26.360000610351562
2012-06-28,26.360000610351562
2012-06-29,26.360000610351562
2012-07-02,27.219999313354492
2012-07-03,27.219999313354492
2012-07-05,27.5
2012-07-06,27.5
2012-07-09,27.5
2012-07-10,27.5
2012-07-11,27.5
2012-07-12,27.5
2012-07-13,27.5
2012-07-16,27.5
2012-07-17,27.5
2012-07-18,27.5
2012-07-19,27.5
2012-07-20,27.5
2012-07-23,27.5
2012-07-24,27.5
2012-07-25,27.5
2012-07-26,27.5
2012-07-27,27.5
2012-07-30,27.5
2012-07-31,27.5
