,FCEF
2016-09-29,20.100000381469727
2016-09-30,20.100000381469727
2016-10-03,20.200000762939453
2016-10-04,20.200000762939453
2016-10-05,20.15999984741211
2016-10-06,20.200000762939453
2016-10-07,20.200000762939453
2016-10-10,20.479999542236328
2016-10-11,20.079999923706055
2016-10-12,19.95599937438965
2016-10-13,19.899999618530273
2016-10-14,19.920000076293945
2016-10-17,19.829999923706055
2016-10-18,19.780000686645508
2016-10-19,19.780000686645508
2016-10-20,19.860000610351562
2016-10-21,19.784000396728516
2016-10-24,19.784000396728516
2016-10-25,19.850000381469727
2016-10-26,19.780000686645508
2016-10-27,19.670000076293945
2016-10-28,19.670000076293945
2016-10-31,19.545000076293945
2016-11-01,19.545000076293945
2016-11-02,19.260000228881836
2016-11-03,19.016000747680664
2016-11-04,18.961999893188477
2016-11-07,19.030000686645508
2016-11-08,19.260000228881836
2016-11-09,19.39900016784668
2016-11-10,19.360000610351562
2016-11-11,19.222000122070312
2016-11-14,19.149999618530273
2016-11-15,19.309999465942383
2016-11-16,19.420000076293945
2016-11-17,19.469999313354492
2016-11-18,19.469999313354492
2016-11-21,19.600000381469727
2016-11-22,19.59000015258789
2016-11-23,19.579999923706055
2016-11-25,19.700000762939453
2016-11-28,19.68000030517578
2016-11-29,19.59000015258789
2016-11-30,19.61400032043457
2016-12-01,19.503999710083008
2016-12-02,19.540000915527344
2016-12-05,19.600000381469727
2016-12-06,19.739999771118164
2016-12-07,19.860000610351562
2016-12-08,19.840999603271484
2016-12-09,19.90999984741211
2016-12-12,19.829999923706055
2016-12-13,19.959999084472656
2016-12-14,19.889999389648438
2016-12-15,19.889999389648438
2016-12-16,19.940000534057617
2016-12-19,19.95400047302246
2016-12-20,20.030000686645508
2016-12-21,19.924999237060547
2016-12-22,19.93000030517578
2016-12-23,20.020000457763672
2016-12-27,20.030000686645508
2016-12-28,20.020000457763672
2016-12-29,20.027000427246094
2016-12-30,20.027000427246094
2017-01-03,20.15999984741211
2017-01-04,20.149999618530273
2017-01-05,20.219999313354492
2017-01-06,20.329999923706055
2017-01-09,20.350000381469727
2017-01-10,20.389999389648438
2017-01-11,20.399999618530273
2017-01-12,20.3799991607666
2017-01-13,20.409000396728516
2017-01-17,20.450000762939453
2017-01-18,20.415000915527344
2017-01-19,20.344999313354492
2017-01-20,20.28499984741211
2017-01-23,20.32200050354004
2017-01-24,20.415000915527344
2017-01-25,20.559999465942383
2017-01-26,20.59000015258789
2017-01-27,20.59000015258789
