,BPOP
1980-03-17,2.9166669845581055
1980-03-18,2.9166669845581055
1980-03-19,2.9166669845581055
1980-03-20,2.9166669845581055
1980-03-21,2.9166669845581055
1980-03-24,2.9166669845581055
1980-03-25,2.9166669845581055
1980-03-26,2.9166669845581055
1980-03-27,2.9166669845581055
1980-03-28,2.8333330154418945
1980-03-31,2.8333330154418945
1980-04-01,2.8333330154418945
1980-04-02,2.8333330154418945
1980-04-03,2.8333330154418945
1980-04-07,2.8333330154418945
1980-04-08,2.75
1980-04-09,2.75
1980-04-10,2.75
1980-04-11,2.6666669845581055
1980-04-14,2.6666669845581055
1980-04-15,2.6666669845581055
1980-04-16,2.6666669845581055
1980-04-17,2.5
1980-04-18,2.5833330154418945
1980-04-21,2.5833330154418945
1980-04-22,2.5833330154418945
1980-04-23,2.5833330154418945
1980-04-24,2.5833330154418945
1980-04-25,2.5833330154418945
1980-04-28,2.5833330154418945
1980-04-29,2.5833330154418945
1980-04-30,2.5833330154418945
1980-05-01,2.5833330154418945
1980-05-02,2.5833330154418945
1980-05-05,2.6666669845581055
1980-05-06,2.6666669845581055
1980-05-07,2.6666669845581055
1980-05-08,2.6666669845581055
1980-05-09,2.6666669845581055
1980-05-12,2.6666669845581055
1980-05-13,2.6666669845581055
1980-05-14,2.6666669845581055
1980-05-15,2.6666669845581055
1980-05-16,2.6666669845581055
1980-05-19,2.6666669845581055
1980-05-20,2.6666669845581055
1980-05-21,2.6666669845581055
1980-05-22,2.75
1980-05-23,2.75
1980-05-27,2.75
1980-05-28,2.75
1980-05-29,2.75
1980-05-30,2.75
1980-06-02,2.75
1980-06-03,2.75
1980-06-04,2.75
1980-06-05,2.75
1980-06-06,2.75
1980-06-09,2.75
1980-06-10,2.75
1980-06-11,2.6666669845581055
1980-06-12,2.6666669845581055
1980-06-13,2.6666669845581055
1980-06-16,2.6666669845581055
1980-06-17,2.6666669845581055
1980-06-18,2.6666669845581055
1980-06-19,2.6666669845581055
1980-06-20,2.6666669845581055
1980-06-23,2.6666669845581055
1980-06-24,2.6666669845581055
1980-06-25,2.6666669845581055
1980-06-26,2.6666669845581055
1980-06-27,2.6666669845581055
1980-06-30,2.6666669845581055
1980-07-01,2.6666669845581055
1980-07-02,2.6666669845581055
1980-07-03,2.5833330154418945
1980-07-07,2.5833330154418945
1980-07-08,2.5833330154418945
1980-07-09,2.5833330154418945
1980-07-10,2.5833330154418945
1980-07-11,2.5833330154418945
1980-07-14,2.5833330154418945
1980-07-15,2.5833330154418945
1980-07-16,2.5833330154418945
1980-07-17,2.6666669845581055
1980-07-18,2.6666669845581055
1980-07-21,2.6666669845581055
1980-07-22,2.6666669845581055
1980-07-23,2.8333330154418945
1980-07-24,2.8333330154418945
1980-07-25,2.8333330154418945
1980-07-28,2.8333330154418945
1980-07-29,2.8333330154418945
1980-07-30,2.8333330154418945
1980-07-31,2.8333330154418945
1980-08-01,2.8333330154418945
1980-08-04,2.8333330154418945
1980-08-05,2.8333330154418945
1980-08-06,2.8333330154418945
1980-08-07,2.8333330154418945
1980-08-08,2.75
1980-08-11,2.8333330154418945
1980-08-12,2.75
1980-08-13,2.75
1980-08-14,2.75
1980-08-15,2.75
1980-08-18,2.75
1980-08-19,2.75
1980-08-20,2.75
1980-08-21,2.75
1980-08-22,2.5833330154418945
1980-08-25,2.5833330154418945
1980-08-26,2.5833330154418945
1980-08-27,2.5833330154418945
1980-08-28,2.5833330154418945
1980-08-29,2.5833330154418945
1980-09-02,2.5833330154418945
1980-09-03,2.5833330154418945
1980-09-04,2.5833330154418945
1980-09-05,2.5833330154418945
1980-09-08,2.5833330154418945
1980-09-09,2.5833330154418945
1980-09-10,2.5833330154418945
1980-09-11,2.5833330154418945
1980-09-12,2.5833330154418945
1980-09-15,2.6666669845581055
1980-09-16,2.6666669845581055
1980-09-17,2.6666669845581055
1980-09-18,2.6666669845581055
1980-09-19,2.6666669845581055
1980-09-22,2.6666669845581055
1980-09-23,2.6666669845581055
1980-09-24,2.6666669845581055
1980-09-25,2.6666669845581055
1980-09-26,2.6666669845581055
1980-09-29,2.6666669845581055
1980-09-30,2.6666669845581055
