,DCOMP
2020-01-30,25.479999542236328
2020-01-31,25.68000030517578
2020-02-03,25.670000076293945
2020-02-04,25.850000381469727
2020-02-05,25.850000381469727
2020-02-06,25.940000534057617
2020-02-07,25.75
2020-02-10,25.850000381469727
2020-02-11,25.799999237060547
2020-02-12,25.799999237060547
2020-02-13,25.719999313354492
2020-02-14,25.65999984741211
2020-02-18,25.690000534057617
2020-02-19,25.68000030517578
2020-02-20,25.649999618530273
2020-02-21,25.613000869750977
2020-02-24,25.200000762939453
2020-02-25,25.049999237060547
2020-02-26,25.049999237060547
2020-02-27,24.920000076293945
2020-02-28,24.5
2020-03-02,24.799999237060547
2020-03-03,25.0
2020-03-04,25.18000030517578
2020-03-05,24.989999771118164
2020-03-06,25.0
2020-03-09,24.0
2020-03-10,24.799999237060547
2020-03-11,23.649999618530273
2020-03-12,22.666000366210938
2020-03-13,22.950000762939453
2020-03-16,21.969999313354492
2020-03-17,22.299999237060547
2020-03-18,20.0
2020-03-19,19.0
2020-03-20,19.0
2020-03-23,18.0
2020-03-24,17.6299991607666
2020-03-25,18.0
2020-03-26,20.5
2020-03-27,19.5
2020-03-30,18.950000762939453
2020-03-31,18.989999771118164
2020-04-01,18.5
2020-04-02,17.81999969482422
2020-04-03,17.697999954223633
2020-04-06,17.597000122070312
2020-04-07,18.1299991607666
2020-04-08,19.5
2020-04-09,20.700000762939453
2020-04-13,20.0
2020-04-14,20.549999237060547
2020-04-15,21.011999130249023
2020-04-16,21.229999542236328
2020-04-17,21.75
2020-04-20,21.25
2020-04-21,20.5
2020-04-22,21.059999465942383
2020-04-23,21.033000946044922
2020-04-24,22.3799991607666
2020-04-27,22.76099967956543
2020-04-28,22.899999618530273
2020-04-29,23.5
2020-04-30,23.200000762939453
2020-05-01,22.799999237060547
2020-05-04,22.600000381469727
2020-05-05,22.090999603271484
2020-05-06,22.0
2020-05-07,22.167999267578125
2020-05-08,22.5
2020-05-11,22.299999237060547
2020-05-12,22.100000381469727
2020-05-13,22.0
2020-05-14,21.448999404907227
2020-05-15,21.5
2020-05-18,21.25
2020-05-19,21.37299919128418
2020-05-20,21.325000762939453
2020-05-21,21.75
2020-05-22,21.75
2020-05-26,21.832000732421875
2020-05-27,21.510000228881836
2020-05-28,22.024999618530273
2020-05-29,21.850000381469727
2020-06-01,21.924999237060547
2020-06-02,21.940000534057617
2020-06-03,20.850000381469727
2020-06-04,20.790000915527344
2020-06-05,21.049999237060547
2020-06-08,21.0
2020-06-09,21.0
2020-06-10,20.950000762939453
2020-06-11,19.5
2020-06-12,19.93000030517578
2020-06-15,20.139999389648438
2020-06-16,20.18000030517578
2020-06-17,20.1299991607666
2020-06-18,20.299999237060547
2020-06-19,20.1299991607666
2020-06-22,20.31999969482422
2020-06-23,20.31999969482422
2020-06-24,20.25
2020-06-25,20.25
2020-06-26,20.459999084472656
2020-06-29,20.350000381469727
2020-06-30,20.489999771118164
2020-07-01,20.3799991607666
2020-07-02,20.59000015258789
2020-07-06,20.420000076293945
2020-07-07,20.399999618530273
2020-07-08,20.3700008392334
2020-07-09,20.229999542236328
2020-07-10,20.260000228881836
2020-07-13,20.25
2020-07-14,20.1299991607666
2020-07-15,20.239999771118164
2020-07-16,20.190000534057617
2020-07-17,20.149999618530273
2020-07-20,20.190000534057617
2020-07-21,20.219999313354492
2020-07-22,20.18000030517578
2020-07-23,20.049999237060547
2020-07-24,20.100000381469727
2020-07-27,20.0
2020-07-28,19.969999313354492
2020-07-29,20.299999237060547
2020-07-30,20.329999923706055
2020-07-31,20.200000762939453
2020-08-03,20.200000762939453
2020-08-04,20.360000610351562
2020-08-05,20.079999923706055
2020-08-06,20.290000915527344
2020-08-07,20.700000762939453
2020-08-10,21.549999237060547
2020-08-11,21.790000915527344
2020-08-12,22.149999618530273
2020-08-13,22.290000915527344
2020-08-14,22.209999084472656
2020-08-17,22.229999542236328
2020-08-18,22.420000076293945
2020-08-19,22.43000030517578
2020-08-20,22.40999984741211
2020-08-21,22.420000076293945
2020-08-24,22.739999771118164
2020-08-25,22.600000381469727
2020-08-26,22.5
2020-08-27,22.649999618530273
2020-08-28,22.649999618530273
2020-08-31,22.649999618530273
2020-09-01,22.600000381469727
2020-09-02,22.639999389648438
2020-09-03,22.420000076293945
2020-09-04,22.350000381469727
2020-09-08,22.389999389648438
2020-09-09,22.559999465942383
2020-09-10,22.5
2020-09-11,22.360000610351562
2020-09-14,22.489999771118164
2020-09-15,22.459999084472656
2020-09-16,22.520000457763672
2020-09-17,22.520000457763672
2020-09-18,22.540000915527344
2020-09-21,22.450000762939453
2020-09-22,22.260000228881836
2020-09-23,22.260000228881836
2020-09-24,22.0
2020-09-25,22.440000534057617
2020-09-28,22.389999389648438
2020-09-29,22.420000076293945
2020-09-30,22.530000686645508
2020-10-01,22.42300033569336
2020-10-02,22.420000076293945
2020-10-05,22.260000228881836
2020-10-06,22.65999984741211
2020-10-07,23.049999237060547
2020-10-08,23.0
2020-10-09,22.690000534057617
2020-10-12,22.969999313354492
2020-10-13,22.850000381469727
2020-10-14,22.690000534057617
2020-10-15,22.989999771118164
2020-10-16,23.299999237060547
2020-10-19,23.40999984741211
2020-10-20,23.520000457763672
2020-10-21,23.530000686645508
2020-10-22,23.531999588012695
2020-10-23,23.559999465942383
2020-10-26,23.649999618530273
2020-10-27,23.889999389648438
2020-10-28,23.809999465942383
2020-10-29,24.0
2020-10-30,24.280000686645508
2020-11-02,24.309999465942383
2020-11-03,24.420000076293945
2020-11-04,24.700000762939453
2020-11-05,24.323999404907227
2020-11-06,24.260000228881836
2020-11-09,24.489999771118164
2020-11-10,24.5
2020-11-11,24.600000381469727
2020-11-12,24.700000762939453
2020-11-13,24.690000534057617
2020-11-16,24.940000534057617
2020-11-17,24.75
2020-11-18,24.81399917602539
2020-11-19,24.75
2020-11-20,24.8700008392334
2020-11-23,24.934999465942383
2020-11-24,24.90999984741211
2020-11-25,24.90999984741211
2020-11-27,24.889999389648438
2020-11-30,24.920000076293945
2020-12-01,24.8799991607666
2020-12-02,24.8799991607666
2020-12-03,24.899999618530273
2020-12-04,24.84000015258789
2020-12-07,24.84000015258789
2020-12-08,24.850000381469727
2020-12-09,25.0
2020-12-10,25.0
2020-12-11,24.920000076293945
2020-12-14,24.979999542236328
2020-12-15,25.0
2020-12-16,25.0
2020-12-17,25.270000457763672
2020-12-18,25.25
2020-12-21,25.3700008392334
2020-12-22,25.389999389648438
2020-12-23,25.437999725341797
2020-12-24,25.59000015258789
2020-12-28,25.764999389648438
2020-12-29,25.600000381469727
2020-12-30,25.790000915527344
2020-12-31,25.639999389648438
2021-01-04,25.850000381469727
2021-01-05,25.979999542236328
2021-01-06,25.43000030517578
2021-01-07,25.09000015258789
2021-01-08,25.389999389648438
2021-01-11,25.040000915527344
2021-01-12,25.020000457763672
2021-01-13,25.190000534057617
2021-01-14,25.15999984741211
2021-01-15,25.530000686645508
2021-01-19,25.690000534057617
2021-01-20,25.709999084472656
2021-01-21,25.715999603271484
2021-01-22,25.73200035095215
2021-01-25,25.680999755859375
2021-01-26,25.09000015258789
2021-01-27,25.350000381469727
2021-01-28,25.399999618530273
2021-01-29,25.360000610351562
2021-02-01,25.489999771118164
2021-02-02,25.299999237060547
2021-02-03,25.059999465942383
