,CGNX
1989-07-20,0.3476560115814209
1989-07-21,0.3359380066394806
1989-07-24,0.3398439884185791
1989-07-25,0.3398439884185791
1989-07-26,0.34375
1989-07-27,0.3554689884185791
1989-07-28,0.3476560115814209
1989-07-31,0.3476560115814209
1989-08-01,0.34375
1989-08-02,0.3476560115814209
1989-08-03,0.3476560115814209
1989-08-04,0.3476560115814209
1989-08-07,0.3476560115814209
1989-08-08,0.3554689884185791
1989-08-09,0.3554689884185791
1989-08-10,0.3554689884185791
1989-08-11,0.3554689884185791
1989-08-14,0.3554689884185791
1989-08-15,0.3476560115814209
1989-08-16,0.34375
1989-08-17,0.3515630066394806
1989-08-18,0.3398439884185791
1989-08-21,0.3203130066394806
1989-08-22,0.3203130066394806
1989-08-23,0.3203130066394806
1989-08-24,0.3242189884185791
1989-08-25,0.3242189884185791
1989-08-28,0.3320310115814209
1989-08-29,0.328125
1989-08-30,0.3359380066394806
1989-08-31,0.3398439884185791
1989-09-01,0.3515630066394806
1989-09-05,0.3671880066394806
1989-09-06,0.3671880066394806
1989-09-07,0.3632810115814209
1989-09-08,0.3671880066394806
1989-09-11,0.359375
1989-09-12,0.3554689884185791
1989-09-13,0.3515630066394806
1989-09-14,0.3515630066394806
1989-09-15,0.359375
1989-09-18,0.375
1989-09-19,0.3710939884185791
1989-09-20,0.3632810115814209
1989-09-21,0.3632810115814209
1989-09-22,0.375
1989-09-25,0.3632810115814209
1989-09-26,0.3710939884185791
1989-09-27,0.3710939884185791
1989-09-28,0.375
1989-09-29,0.3789060115814209
1989-10-02,0.3867189884185791
1989-10-03,0.3867189884185791
1989-10-04,0.3867189884185791
1989-10-05,0.3867189884185791
1989-10-06,0.4296880066394806
1989-10-09,0.4765630066394806
1989-10-10,0.5
1989-10-11,0.4960939884185791
1989-10-12,0.4726560115814209
1989-10-13,0.4726560115814209
1989-10-16,0.4414060115814209
1989-10-17,0.4609380066394806
1989-10-18,0.4882810115814209
1989-10-19,0.5195310115814209
1989-10-20,0.5078129768371582
1989-10-23,0.4882810115814209
1989-10-24,0.4921880066394806
1989-10-25,0.5625
1989-10-26,0.5429689884185791
1989-10-27,0.5390629768371582
1989-10-30,0.5195310115814209
1989-10-31,0.5273439884185791
1989-11-01,0.5195310115814209
1989-11-02,0.515625
1989-11-03,0.5234379768371582
1989-11-06,0.515625
1989-11-07,0.5117189884185791
1989-11-08,0.5078129768371582
1989-11-09,0.515625
1989-11-10,0.5117189884185791
1989-11-13,0.5117189884185791
1989-11-14,0.5078129768371582
1989-11-15,0.5078129768371582
1989-11-16,0.5039060115814209
1989-11-17,0.5
1989-11-20,0.4882810115814209
1989-11-21,0.4882810115814209
1989-11-22,0.5
1989-11-24,0.5
1989-11-27,0.4882810115814209
1989-11-28,0.5195310115814209
1989-11-29,0.515625
1989-11-30,0.5234379768371582
1989-12-01,0.515625
1989-12-04,0.515625
1989-12-05,0.5078129768371582
1989-12-06,0.5117189884185791
1989-12-07,0.515625
1989-12-08,0.5078129768371582
1989-12-11,0.4960939884185791
1989-12-12,0.5039060115814209
1989-12-13,0.5039060115814209
1989-12-14,0.5039060115814209
1989-12-15,0.515625
1989-12-18,0.5195310115814209
1989-12-19,0.515625
1989-12-20,0.546875
1989-12-21,0.5585939884185791
1989-12-22,0.578125
1989-12-26,0.6132810115814209
1989-12-27,0.6210939884185791
1989-12-28,0.6210939884185791
1989-12-29,0.6328129768371582
1990-01-02,0.65625
1990-01-03,0.6484379768371582
1990-01-04,0.6328129768371582
1990-01-05,0.6210939884185791
1990-01-08,0.6210939884185791
1990-01-09,0.625
1990-01-10,0.625
1990-01-11,0.625
1990-01-12,0.6289060115814209
1990-01-15,0.6289060115814209
1990-01-16,0.625
1990-01-17,0.609375
1990-01-18,0.59375
1990-01-19,0.5859379768371582
1990-01-22,0.5742189884185791
1990-01-23,0.578125
1990-01-24,0.578125
1990-01-25,0.5820310115814209
1990-01-26,0.5859379768371582
1990-01-29,0.5820310115814209
1990-01-30,0.4609380066394806
1990-01-31,0.46875
1990-02-01,0.4765630066394806
1990-02-02,0.4765630066394806
1990-02-05,0.4726560115814209
1990-02-06,0.46875
1990-02-07,0.4609380066394806
1990-02-08,0.5078129768371582
1990-02-09,0.5390629768371582
1990-02-12,0.5546879768371582
1990-02-13,0.5546879768371582
1990-02-14,0.546875
1990-02-15,0.5625
1990-02-16,0.546875
1990-02-20,0.5703129768371582
