,BMBL
2021-02-11,70.30999755859375
2021-02-12,75.45999908447266
2021-02-16,78.88999938964844
2021-02-17,77.31999969482422
2021-02-18,74.0
2021-02-19,71.75
2021-02-22,67.19999694824219
2021-02-23,65.47000122070312
2021-02-24,68.5
2021-02-25,63.97999954223633
2021-02-26,67.30999755859375
2021-03-01,74.51000213623047
2021-03-02,67.87000274658203
2021-03-03,62.0099983215332
2021-03-04,59.63999938964844
2021-03-05,61.650001525878906
2021-03-08,60.5
2021-03-09,63.29999923706055
2021-03-10,62.90999984741211
2021-03-11,69.76000213623047
2021-03-12,69.26000213623047
2021-03-15,73.47000122070312
2021-03-16,73.0
2021-03-17,72.66999816894531
2021-03-18,66.19000244140625
2021-03-19,68.16000366210938
2021-03-22,68.37000274658203
2021-03-23,65.94000244140625
2021-03-24,62.68000030517578
2021-03-25,61.720001220703125
2021-03-26,62.599998474121094
2021-03-29,62.060001373291016
2021-03-30,59.400001525878906
2021-03-31,62.380001068115234
2021-04-01,61.47999954223633
2021-04-05,63.9900016784668
2021-04-06,63.33000183105469
2021-04-07,62.869998931884766
2021-04-08,63.02000045776367
2021-04-09,60.209999084472656
2021-04-12,58.5
2021-04-13,59.52000045776367
2021-04-14,60.08000183105469
2021-04-15,60.290000915527344
2021-04-16,59.810001373291016
2021-04-19,59.0
2021-04-20,55.869998931884766
2021-04-21,57.54999923706055
2021-04-22,58.119998931884766
2021-04-23,58.959999084472656
2021-04-26,60.36000061035156
2021-04-27,59.220001220703125
2021-04-28,62.599998474121094
2021-04-29,60.83000183105469
2021-04-30,60.2400016784668
2021-05-03,58.25
2021-05-04,55.27000045776367
2021-05-05,56.150001525878906
2021-05-06,55.709999084472656
2021-05-07,57.9900016784668
2021-05-10,53.11000061035156
2021-05-11,50.650001525878906
2021-05-12,47.2400016784668
2021-05-13,40.47999954223633
2021-05-14,42.81999969482422
