,CLDX
1986-05-15,877.5
1986-05-16,742.5
1986-05-19,720.0
1986-05-20,810.0
1986-05-21,787.5
1986-05-22,810.0
1986-05-23,787.5
1986-05-27,810.0
1986-05-28,855.0
1986-05-29,832.5
1986-05-30,810.0
1986-06-02,787.5
1986-06-03,742.5
1986-06-04,765.0
1986-06-05,855.0
1986-06-06,922.5
1986-06-09,855.0
1986-06-10,855.0
1986-06-11,877.5
1986-06-12,855.0
1986-06-13,855.0
1986-06-16,855.0
1986-06-17,787.5
1986-06-18,787.5
1986-06-19,810.0
1986-06-20,810.0
1986-06-23,810.0
1986-06-24,787.5
1986-06-25,787.5
1986-06-26,787.5
1986-06-27,742.5
1986-06-30,742.5
1986-07-01,742.5
1986-07-02,765.0
1986-07-03,832.5
1986-07-07,810.0
1986-07-08,787.5
1986-07-09,810.0
1986-07-10,810.0
1986-07-11,787.5
1986-07-14,765.0
1986-07-15,742.5
1986-07-16,765.0
1986-07-17,765.0
1986-07-18,742.5
1986-07-21,742.5
1986-07-22,742.5
1986-07-23,742.5
1986-07-24,787.5
1986-07-25,765.0
1986-07-28,697.5
1986-07-29,742.5
1986-07-30,720.0
1986-07-31,742.5
1986-08-01,720.0
1986-08-04,720.0
1986-08-05,720.0
1986-08-06,697.5
1986-08-07,720.0
1986-08-08,697.5
1986-08-11,675.0
1986-08-12,675.0
1986-08-13,675.0
1986-08-14,630.0
1986-08-15,607.5
1986-08-18,607.5
1986-08-19,630.0
1986-08-20,630.0
1986-08-21,607.5
1986-08-22,630.0
1986-08-25,607.5
1986-08-26,585.0
1986-08-27,607.5
1986-08-28,607.5
1986-08-29,585.0
1986-09-02,607.5
1986-09-03,585.0
1986-09-04,562.5
1986-09-05,562.5
1986-09-08,540.0
1986-09-09,495.0
1986-09-10,472.5
1986-09-11,450.0
1986-09-12,405.0
1986-09-15,427.5
1986-09-16,472.5
1986-09-17,472.5
1986-09-18,495.0
1986-09-19,562.5
1986-09-22,607.5
1986-09-23,540.0
1986-09-24,540.0
1986-09-25,517.5
1986-09-26,517.5
1986-09-29,517.5
1986-09-30,517.5
1986-10-01,517.5
1986-10-02,517.5
1986-10-03,517.5
1986-10-06,517.5
1986-10-07,517.5
1986-10-08,517.5
1986-10-09,517.5
1986-10-10,495.0
1986-10-13,472.5
1986-10-14,472.5
1986-10-15,472.5
1986-10-16,472.5
1986-10-17,472.5
1986-10-20,472.5
1986-10-21,450.0
1986-10-22,450.0
1986-10-23,450.0
1986-10-24,427.5
1986-10-27,450.0
1986-10-28,472.5
1986-10-29,495.0
1986-10-30,495.0
1986-10-31,495.0
1986-11-03,495.0
1986-11-04,495.0
1986-11-05,495.0
1986-11-06,495.0
1986-11-07,495.0
1986-11-10,495.0
1986-11-11,495.0
1986-11-12,517.5
1986-11-13,517.5
1986-11-14,517.5
1986-11-17,517.5
1986-11-18,517.5
1986-11-19,585.0
1986-11-20,630.0
1986-11-21,630.0
1986-11-24,630.0
1986-11-25,652.5
1986-11-26,652.5
1986-11-28,652.5
1986-12-01,630.0
1986-12-02,630.0
1986-12-03,630.0
1986-12-04,607.5
1986-12-05,607.5
1986-12-08,630.0
1986-12-09,630.0
1986-12-10,630.0
1986-12-11,630.0
1986-12-12,630.0
1986-12-15,585.0
1986-12-16,607.5
1986-12-17,585.0
1986-12-18,562.5
1986-12-19,562.5
1986-12-22,540.0
1986-12-23,562.5
1986-12-24,562.5
1986-12-26,607.5
1986-12-29,585.0
1986-12-30,585.0
1986-12-31,607.5
1987-01-02,607.5
1987-01-05,675.0
1987-01-06,697.5
1987-01-07,697.5
1987-01-08,697.5
1987-01-09,742.5
1987-01-12,720.0
1987-01-13,742.5
1987-01-14,787.5
1987-01-15,787.5
1987-01-16,765.0
1987-01-19,742.5
1987-01-20,765.0
1987-01-21,697.5
1987-01-22,765.0
1987-01-23,787.5
1987-01-26,742.5
1987-01-27,742.5
1987-01-28,765.0
1987-01-29,765.0
1987-01-30,697.5
1987-02-02,742.5
1987-02-03,720.0
1987-02-04,697.5
1987-02-05,765.0
1987-02-06,787.5
1987-02-09,765.0
1987-02-10,810.0
1987-02-11,832.5
1987-02-12,832.5
1987-02-13,832.5
1987-02-17,967.5
1987-02-18,900.0
1987-02-19,900.0
1987-02-20,877.5
1987-02-23,877.5
1987-02-24,855.0
1987-02-25,900.0
1987-02-26,922.5
1987-02-27,967.5
1987-03-02,945.0
1987-03-03,967.5
1987-03-04,945.0
1987-03-05,990.0
1987-03-06,1057.5
1987-03-09,1035.0
1987-03-10,1057.5
1987-03-11,1057.5
1987-03-12,1057.5
1987-03-13,1035.0
1987-03-16,1080.0
1987-03-17,1080.0
1987-03-18,1057.5
1987-03-19,1057.5
1987-03-20,1057.5
1987-03-23,1035.0
1987-03-24,1035.0
1987-03-25,1012.5
1987-03-26,1057.5
1987-03-27,967.5
1987-03-30,900.0
1987-03-31,900.0
