,CENHU
2021-02-04,10.369999885559082
2021-02-05,10.5
2021-02-08,10.539999961853027
2021-02-09,10.600000381469727
2021-02-10,10.550000190734863
2021-02-11,10.510000228881836
2021-02-12,10.550000190734863
2021-02-16,10.550000190734863
2021-02-17,10.529999732971191
2021-02-18,10.5
2021-02-19,10.5
2021-02-22,10.460000038146973
2021-02-23,10.359999656677246
2021-02-24,10.34000015258789
2021-02-25,10.25
2021-02-26,10.270000457763672
2021-03-01,10.270000457763672
2021-03-02,10.100000381469727
2021-03-03,10.079999923706055
2021-03-04,10.100000381469727
2021-03-05,10.09000015258789
2021-03-08,10.09000015258789
2021-03-09,10.050000190734863
2021-03-10,10.0600004196167
2021-03-11,10.069999694824219
2021-03-12,10.029999732971191
2021-03-15,10.029999732971191
2021-03-16,9.949999809265137
2021-03-17,10.0
2021-03-18,9.970000267028809
2021-03-19,9.989999771118164
2021-03-22,9.989999771118164
2021-03-23,9.869999885559082
2021-03-24,9.869999885559082
2021-03-25,9.819999694824219
2021-03-26,9.899999618530273
2021-03-29,9.949999809265137
2021-03-30,9.949999809265137
2021-03-31,9.937000274658203
2021-04-01,9.920000076293945
2021-04-05,9.989999771118164
2021-04-06,10.100000381469727
2021-04-07,10.100000381469727
2021-04-08,10.100000381469727
2021-04-09,10.039999961853027
2021-04-12,10.010000228881836
2021-04-13,10.079999923706055
2021-04-14,10.081999778747559
2021-04-15,10.0
2021-04-16,10.020000457763672
2021-04-19,10.029999732971191
2021-04-20,10.0
2021-04-21,10.0
2021-04-22,10.0
2021-04-23,10.0
2021-04-26,10.0
2021-04-27,10.010000228881836
2021-04-28,10.0
2021-04-29,9.949999809265137
2021-04-30,9.949999809265137
2021-05-03,10.0
2021-05-04,10.0
2021-05-05,10.0
2021-05-06,9.989999771118164
2021-05-07,9.989999771118164
2021-05-10,9.989999771118164
2021-05-11,10.0
2021-05-12,10.079999923706055
2021-05-13,10.074999809265137
2021-05-14,10.069999694824219
