,ASPCU
2021-02-19,10.470000267028809
2021-02-22,10.5
2021-02-23,10.40999984741211
2021-02-24,10.449999809265137
2021-02-25,10.460000038146973
2021-02-26,10.399999618530273
2021-03-01,10.479999542236328
2021-03-02,10.399999618530273
2021-03-03,10.390000343322754
2021-03-04,10.239999771118164
2021-03-05,10.239999771118164
2021-03-08,10.25
2021-03-09,10.149999618530273
2021-03-10,10.079999923706055
2021-03-11,10.180000305175781
2021-03-12,10.130000114440918
2021-03-15,10.175000190734863
2021-03-16,10.119999885559082
2021-03-17,10.074999809265137
2021-03-18,10.010000228881836
2021-03-19,10.100000381469727
2021-03-22,9.949999809265137
2021-03-23,9.970000267028809
2021-03-24,9.899999618530273
2021-03-25,9.869999885559082
2021-03-26,10.140000343322754
2021-03-29,9.970000267028809
2021-03-30,9.899999618530273
2021-03-31,9.989999771118164
2021-04-01,10.0
2021-04-05,10.0
2021-04-06,10.0
2021-04-07,10.039999961853027
2021-04-08,10.0
2021-04-09,10.100000381469727
2021-04-12,10.095000267028809
2021-04-13,10.09000015258789
2021-04-14,10.100000381469727
2021-04-15,10.029999732971191
2021-04-16,10.050000190734863
2021-04-19,10.0600004196167
2021-04-20,10.020000457763672
2021-04-21,10.0
2021-04-22,10.0
2021-04-23,9.960000038146973
2021-04-26,9.960000038146973
2021-04-27,10.020000457763672
2021-04-28,10.010000228881836
2021-04-29,10.0
2021-04-30,10.0
2021-05-03,10.029999732971191
2021-05-04,10.0
2021-05-05,9.989999771118164
2021-05-06,9.979999542236328
2021-05-07,10.0
2021-05-10,10.0
2021-05-11,10.0
2021-05-12,10.0
2021-05-13,10.0
2021-05-14,10.0
