,SYNT
1997-08-12,4.5
1997-08-13,5.5
1997-08-14,5.875
1997-08-15,5.666500091552734
1997-08-18,5.25
1997-08-19,4.916500091552734
1997-08-20,5.458499908447266
1997-08-21,5.333499908447266
1997-08-22,5.291500091552734
1997-08-25,5.5
1997-08-26,5.541500091552734
1997-08-27,5.541500091552734
1997-08-28,5.583499908447266
1997-08-29,5.625
1997-09-02,5.5
1997-09-03,5.583499908447266
1997-09-04,5.416500091552734
1997-09-05,5.166500091552734
1997-09-08,5.416500091552734
1997-09-09,
1997-09-10,5.416500091552734
1997-09-11,5.291500091552734
1997-09-12,5.208499908447266
1997-09-15,5.0625
1997-09-16,5.0
1997-09-17,4.979499816894531
1997-09-18,5.0
1997-09-19,4.958499908447266
1997-09-22,4.916500091552734
1997-09-23,4.875
1997-09-24,4.833499908447266
1997-09-25,4.916500091552734
1997-09-26,5.125
1997-09-29,5.333499908447266
1997-09-30,5.291500091552734
1997-10-01,5.166500091552734
1997-10-02,5.0
1997-10-03,5.083499908447266
1997-10-06,5.083499908447266
1997-10-07,5.083499908447266
1997-10-08,5.083499908447266
1997-10-09,5.125
1997-10-10,5.125
1997-10-13,5.041500091552734
1997-10-14,5.0
1997-10-15,5.0
1997-10-16,4.854499816894531
1997-10-17,4.666500091552734
1997-10-20,4.583499908447266
1997-10-21,4.666500091552734
1997-10-22,4.625
1997-10-23,4.458499908447266
1997-10-24,4.5
1997-10-27,4.395999908447266
1997-10-28,4.375
1997-10-29,4.708499908447266
1997-10-30,4.75
1997-10-31,4.666500091552734
1997-11-03,4.625
1997-11-04,4.5
1997-11-05,4.416500091552734
1997-11-06,4.416500091552734
1997-11-07,4.208499908447266
1997-11-10,4.25
1997-11-11,4.333499908447266
1997-11-12,4.166500091552734
1997-11-13,4.166500091552734
1997-11-14,4.166500091552734
1997-11-17,4.125
1997-11-18,4.0
1997-11-19,4.0
1997-11-20,3.75
1997-11-21,3.7084999084472656
1997-11-24,3.6665000915527344
1997-11-25,
1997-11-26,3.6665000915527344
1997-11-28,3.7709999084472656
1997-12-01,3.625
1997-12-02,3.5
1997-12-03,3.5834999084472656
1997-12-04,3.625
1997-12-05,3.5209999084472656
1997-12-08,3.625
1997-12-09,3.5834999084472656
1997-12-10,3.4165000915527344
1997-12-11,3.25
1997-12-12,3.1875
1997-12-15,3.0
1997-12-16,3.125
1997-12-17,3.0
1997-12-18,3.0
1997-12-19,3.1459999084472656
1997-12-22,3.7084999084472656
1997-12-23,4.020999908447266
1997-12-24,4.416500091552734
1997-12-26,4.791500091552734
1997-12-29,4.5
1997-12-30,4.583499908447266
1997-12-31,4.75
1998-01-02,4.666500091552734
1998-01-05,4.666500091552734
1998-01-06,4.583499908447266
1998-01-07,4.75
1998-01-08,4.666500091552734
1998-01-09,4.5
1998-01-12,4.4375
1998-01-13,4.666500091552734
1998-01-14,
1998-01-15,4.75
1998-01-16,4.833499908447266
1998-01-20,4.916500091552734
1998-01-21,5.145999908447266
1998-01-22,5.375
1998-01-23,5.25
1998-01-26,5.25
1998-01-27,5.104499816894531
1998-01-28,5.0
1998-01-29,5.0
1998-01-30,5.0
1998-02-02,5.1875
1998-02-03,5.104499816894531
1998-02-04,5.333499908447266
1998-02-05,5.583499908447266
1998-02-06,5.708499908447266
1998-02-09,6.375
1998-02-10,6.958499908447266
1998-02-11,7.625
1998-02-12,7.041500091552734
1998-02-13,7.270999908447266
1998-02-17,7.458499908447266
1998-02-18,7.5625
1998-02-19,8.645999908447266
1998-02-20,9.125
1998-02-23,9.833499908447266
1998-02-24,9.666500091552734
1998-02-25,8.666500091552734
1998-02-26,8.25
1998-02-27,9.0
1998-03-02,9.708499908447266
1998-03-03,10.083499908447266
1998-03-04,10.666500091552734
1998-03-05,10.854499816894531
1998-03-06,11.625
1998-03-09,11.958499908447266
1998-03-10,12.916500091552734
1998-03-11,12.125
1998-03-12,11.25
1998-03-13,10.541500091552734
1998-03-16,10.020999908447266
1998-03-17,9.875
1998-03-18,11.541500091552734
1998-03-19,12.333499908447266
1998-03-20,11.666500091552734
1998-03-23,10.958499908447266
1998-03-24,11.75
1998-03-25,12.479499816894531
1998-03-26,12.166500091552734
1998-03-27,12.583499908447266
1998-03-30,12.708499908447266
1998-03-31,13.666500091552734
1998-04-01,14.145999908447266
1998-04-02,15.708499908447266
1998-04-03,16.145999908447266
1998-04-06,16.333499908447266
1998-04-07,15.708499908447266
1998-04-08,16.125
1998-04-09,18.666500091552734
1998-04-13,17.875
1998-04-14,16.666500091552734
1998-04-15,17.75
1998-04-16,17.291500091552734
1998-04-17,17.375
1998-04-20,18.5625
1998-04-21,17.5
1998-04-22,16.85449981689453
1998-04-23,16.5
1998-04-24,15.4375
1998-04-27,14.75
1998-04-28,16.125
1998-04-29,16.5625
1998-04-30,16.25
1998-05-01,15.625
1998-05-04,15.031499862670898
1998-05-05,14.593999862670898
1998-05-06,14.375
1998-05-07,13.875
1998-05-08,14.8125
1998-05-11,14.375
1998-05-12,14.125
1998-05-13,12.5
