,NWG
2007-10-18,210.53659057617188
2007-10-19,204.8780517578125
2007-10-22,205.85365295410156
2007-10-23,208.19512939453125
2007-10-24,209.756103515625
2007-10-25,208.5853729248047
2007-10-26,211.51219177246094
2007-10-29,212.09756469726562
2007-10-30,208.0
2007-10-31,213.46340942382812
2007-11-01,206.43902587890625
2007-11-02,201.36585998535156
2007-11-05,194.14634704589844
2007-11-06,190.243896484375
2007-11-07,181.26829528808594
2007-11-08,176.19512939453125
2007-11-09,166.63414001464844
2007-11-12,179.31707763671875
2007-11-13,193.36585998535156
2007-11-14,189.46340942382812
2007-11-15,181.0731658935547
2007-11-16,174.243896484375
2007-11-19,164.48780822753906
2007-11-20,168.0
2007-11-21,165.46340942382812
2007-11-23,172.09756469726562
2007-11-26,168.78048706054688
2007-11-27,174.43902587890625
2007-11-28,183.21951293945312
2007-11-29,181.85365295410156
2007-11-30,188.09756469726562
2007-12-03,189.26829528808594
2007-12-04,181.26829528808594
2007-12-05,188.2926788330078
2007-12-06,194.9268341064453
2007-12-07,195.1219482421875
2007-12-10,200.19512939453125
2007-12-11,188.09756469726562
2007-12-12,186.53659057617188
2007-12-13,178.34146118164062
2007-12-14,174.8292694091797
2007-12-17,169.1707305908203
2007-12-18,171.7073211669922
2007-12-19,168.5853729248047
2007-12-20,169.9512176513672
2007-12-21,175.4146270751953
2007-12-24,178.53659057617188
2007-12-26,178.34146118164062
2007-12-27,176.97561645507812
2007-12-28,174.63414001464844
2007-12-31,174.63414001464844
2008-01-02,171.90243530273438
2008-01-03,173.65853881835938
2008-01-04,163.51219177246094
2008-01-07,164.68292236328125
2008-01-08,161.756103515625
2008-01-09,162.9268341064453
2008-01-10,158.243896484375
2008-01-11,159.4146270751953
2008-01-14,163.90243530273438
2008-01-15,154.9268341064453
2008-01-16,153.756103515625
2008-01-17,149.0731658935547
2008-01-18,146.34146118164062
2008-01-22,148.48780822753906
2008-01-23,149.26829528808594
2008-01-24,158.0487823486328
2008-01-25,151.4146270751953
2008-01-28,151.80487060546875
2008-01-29,157.65853881835938
2008-01-30,153.56097412109375
2008-01-31,153.56097412109375
2008-02-01,154.9268341064453
2008-02-04,157.0731658935547
2008-02-05,147.7073211669922
2008-02-06,144.39024353027344
2008-02-07,142.243896484375
2008-02-08,140.8780517578125
2008-02-11,140.2926788330078
2008-02-12,143.80487060546875
2008-02-13,144.97561645507812
2008-02-14,139.51219177246094
2008-02-15,137.756103515625
2008-02-19,141.46340942382812
2008-02-20,141.65853881835938
2008-02-21,144.5853729248047
2008-02-22,149.0731658935547
2008-02-25,157.0731658935547
2008-02-26,162.73170471191406
2008-02-27,160.5853729248047
2008-02-28,158.8292694091797
2008-02-29,148.68292236328125
2008-03-03,145.756103515625
