,AAL
2005-09-27,19.299999237060547
2005-09-28,20.5
2005-09-29,20.209999084472656
2005-09-30,21.010000228881836
2005-10-03,21.5
2005-10-04,22.15999984741211
2005-10-05,22.200000762939453
2005-10-06,22.579999923706055
2005-10-07,22.149999618530273
2005-10-10,22.209999084472656
2005-10-11,21.979999542236328
2005-10-12,21.760000228881836
2005-10-13,21.709999084472656
2005-10-14,22.270000457763672
2005-10-17,22.079999923706055
2005-10-18,21.489999771118164
2005-10-19,21.3799991607666
2005-10-20,21.020000457763672
2005-10-21,21.959999084472656
2005-10-24,22.309999465942383
2005-10-25,22.0
2005-10-26,22.31999969482422
2005-10-27,22.559999465942383
2005-10-28,23.899999618530273
2005-10-31,24.68000030517578
2005-11-01,25.020000457763672
2005-11-02,27.549999237060547
2005-11-03,27.8700008392334
2005-11-04,28.799999237060547
2005-11-07,28.93000030517578
2005-11-08,29.43000030517578
2005-11-09,31.299999237060547
2005-11-10,32.79999923706055
2005-11-11,33.349998474121094
2005-11-14,33.75
2005-11-15,33.880001068115234
2005-11-16,33.599998474121094
2005-11-17,34.31999969482422
2005-11-18,33.04999923706055
2005-11-21,31.989999771118164
2005-11-22,32.5
2005-11-23,33.040000915527344
2005-11-25,32.849998474121094
2005-11-28,33.40999984741211
2005-11-29,32.900001525878906
2005-11-30,33.59000015258789
2005-12-01,34.279998779296875
2005-12-02,34.279998779296875
2005-12-05,32.349998474121094
2005-12-06,33.619998931884766
2005-12-07,33.95000076293945
2005-12-08,33.65999984741211
2005-12-09,33.880001068115234
2005-12-12,33.7599983215332
2005-12-13,33.25
2005-12-14,33.540000915527344
2005-12-15,33.630001068115234
2005-12-16,35.150001525878906
2005-12-19,35.25
2005-12-20,35.31999969482422
2005-12-21,36.5099983215332
2005-12-22,36.83000183105469
2005-12-23,37.72999954223633
2005-12-27,37.459999084472656
2005-12-28,37.45000076293945
2005-12-29,37.380001068115234
2005-12-30,37.13999938964844
2006-01-03,37.45000076293945
2006-01-04,39.20000076293945
2006-01-05,39.709999084472656
2006-01-06,39.0
2006-01-09,38.61000061035156
2006-01-10,37.79999923706055
2006-01-11,34.79999923706055
2006-01-12,34.9900016784668
2006-01-13,34.04999923706055
2006-01-17,30.0
2006-01-18,31.0
