,FDUSZ
2019-02-11,25.020000457763672
2019-02-12,25.08799934387207
2019-02-13,25.149999618530273
2019-02-14,25.24799919128418
2019-02-15,25.299999237060547
2019-02-19,25.260000228881836
2019-02-20,25.18000030517578
2019-02-21,25.200000762939453
2019-02-22,25.190000534057617
2019-02-25,25.229999542236328
2019-02-26,25.290000915527344
2019-02-27,25.260000228881836
2019-02-28,25.200000762939453
2019-03-01,25.25
2019-03-04,25.257999420166016
2019-03-05,25.25
2019-03-06,25.2450008392334
2019-03-07,25.270000457763672
2019-03-08,25.299999237060547
2019-03-11,25.25
2019-03-12,25.280000686645508
2019-03-13,25.389999389648438
2019-03-14,25.31999969482422
2019-03-15,25.3700008392334
2019-03-18,25.260000228881836
2019-03-19,25.34000015258789
2019-03-20,25.280000686645508
2019-03-21,25.450000762939453
2019-03-22,25.989999771118164
2019-03-25,25.450000762939453
2019-03-26,25.399999618530273
2019-03-27,25.33300018310547
2019-03-28,25.399999618530273
2019-03-29,25.329999923706055
2019-04-01,25.405000686645508
2019-04-02,25.545000076293945
2019-04-03,25.540000915527344
2019-04-04,25.459999084472656
2019-04-05,25.503999710083008
2019-04-08,25.510000228881836
2019-04-09,25.44499969482422
2019-04-10,25.67799949645996
2019-04-11,25.579999923706055
2019-04-12,25.530000686645508
2019-04-15,25.649999618530273
2019-04-16,25.690000534057617
2019-04-17,25.62299919128418
2019-04-18,25.700000762939453
2019-04-22,25.68000030517578
2019-04-23,25.700000762939453
2019-04-24,25.59000015258789
2019-04-25,25.479999542236328
2019-04-26,25.510000228881836
2019-04-29,25.65999984741211
2019-04-30,25.339000701904297
2019-05-01,25.399999618530273
2019-05-02,25.32200050354004
2019-05-03,25.31999969482422
2019-05-06,25.389999389648438
2019-05-07,25.448999404907227
2019-05-08,25.350000381469727
2019-05-09,25.384000778198242
2019-05-10,25.472000122070312
2019-05-13,25.639999389648438
2019-05-14,25.548999786376953
2019-05-15,25.6299991607666
2019-05-16,25.469999313354492
2019-05-17,25.43000030517578
2019-05-20,25.50200080871582
2019-05-21,25.600000381469727
2019-05-22,25.440000534057617
2019-05-23,25.599000930786133
2019-05-24,25.649999618530273
2019-05-28,25.700000762939453
2019-05-29,25.68400001525879
2019-05-30,25.700000762939453
2019-05-31,25.75
2019-06-03,25.549999237060547
2019-06-04,25.690000534057617
2019-06-05,25.618999481201172
2019-06-06,25.6299991607666
2019-06-07,25.777000427246094
2019-06-10,25.700000762939453
2019-06-11,25.75
2019-06-12,25.683000564575195
2019-06-13,25.74799919128418
2019-06-14,25.625
2019-06-17,25.799999237060547
2019-06-18,25.530000686645508
2019-06-19,25.56999969482422
2019-06-20,25.719999313354492
2019-06-21,25.5
2019-06-24,25.68000030517578
2019-06-25,25.68000030517578
2019-06-26,25.84000015258789
2019-06-27,25.70199966430664
2019-06-28,25.700000762939453
2019-07-01,25.600000381469727
2019-07-02,25.670000076293945
2019-07-03,25.66900062561035
2019-07-05,25.780000686645508
2019-07-08,25.809999465942383
2019-07-09,25.860000610351562
2019-07-10,25.940000534057617
2019-07-11,25.940000534057617
2019-07-12,26.149999618530273
2019-07-15,26.100000381469727
2019-07-16,25.99799919128418
2019-07-17,26.239999771118164
2019-07-18,26.0
2019-07-19,25.924999237060547
2019-07-22,25.891000747680664
2019-07-23,25.979999542236328
2019-07-24,25.989999771118164
2019-07-25,25.8799991607666
2019-07-26,25.81399917602539
2019-07-29,25.920000076293945
2019-07-30,25.920000076293945
2019-07-31,25.753000259399414
2019-08-01,25.775999069213867
2019-08-02,25.552000045776367
2019-08-05,25.350000381469727
2019-08-06,25.638999938964844
2019-08-07,25.399999618530273
2019-08-08,25.3700008392334
2019-08-09,25.3700008392334
2019-08-12,25.51799964904785
2019-08-13,25.579999923706055
2019-08-14,25.62700080871582
2019-08-15,25.63800048828125
2019-08-16,25.780000686645508
2019-08-19,25.66900062561035
2019-08-20,25.871999740600586
2019-08-21,25.5
2019-08-22,25.5
2019-08-23,25.687000274658203
2019-08-26,25.576000213623047
2019-08-27,25.790000915527344
2019-08-28,25.729999542236328
2019-08-29,25.56999969482422
2019-08-30,25.56999969482422
2019-09-03,25.711999893188477
2019-09-04,25.75200080871582
2019-09-05,26.0
2019-09-06,26.0
2019-09-09,26.0
2019-09-10,25.979999542236328
2019-09-11,25.940000534057617
2019-09-12,25.809999465942383
2019-09-13,25.90999984741211
2019-09-16,27.57200050354004
2019-09-17,26.0
2019-09-18,26.149999618530273
2019-09-19,26.209999084472656
2019-09-20,26.299999237060547
2019-09-23,26.100000381469727
2019-09-24,25.940000534057617
2019-09-25,25.91900062561035
2019-09-26,26.0
2019-09-27,25.959999084472656
2019-09-30,26.59000015258789
2019-10-01,25.899999618530273
2019-10-02,26.25
2019-10-03,26.399999618530273
2019-10-04,26.0
2019-10-07,26.219999313354492
2019-10-08,25.989999771118164
2019-10-09,26.100000381469727
2019-10-10,25.989999771118164
2019-10-11,26.190000534057617
2019-10-14,26.15999984741211
2019-10-15,26.0
2019-10-16,25.940000534057617
2019-10-17,25.88800048828125
2019-10-18,26.0
2019-10-21,25.954999923706055
2019-10-22,25.989999771118164
2019-10-23,26.149999618530273
2019-10-24,25.959999084472656
2019-10-25,25.98200035095215
2019-10-28,26.104999542236328
2019-10-29,26.0
2019-10-30,26.09000015258789
2019-10-31,25.700000762939453
2019-11-01,25.83300018310547
2019-11-04,25.78499984741211
2019-11-05,25.79800033569336
2019-11-06,25.909000396728516
2019-11-07,25.792999267578125
2019-11-08,25.84000015258789
2019-11-11,25.8799991607666
2019-11-12,26.0
2019-11-13,25.899999618530273
2019-11-14,25.899999618530273
2019-11-15,25.947999954223633
2019-11-18,25.860000610351562
