,HON
1970-03-25,3.8532021045684814
1970-03-26,3.8532021045684814
1970-03-30,3.8134779930114746
1970-03-31,3.7737538814544678
1970-04-01,3.8134779930114746
1970-04-02,3.7936160564422607
1970-04-03,3.8333399295806885
1970-04-06,3.7737538814544678
1970-04-07,3.8333399295806885
1970-04-08,3.7936160564422607
1970-04-09,3.7737538814544678
1970-04-10,3.6943070888519287
1970-04-13,3.7141690254211426
1970-04-14,3.6943070888519287
1970-04-15,3.6744449138641357
1970-04-16,3.436103105545044
1970-04-17,3.3367929458618164
1970-04-20,3.297070026397705
1970-04-21,3.277208089828491
1970-04-22,3.297070026397705
1970-04-23,3.297070026397705
1970-04-24,3.277208089828491
1970-04-27,3.297070026397705
1970-04-28,3.158036947250366
1970-04-29,3.3367929458618164
1970-04-30,3.2573459148406982
1970-05-01,3.1778979301452637
1970-05-04,3.1183130741119385
1970-05-05,3.0984508991241455
1970-05-06,3.0984508991241455
1970-05-07,3.0587270259857178
1970-05-08,3.019002914428711
1970-05-11,2.9594180583953857
1970-05-12,2.9395558834075928
1970-05-13,2.899832010269165
1970-05-14,2.8601090908050537
1970-05-15,2.899832010269165
1970-05-18,2.899832010269165
1970-05-19,2.780661106109619
1970-05-20,2.701214075088501
1970-05-21,2.780661106109619
1970-05-22,2.760798931121826
1970-05-25,2.562180995941162
1970-05-26,2.5820419788360596
1970-05-27,2.800523042678833
1970-05-28,3.038865089416504
1970-05-29,3.1381750106811523
1970-06-01,3.0984508991241455
1970-06-02,3.038865089416504
1970-06-03,3.0785889625549316
1970-06-04,2.9792799949645996
1970-06-05,2.919693946838379
1970-06-08,2.919693946838379
1970-06-09,2.8601090908050537
1970-06-10,2.820384979248047
1970-06-11,2.780661106109619
1970-06-12,2.780661106109619
1970-06-15,2.780661106109619
1970-06-16,2.820384979248047
1970-06-17,2.8402469158172607
1970-06-18,2.820384979248047
1970-06-19,2.8402469158172607
1970-06-22,2.7409369945526123
1970-06-23,2.701214075088501
1970-06-24,2.6416280269622803
1970-06-25,2.721076011657715
1970-06-26,2.780661106109619
1970-06-29,2.661489963531494
1970-06-30,2.701214075088501
1970-07-01,2.800523042678833
1970-07-02,2.780661106109619
1970-07-06,2.681351900100708
1970-07-07,2.701214075088501
1970-07-08,2.681351900100708
1970-07-09,2.780661106109619
1970-07-10,2.899832010269165
1970-07-13,3.1183130741119385
1970-07-14,3.0587270259857178
1970-07-15,3.0785889625549316
1970-07-16,3.038865089416504
1970-07-17,3.0587270259857178
1970-07-20,2.919693946838379
1970-07-21,2.8601090908050537
1970-07-22,2.919693946838379
1970-07-23,3.0785889625549316
1970-07-24,3.038865089416504
1970-07-27,3.038865089416504
1970-07-28,2.9991419315338135
1970-07-29,3.019002914428711
1970-07-30,2.919693946838379
1970-07-31,2.9792799949645996
1970-08-03,2.899832010269165
1970-08-04,2.879970073699951
1970-08-05,2.8601090908050537
1970-08-06,2.820384979248047
1970-08-07,2.8601090908050537
1970-08-10,2.8402469158172607
1970-08-11,2.8601090908050537
1970-08-12,2.8601090908050537
1970-08-13,2.820384979248047
1970-08-14,2.8402469158172607
1970-08-17,2.800523042678833
1970-08-18,2.8402469158172607
1970-08-19,2.8601090908050537
1970-08-20,2.899832010269165
1970-08-21,3.0785889625549316
1970-08-24,3.1381750106811523
1970-08-25,3.2573459148406982
1970-08-26,3.3566548824310303
1970-08-27,3.3566548824310303
1970-08-28,3.416240930557251
1970-08-31,3.495687961578369
1970-09-01,3.3367929458618164
1970-09-02,3.3765170574188232
1970-09-03,3.3765170574188232
1970-09-04,3.297070026397705
1970-09-08,3.2573459148406982
1970-09-09,3.2573459148406982
1970-09-10,3.2176220417022705
1970-09-11,3.2573459148406982
1970-09-14,3.2176220417022705
1970-09-15,3.1381750106811523
1970-09-16,3.2374839782714844
1970-09-17,3.1778979301452637
1970-09-18,3.2176220417022705
1970-09-21,3.1778979301452637
1970-09-22,3.158036947250366
1970-09-23,3.0984508991241455
1970-09-24,3.1381750106811523
1970-09-25,3.0984508991241455
1970-09-28,3.038865089416504
1970-09-29,3.0984508991241455
1970-09-30,3.1183130741119385
1970-10-01,3.0785889625549316
1970-10-02,3.1183130741119385
1970-10-05,3.1778979301452637
1970-10-06,3.2374839782714844
1970-10-07,3.2573459148406982
1970-10-08,3.1977601051330566
1970-10-09,3.1183130741119385
1970-10-12,3.0785889625549316
1970-10-13,3.019002914428711
1970-10-14,2.9395558834075928
1970-10-15,2.9991419315338135
1970-10-16,2.9991419315338135
1970-10-19,2.9594180583953857
1970-10-20,2.919693946838379
1970-10-21,2.919693946838379
1970-10-22,2.8601090908050537
1970-10-23,2.899832010269165
1970-10-26,2.9594180583953857
1970-10-27,2.899832010269165
1970-10-28,2.879970073699951
1970-10-29,2.899832010269165
1970-10-30,2.899832010269165
1970-11-02,2.8601090908050537
1970-11-03,2.919693946838379
1970-11-04,2.8601090908050537
1970-11-05,2.8601090908050537
1970-11-06,2.780661106109619
1970-11-09,2.8402469158172607
1970-11-10,2.8402469158172607
1970-11-11,2.8601090908050537
1970-11-12,2.780661106109619
1970-11-13,2.780661106109619
1970-11-16,2.780661106109619
1970-11-17,2.800523042678833
1970-11-18,2.820384979248047
1970-11-19,2.760798931121826
1970-11-20,2.780661106109619
1970-11-23,2.820384979248047
1970-11-24,2.8402469158172607
1970-11-25,2.820384979248047
1970-11-27,2.8601090908050537
1970-11-30,2.899832010269165
1970-12-01,2.8601090908050537
1970-12-02,2.919693946838379
1970-12-03,3.0785889625549316
1970-12-04,3.1778979301452637
1970-12-07,3.2176220417022705
1970-12-08,3.1778979301452637
1970-12-09,3.2176220417022705
1970-12-10,3.2573459148406982
1970-12-11,3.3367929458618164
1970-12-14,3.3367929458618164
1970-12-15,3.3566548824310303
1970-12-16,3.416240930557251
1970-12-17,3.495687961578369
1970-12-18,3.55527400970459
1970-12-21,3.55527400970459
1970-12-22,3.6744449138641357
1970-12-23,3.654582977294922
1970-12-24,3.654582977294922
1970-12-28,3.634721040725708
1970-12-29,3.7936160564422607
1970-12-30,3.8730640411376953
1970-12-31,3.8333399295806885
1971-01-04,3.7141690254211426
1971-01-05,3.7538928985595703
1971-01-06,3.8532021045684814
1971-01-07,3.9525110721588135
1971-01-08,4.031959056854248
1971-01-11,4.051819801330566
1971-01-12,4.051819801330566
1971-01-13,4.091544151306152
1971-01-14,4.091544151306152
1971-01-15,4.071681976318359
1971-01-18,3.9723730087280273
1971-01-19,3.9525110721588135
1971-01-20,3.892925977706909
1971-01-21,3.9326488971710205
1971-01-22,3.9525110721588135
1971-01-25,3.892925977706909
1971-01-26,3.892925977706909
1971-01-27,3.8532021045684814
1971-01-28,3.892925977706909
1971-01-29,3.9127869606018066
1971-02-01,4.012096881866455
1971-02-02,4.091544151306152
1971-02-03,4.409334182739258
1971-02-04,4.290163040161133
1971-02-05,4.349748134613037
1971-02-08,4.349748134613037
1971-02-09,4.429195880889893
1971-02-10,4.369609832763672
1971-02-11,4.4490580558776855
1971-02-12,4.4490580558776855
1971-02-16,4.528504848480225
1971-02-17,4.548367023468018
1971-02-18,4.5682291984558105
1971-02-19,4.50864315032959
