,DAX
2014-10-23,25.25
2014-10-24,25.190000534057617
2014-10-27,25.027999877929688
2014-10-28,25.510000228881836
2014-10-29,25.670000076293945
2014-10-30,25.389999389648438
2014-10-31,25.75
2014-11-03,26.049999237060547
2014-11-04,25.5
2014-11-05,25.639999389648438
2014-11-06,25.559999465942383
2014-11-07,25.459999084472656
2014-11-10,25.459999084472656
2014-11-11,25.760000228881836
2014-11-12,25.25
2014-11-13,25.25
2014-11-14,25.25
2014-11-17,25.25
2014-11-18,26.190000534057617
2014-11-19,26.200000762939453
2014-11-20,26.200000762939453
2014-11-21,26.489999771118164
2014-11-24,26.850000381469727
2014-11-25,27.100000381469727
2014-11-26,27.29199981689453
2014-11-28,27.329999923706055
2014-12-01,27.3700008392334
2014-12-02,27.14900016784668
2014-12-03,27.079999923706055
2014-12-04,26.950000762939453
2014-12-05,27.260000228881836
2014-12-08,27.100000381469727
2014-12-09,26.799999237060547
2014-12-10,26.663999557495117
2014-12-11,26.709999084472656
2014-12-12,26.40999984741211
2014-12-15,25.6200008392334
2014-12-16,26.239999771118164
2014-12-17,26.100000381469727
2014-12-18,26.5
2014-12-19,26.450000762939453
2014-12-22,26.607999801635742
2014-12-23,26.6200008392334
2014-12-24,26.663999557495117
2014-12-26,26.600000381469727
2014-12-29,26.549999237060547
2014-12-30,26.163000106811523
2014-12-31,26.163000106811523
2015-01-02,26.163000106811523
2015-01-05,24.8799991607666
2015-01-06,24.8799991607666
2015-01-07,24.8799991607666
2015-01-08,25.579999923706055
2015-01-09,25.579999923706055
2015-01-12,25.450000762939453
2015-01-13,25.530000686645508
2015-01-14,25.530000686645508
2015-01-15,25.746999740600586
2015-01-16,26.1200008392334
2015-01-20,26.177000045776367
2015-01-21,26.091999053955078
2015-01-22,26.31999969482422
2015-01-23,26.229999542236328
2015-01-26,26.850000381469727
2015-01-27,26.66900062561035
2015-01-28,26.5
2015-01-29,26.972999572753906
2015-01-30,26.5
2015-02-02,27.1299991607666
2015-02-03,27.667999267578125
2015-02-04,27.139999389648438
2015-02-05,27.559999465942383
2015-02-06,26.829999923706055
2015-02-09,26.549999237060547
2015-02-10,26.799999237060547
2015-02-11,26.652999877929688
2015-02-12,27.530000686645508
2015-02-13,27.549999237060547
2015-02-17,27.37299919128418
2015-02-18,27.420000076293945
2015-02-19,27.459999084472656
2015-02-20,27.860000610351562
2015-02-23,27.739999771118164
2015-02-24,27.972000122070312
2015-02-25,28.030000686645508
2015-02-26,27.841999053955078
2015-02-27,28.020999908447266
2015-03-02,28.1299991607666
2015-03-03,27.799999237060547
2015-03-04,27.799999237060547
2015-03-05,27.809999465942383
2015-03-06,27.489999771118164
2015-03-09,27.709999084472656
2015-03-10,27.110000610351562
2015-03-11,27.40999984741211
2015-03-12,27.739999771118164
2015-03-13,27.549999237060547
2015-03-16,28.399999618530273
2015-03-17,27.940000534057617
2015-03-18,28.350000381469727
2015-03-19,27.780000686645508
2015-03-20,28.649999618530273
2015-03-23,28.6299991607666
2015-03-24,28.739999771118164
2015-03-25,28.59000015258789
2015-03-26,28.40999984741211
2015-03-27,28.450000762939453
2015-03-30,28.760000228881836
2015-03-31,28.219999313354492
2015-04-01,28.459999084472656
2015-04-02,28.649999618530273
2015-04-06,28.899999618530273
2015-04-07,28.67300033569336
2015-04-08,28.618000030517578
2015-04-09,28.545000076293945
2015-04-10,28.860000610351562
2015-04-13,28.56999969482422
2015-04-14,28.690000534057617
2015-04-15,28.690000534057617
2015-04-16,28.299999237060547
2015-04-17,27.72100067138672
2015-04-20,27.979999542236328
2015-04-21,28.219999313354492
2015-04-22,28.079999923706055
2015-04-23,27.920000076293945
2015-04-24,28.110000610351562
2015-04-27,28.600000381469727
2015-04-28,28.329999923706055
2015-04-29,27.899999618530273
2015-04-30,27.900999069213867
2015-05-01,28.239999771118164
2015-05-04,28.34000015258789
2015-05-05,27.739999771118164
2015-05-06,28.18000030517578
2015-05-07,28.065000534057617
2015-05-08,28.739999771118164
2015-05-11,28.326000213623047
2015-05-12,28.194000244140625
2015-05-13,28.09000015258789
2015-05-14,28.790000915527344
2015-05-15,28.729999542236328
2015-05-18,28.75
2015-05-19,28.81999969482422
2015-05-20,28.770000457763672
2015-05-21,28.809999465942383
2015-05-22,28.45400047302246
2015-05-26,27.510000228881836
2015-05-27,28.009000778198242
2015-05-28,27.829999923706055
2015-05-29,27.389999389648438
2015-06-01,27.347000122070312
2015-06-02,27.600000381469727
2015-06-03,28.06999969482422
2015-06-04,27.690000534057617
2015-06-05,27.14699935913086
2015-06-08,27.075000762939453
2015-06-09,26.989999771118164
2015-06-10,27.850000381469727
2015-06-11,27.799999237060547
2015-06-12,27.540000915527344
2015-06-15,27.110000610351562
2015-06-16,27.09000015258789
2015-06-17,26.989999771118164
2015-06-18,27.600000381469727
2015-06-19,27.309999465942383
2015-06-22,28.360000610351562
2015-06-23,28.14699935913086
2015-06-24,27.555999755859375
2015-06-25,27.672000885009766
2015-06-26,27.75
2015-06-29,26.690000534057617
2015-06-30,26.481000900268555
2015-07-01,26.600000381469727
2015-07-02,26.59000015258789
2015-07-06,26.059999465942383
2015-07-07,26.030000686645508
2015-07-08,25.59000015258789
2015-07-09,26.143999099731445
2015-07-10,27.420000076293945
2015-07-13,27.34000015258789
2015-07-14,27.3799991607666
2015-07-15,27.270000457763672
2015-07-16,27.520000457763672
2015-07-17,27.40399932861328
2015-07-20,27.450000762939453
2015-07-21,27.40999984741211
2015-07-22,27.139999389648438
2015-07-23,27.19499969482422
2015-07-24,26.719999313354492
2015-07-27,26.40999984741211
2015-07-28,26.739999771118164
2015-07-29,26.670000076293945
2015-07-30,26.5
2015-07-31,26.75
2015-08-03,26.959999084472656
2015-08-04,26.9950008392334
2015-08-05,27.299999237060547
2015-08-06,27.25
2015-08-07,27.25
2015-08-10,27.59000015258789
2015-08-11,26.950000762939453
2015-08-12,26.65999984741211
2015-08-13,26.549999237060547
2015-08-14,26.486000061035156
2015-08-17,26.299999237060547
2015-08-18,25.972000122070312
2015-08-19,25.729999542236328
2015-08-20,25.0
2015-08-21,24.552000045776367
2015-08-24,24.219999313354492
2015-08-25,24.360000610351562
2015-08-26,24.84000015258789
2015-08-27,25.08300018310547
2015-08-28,24.8799991607666
2015-08-31,24.874000549316406
2015-09-01,24.239999771118164
2015-09-02,24.469999313354492
2015-09-03,24.59000015258789
2015-09-04,24.1299991607666
2015-09-08,24.93000030517578
2015-09-09,24.841999053955078
2015-09-10,24.899999618530273
2015-09-11,24.816999435424805
2015-09-14,24.840999603271484
2015-09-15,24.902000427246094
2015-09-16,24.950000762939453
2015-09-17,25.43000030517578
2015-09-18,24.149999618530273
2015-09-21,23.95199966430664
2015-09-22,23.149999618530273
2015-09-23,23.229999542236328
2015-09-24,23.049999237060547
2015-09-25,23.22800064086914
2015-09-28,22.889999389648438
2015-09-29,22.993999481201172
2015-09-30,23.267000198364258
2015-10-01,23.010000228881836
2015-10-02,23.43000030517578
2015-10-05,23.850000381469727
2015-10-06,24.07900047302246
2015-10-07,24.229999542236328
2015-10-08,24.466999053955078
2015-10-09,24.690000534057617
2015-10-12,24.780000686645508
2015-10-13,24.649999618530273
2015-10-14,24.493999481201172
2015-10-15,24.698999404907227
2015-10-16,24.76300048828125
2015-10-19,24.829999923706055
2015-10-20,24.809999465942383
2015-10-21,24.881000518798828
2015-10-22,25.31100082397461
2015-10-23,25.739999771118164
