,AEPPL
2019-03-15,50.5
2019-03-18,50.45000076293945
2019-03-19,50.237998962402344
2019-03-20,50.20800018310547
2019-03-21,50.900001525878906
2019-03-22,51.650001525878906
2019-03-25,51.38999938964844
2019-03-26,51.849998474121094
2019-03-27,51.5
2019-03-28,51.13999938964844
2019-03-29,51.45000076293945
2019-04-01,50.95000076293945
2019-04-02,51.099998474121094
2019-04-03,50.900001525878906
2019-04-04,50.66999816894531
2019-04-05,51.02899932861328
2019-04-08,50.83000183105469
2019-04-09,51.0
2019-04-10,50.9900016784668
2019-04-11,51.34000015258789
2019-04-12,51.52000045776367
2019-04-15,51.470001220703125
2019-04-16,51.04999923706055
2019-04-17,50.97999954223633
2019-04-18,50.81999969482422
2019-04-22,50.91999816894531
2019-04-23,51.15999984741211
2019-04-24,50.5099983215332
2019-04-25,51.33000183105469
2019-04-26,51.66999816894531
2019-04-29,51.34000015258789
2019-04-30,51.97999954223633
2019-05-01,51.720001220703125
2019-05-02,51.63999938964844
2019-05-03,51.970001220703125
2019-05-06,51.650001525878906
2019-05-07,51.63999938964844
2019-05-08,51.2599983215332
2019-05-09,51.18000030517578
2019-05-10,51.93000030517578
2019-05-13,52.58000183105469
2019-05-14,52.27000045776367
2019-05-15,52.18000030517578
2019-05-16,52.29999923706055
2019-05-17,52.45000076293945
2019-05-20,52.779998779296875
2019-05-21,52.779998779296875
2019-05-22,53.08000183105469
2019-05-23,52.970001220703125
2019-05-24,53.40999984741211
2019-05-28,52.86000061035156
2019-05-29,52.5099983215332
2019-05-30,52.40999984741211
2019-05-31,52.88999938964844
2019-06-03,52.88999938964844
2019-06-04,52.52000045776367
2019-06-05,54.11000061035156
2019-06-06,54.33000183105469
2019-06-07,54.20000076293945
2019-06-10,53.91999816894531
2019-06-11,53.599998474121094
2019-06-12,54.0359992980957
2019-06-13,53.33000183105469
2019-06-14,53.970001220703125
2019-06-17,53.7599983215332
2019-06-18,53.70000076293945
2019-06-19,54.220001220703125
2019-06-20,54.2599983215332
2019-06-21,54.58000183105469
2019-06-24,54.349998474121094
2019-06-25,54.16999816894531
2019-06-26,53.5
2019-06-27,53.34000015258789
2019-06-28,53.5099983215332
2019-07-01,53.41999816894531
2019-07-02,54.040000915527344
2019-07-03,54.67599868774414
2019-07-05,54.31999969482422
2019-07-08,54.63999938964844
2019-07-09,55.16999816894531
2019-07-10,55.38999938964844
2019-07-11,54.880001068115234
2019-07-12,55.16999816894531
2019-07-15,55.47999954223633
2019-07-16,55.52000045776367
2019-07-17,55.84000015258789
2019-07-18,55.97999954223633
2019-07-19,55.560001373291016
2019-07-22,55.470001220703125
2019-07-23,55.2400016784668
2019-07-24,55.25
2019-07-25,54.95000076293945
2019-07-26,55.209999084472656
2019-07-29,55.41999816894531
2019-07-30,55.06999969482422
2019-07-31,54.47999954223633
2019-08-01,55.150001525878906
2019-08-02,55.25
2019-08-05,55.25
2019-08-06,55.349998474121094
2019-08-07,55.400001525878906
2019-08-08,55.59000015258789
2019-08-09,55.7599983215332
2019-08-12,55.9900016784668
2019-08-13,55.85499954223633
2019-08-14,55.04999923706055
2019-08-15,55.75
2019-08-16,55.7400016784668
2019-08-19,55.970001220703125
