,CHKEL
2021-02-11,17.5
2021-02-12,18.059999465942383
2021-02-16,18.450000762939453
2021-02-17,18.0049991607666
2021-02-18,16.209999084472656
2021-02-19,17.209999084472656
2021-02-22,17.059999465942383
2021-02-23,16.799999237060547
2021-02-24,18.149999618530273
2021-02-25,17.799999237060547
2021-02-26,17.450000762939453
2021-03-01,17.950000762939453
2021-03-02,18.4950008392334
2021-03-03,19.100000381469727
2021-03-04,18.780000686645508
2021-03-05,19.59000015258789
2021-03-08,18.200000762939453
2021-03-09,18.56999969482422
2021-03-10,17.020000457763672
2021-03-11,18.010000228881836
2021-03-12,18.25
2021-03-15,18.149999618530273
2021-03-16,18.149999618530273
2021-03-17,18.174999237060547
2021-03-18,17.0
2021-03-19,16.899999618530273
2021-03-22,16.5
2021-03-23,15.779999732971191
2021-03-24,16.399999618530273
2021-03-25,16.110000610351562
2021-03-26,16.110000610351562
2021-03-29,16.950000762939453
2021-03-30,16.950000762939453
2021-03-31,16.996999740600586
2021-04-01,17.399999618530273
2021-04-05,17.40999984741211
2021-04-06,17.520000457763672
2021-04-07,17.15999984741211
2021-04-08,17.649999618530273
2021-04-09,17.510000228881836
2021-04-12,17.940000534057617
2021-04-13,18.139999389648438
2021-04-14,18.31800079345703
2021-04-15,18.0
2021-04-16,17.75
2021-04-19,18.5
2021-04-20,17.510000228881836
2021-04-21,17.860000610351562
2021-04-22,18.5
2021-04-23,18.56999969482422
2021-04-26,18.5
2021-04-27,18.299999237060547
2021-04-28,17.829999923706055
2021-04-29,19.0
2021-04-30,19.0
2021-05-03,18.549999237060547
2021-05-04,18.0
2021-05-05,18.375
2021-05-06,18.559999465942383
2021-05-07,19.540000915527344
2021-05-10,19.729999542236328
2021-05-11,19.09000015258789
2021-05-12,19.0
2021-05-13,18.5
2021-05-14,18.18000030517578
