,CRMD
2010-05-13,15.0
2010-05-14,12.300000190734863
2010-05-17,14.199999809265137
2010-05-18,14.199999809265137
2010-05-19,15.199999809265137
2010-05-20,14.449999809265137
2010-05-21,13.0
2010-05-24,12.5
2010-05-25,11.75
2010-05-26,13.0
2010-05-27,13.850000381469727
2010-05-28,13.550000190734863
2010-06-01,13.550000190734863
2010-06-02,13.0
2010-06-03,14.199999809265137
2010-06-04,13.449999809265137
2010-06-07,13.0
2010-06-08,11.800000190734863
2010-06-09,12.25
2010-06-10,12.100000381469727
2010-06-11,12.25
2010-06-14,11.75
2010-06-15,11.75
2010-06-16,11.5
2010-06-17,11.75
2010-06-18,11.699999809265137
2010-06-21,11.449999809265137
2010-06-22,11.25
2010-06-23,10.0
2010-06-24,12.0
2010-06-25,11.600000381469727
2010-06-28,11.0
2010-06-29,10.25
2010-06-30,11.0
2010-07-01,10.300000190734863
2010-07-02,10.350000381469727
2010-07-06,10.5
2010-07-07,10.0
2010-07-08,9.550000190734863
2010-07-09,9.300000190734863
2010-07-12,8.75
2010-07-13,8.949999809265137
2010-07-14,9.0
2010-07-15,8.25
2010-07-16,8.75
2010-07-19,8.75
2010-07-20,8.600000381469727
2010-07-21,8.0
2010-07-22,7.800000190734863
2010-07-23,7.400000095367432
2010-07-26,7.050000190734863
2010-07-27,7.300000190734863
2010-07-28,7.300000190734863
2010-07-29,7.550000190734863
2010-07-30,7.25
2010-08-02,7.25
2010-08-03,9.300000190734863
2010-08-04,8.300000190734863
2010-08-05,8.5
2010-08-06,8.5
2010-08-09,7.849999904632568
2010-08-10,7.5
2010-08-11,7.0
2010-08-12,7.5
2010-08-13,7.5
2010-08-16,7.699999809265137
2010-08-17,7.699999809265137
2010-08-18,7.5
2010-08-19,7.5
2010-08-20,7.5
2010-08-23,7.25
2010-08-24,7.25
2010-08-25,7.0
2010-08-26,8.300000190734863
2010-08-27,8.949999809265137
2010-08-30,8.75
2010-08-31,8.75
2010-09-01,8.75
2010-09-02,8.75
2010-09-03,8.5
2010-09-07,8.0
2010-09-08,7.449999809265137
2010-09-09,7.5
2010-09-10,7.949999809265137
2010-09-13,7.949999809265137
2010-09-14,7.800000190734863
2010-09-15,8.0
2010-09-16,8.0
2010-09-17,8.149999618530273
2010-09-20,7.849999904632568
2010-09-21,6.849999904632568
2010-09-22,6.900000095367432
2010-09-23,6.449999809265137
2010-09-24,7.349999904632568
2010-09-27,6.5
2010-09-28,6.699999809265137
2010-09-29,8.199999809265137
2010-09-30,7.900000095367432
2010-10-01,8.300000190734863
2010-10-04,8.0
2010-10-05,7.800000190734863
2010-10-06,7.900000095367432
2010-10-07,7.199999809265137
2010-10-08,7.050000190734863
2010-10-11,7.449999809265137
2010-10-12,6.75
2010-10-13,7.400000095367432
2010-10-14,7.0
2010-10-15,7.199999809265137
2010-10-18,7.050000190734863
2010-10-19,7.150000095367432
2010-10-20,6.900000095367432
2010-10-21,6.400000095367432
2010-10-22,7.0
2010-10-25,7.449999809265137
2010-10-26,7.550000190734863
2010-10-27,7.0
2010-10-28,6.900000095367432
2010-10-29,7.0
2010-11-01,6.699999809265137
2010-11-02,7.0
2010-11-03,7.0
2010-11-04,6.699999809265137
2010-11-05,6.800000190734863
2010-11-08,7.0
2010-11-09,6.949999809265137
2010-11-10,7.25
2010-11-11,7.5
2010-11-12,7.5
2010-11-15,7.75
2010-11-16,7.300000190734863
2010-11-17,7.0
2010-11-18,6.900000095367432
2010-11-19,6.5
2010-11-22,6.699999809265137
2010-11-23,6.0
2010-11-24,6.150000095367432
2010-11-26,6.0
2010-11-29,6.199999809265137
2010-11-30,6.25
2010-12-01,5.800000190734863
2010-12-02,5.949999809265137
2010-12-03,6.150000095367432
2010-12-06,6.0
2010-12-07,6.300000190734863
2010-12-08,6.25
2010-12-09,5.699999809265137
2010-12-10,7.099999904632568
2010-12-13,8.699999809265137
2010-12-14,9.050000190734863
2010-12-15,9.25
2010-12-16,9.0
2010-12-17,9.449999809265137
2010-12-20,9.199999809265137
2010-12-21,9.050000190734863
2010-12-22,9.399999618530273
2010-12-23,9.0
2010-12-27,8.850000381469727
2010-12-28,9.0
2010-12-29,9.149999618530273
2010-12-30,8.800000190734863
2010-12-31,9.100000381469727
2011-01-03,8.949999809265137
2011-01-04,9.25
2011-01-05,9.25
2011-01-06,8.899999618530273
2011-01-07,9.199999809265137
2011-01-10,9.0
2011-01-11,8.899999618530273
2011-01-12,10.199999809265137
2011-01-13,10.350000381469727
2011-01-14,10.5
2011-01-18,10.649999618530273
2011-01-19,10.75
2011-01-20,10.899999618530273
2011-01-21,11.100000381469727
2011-01-24,10.5
2011-01-25,9.850000381469727
2011-01-26,9.899999618530273
2011-01-27,9.899999618530273
2011-01-28,9.699999809265137
2011-01-31,9.149999618530273
2011-02-01,8.800000190734863
2011-02-02,8.75
2011-02-03,8.75
2011-02-04,8.800000190734863
2011-02-07,8.5
2011-02-08,8.800000190734863
2011-02-09,8.5
2011-02-10,8.5
2011-02-11,8.050000190734863
2011-02-14,7.75
2011-02-15,7.900000095367432
2011-02-16,7.75
2011-02-17,7.599999904632568
2011-02-18,7.5
2011-02-22,7.599999904632568
2011-02-23,7.5
2011-02-24,7.5
2011-02-25,7.75
2011-02-28,8.300000190734863
2011-03-01,8.050000190734863
2011-03-02,8.5
2011-03-03,8.600000381469727
2011-03-04,8.350000381469727
2011-03-07,8.300000190734863
2011-03-08,7.949999809265137
2011-03-09,8.300000190734863
2011-03-10,8.25
2011-03-11,8.449999809265137
2011-03-14,8.399999618530273
2011-03-15,8.75
2011-03-16,9.0
2011-03-17,9.199999809265137
2011-03-18,9.949999809265137
2011-03-21,10.149999618530273
2011-03-22,10.199999809265137
2011-03-23,9.300000190734863
2011-03-24,9.5
2011-03-25,9.699999809265137
2011-03-28,9.300000190734863
2011-03-29,9.0
2011-03-30,8.75
2011-03-31,8.949999809265137
2011-04-01,8.75
2011-04-04,8.350000381469727
2011-04-05,8.600000381469727
2011-04-06,9.100000381469727
2011-04-07,8.75
2011-04-08,8.5
2011-04-11,8.149999618530273
2011-04-12,8.75
2011-04-13,8.949999809265137
2011-04-14,9.25
2011-04-15,9.199999809265137
2011-04-18,8.949999809265137
2011-04-19,9.199999809265137
2011-04-20,9.149999618530273
2011-04-21,8.800000190734863
2011-04-25,8.800000190734863
2011-04-26,9.550000190734863
2011-04-27,9.25
2011-04-28,9.25
2011-04-29,9.350000381469727
2011-05-02,9.699999809265137
2011-05-03,9.899999618530273
2011-05-04,10.199999809265137
2011-05-05,9.550000190734863
2011-05-06,9.699999809265137
2011-05-09,9.800000190734863
2011-05-10,9.600000381469727
2011-05-11,9.25
2011-05-12,8.699999809265137
2011-05-13,8.5
2011-05-16,8.600000381469727
2011-05-17,8.600000381469727
2011-05-18,8.399999618530273
2011-05-19,8.5
2011-05-20,8.399999618530273
2011-05-23,8.5
2011-05-24,8.600000381469727
2011-05-25,8.800000190734863
2011-05-26,8.800000190734863
2011-05-27,8.550000190734863
2011-05-31,8.550000190734863
2011-06-01,8.550000190734863
2011-06-02,8.300000190734863
2011-06-03,7.900000095367432
2011-06-06,8.149999618530273
2011-06-07,8.5
2011-06-08,8.449999809265137
2011-06-09,8.399999618530273
2011-06-10,8.199999809265137
2011-06-13,8.0
2011-06-14,8.0
2011-06-15,7.75
2011-06-16,7.699999809265137
2011-06-17,8.25
2011-06-20,8.0
2011-06-21,7.550000190734863
2011-06-22,6.75
2011-06-23,6.75
2011-06-24,6.849999904632568
2011-06-27,7.25
2011-06-28,7.099999904632568
2011-06-29,7.099999904632568
2011-06-30,7.25
2011-07-01,7.300000190734863
2011-07-05,7.349999904632568
2011-07-06,7.25
2011-07-07,7.5
2011-07-08,7.449999809265137
2011-07-11,7.300000190734863
2011-07-12,7.300000190734863
2011-07-13,7.25
2011-07-14,7.25
2011-07-15,7.25
2011-07-18,7.400000095367432
2011-07-19,6.400000095367432
2011-07-20,6.599999904632568
2011-07-21,6.75
2011-07-22,6.75
2011-07-25,6.699999809265137
2011-07-26,6.449999809265137
2011-07-27,6.400000095367432
2011-07-28,6.5
2011-07-29,6.5
2011-08-01,6.5
2011-08-02,6.349999904632568
2011-08-03,6.199999809265137
2011-08-04,6.199999809265137
2011-08-05,5.599999904632568
2011-08-08,5.400000095367432
2011-08-09,5.300000190734863
2011-08-10,5.300000190734863
2011-08-11,5.5
2011-08-12,5.400000095367432
2011-08-15,5.599999904632568
2011-08-16,5.599999904632568
2011-08-17,5.599999904632568
2011-08-18,5.599999904632568
2011-08-19,5.599999904632568
2011-08-22,5.300000190734863
2011-08-23,5.099999904632568
2011-08-24,5.199999809265137
2011-08-25,5.199999809265137
2011-08-26,5.300000190734863
2011-08-29,4.949999809265137
2011-08-30,4.900000095367432
2011-08-31,4.650000095367432
2011-09-01,4.650000095367432
2011-09-02,4.650000095367432
2011-09-06,5.199999809265137
2011-09-07,5.449999809265137
2011-09-08,5.25
2011-09-09,5.150000095367432
2011-09-12,5.150000095367432
2011-09-13,5.099999904632568
2011-09-14,5.099999904632568
2011-09-15,5.099999904632568
2011-09-16,5.199999809265137
2011-09-19,5.199999809265137
2011-09-20,5.199999809265137
2011-09-21,5.0
2011-09-22,4.900000095367432
2011-09-23,4.650000095367432
2011-09-26,4.849999904632568
2011-09-27,4.849999904632568
2011-09-28,4.650000095367432
2011-09-29,4.550000190734863
2011-09-30,4.550000190734863
2011-10-03,3.5
2011-10-04,2.3499999046325684
2011-10-05,1.899999976158142
2011-10-06,1.75
2011-10-07,1.850000023841858
2011-10-10,1.7000000476837158
2011-10-11,2.1500000953674316
2011-10-12,1.7999999523162842
2011-10-13,1.7999999523162842
2011-10-14,1.600000023841858
2011-10-17,1.5
2011-10-18,1.100000023841858
2011-10-19,1.7000000476837158
2011-10-20,1.5499999523162842
2011-10-21,1.5499999523162842
2011-10-24,1.5
2011-10-25,1.5
2011-10-26,1.649999976158142
2011-10-27,1.600000023841858
2011-10-28,1.7999999523162842
2011-10-31,2.0999999046325684
2011-11-01,2.3499999046325684
2011-11-02,2.549999952316284
2011-11-03,2.75
2011-11-04,2.5999999046325684
2011-11-07,2.200000047683716
2011-11-08,2.0
2011-11-09,2.0
2011-11-10,1.75
2011-11-11,1.7000000476837158
2011-11-14,1.350000023841858
2011-11-15,1.399999976158142
2011-11-16,1.25
2011-11-17,1.5499999523162842
2011-11-18,1.5
2011-11-21,1.399999976158142
2011-11-22,1.600000023841858
2011-11-23,1.75
2011-11-25,1.75
2011-11-28,1.7000000476837158
2011-11-29,1.7000000476837158
2011-11-30,1.600000023841858
2011-12-01,1.5499999523162842
2011-12-02,1.7999999523162842
2011-12-05,1.649999976158142
2011-12-06,1.649999976158142
2011-12-07,1.649999976158142
2011-12-08,1.5499999523162842
2011-12-09,1.649999976158142
2011-12-12,1.600000023841858
2011-12-13,1.5
2011-12-14,1.5499999523162842
2011-12-15,1.600000023841858
2011-12-16,1.7000000476837158
2011-12-19,1.649999976158142
2011-12-20,1.399999976158142
2011-12-21,1.5499999523162842
2011-12-22,1.5
2011-12-23,1.399999976158142
2011-12-27,1.25
2011-12-28,1.25
2011-12-29,1.5
2011-12-30,1.399999976158142
2012-01-03,1.2999999523162842
2012-01-04,1.5
2012-01-05,1.5
2012-01-06,1.4500000476837158
2012-01-09,1.399999976158142
2012-01-10,1.5
2012-01-11,1.649999976158142
2012-01-12,1.850000023841858
2012-01-13,1.850000023841858
2012-01-17,1.9500000476837158
2012-01-18,2.1500000953674316
2012-01-19,2.25
2012-01-20,2.0999999046325684
2012-01-23,1.899999976158142
2012-01-24,2.0999999046325684
2012-01-25,2.049999952316284
2012-01-26,2.0
2012-01-27,1.899999976158142
2012-01-30,1.899999976158142
2012-01-31,1.7000000476837158
2012-02-01,2.1500000953674316
2012-02-02,2.1500000953674316
2012-02-03,2.1500000953674316
2012-02-06,2.049999952316284
2012-02-07,2.0
2012-02-08,1.9500000476837158
2012-02-09,2.0
2012-02-10,2.1500000953674316
2012-02-13,1.899999976158142
2012-02-14,2.0999999046325684
2012-02-15,2.0
2012-02-16,1.850000023841858
2012-02-17,1.850000023841858
2012-02-21,1.75
2012-02-22,1.7999999523162842
2012-02-23,2.0999999046325684
2012-02-24,2.0999999046325684
2012-02-27,2.0
2012-02-28,1.7999999523162842
2012-02-29,1.75
2012-03-01,1.649999976158142
2012-03-02,1.7000000476837158
2012-03-05,1.9500000476837158
2012-03-06,1.850000023841858
2012-03-07,1.649999976158142
2012-03-08,1.649999976158142
2012-03-09,1.75
2012-03-12,1.649999976158142
2012-03-13,1.600000023841858
2012-03-14,1.7999999523162842
2012-03-15,1.850000023841858
2012-03-16,2.75
2012-03-19,2.3499999046325684
2012-03-20,2.450000047683716
2012-03-21,2.450000047683716
2012-03-22,2.299999952316284
2012-03-23,2.25
2012-03-26,2.4000000953674316
2012-03-27,2.3499999046325684
2012-03-28,2.4000000953674316
2012-03-29,2.299999952316284
2012-03-30,2.3499999046325684
2012-04-02,2.4000000953674316
2012-04-03,2.450000047683716
2012-04-04,2.450000047683716
2012-04-05,2.4000000953674316
2012-04-09,2.25
2012-04-10,2.3499999046325684
2012-04-11,2.200000047683716
2012-04-12,2.25
2012-04-13,2.0
2012-04-16,2.0
2012-04-17,2.049999952316284
2012-04-18,2.049999952316284
