,EM
2021-04-01,8.539999961853027
2021-04-05,8.050000190734863
2021-04-06,8.350000381469727
2021-04-07,8.420000076293945
2021-04-08,8.25
2021-04-09,8.149999618530273
2021-04-12,7.159999847412109
2021-04-13,8.09000015258789
2021-04-14,8.369999885559082
2021-04-15,8.449999809265137
2021-04-16,8.489999771118164
2021-04-19,8.489999771118164
2021-04-20,8.539999961853027
2021-04-21,8.539999961853027
2021-04-22,8.399999618530273
2021-04-23,8.270000457763672
2021-04-26,8.100000381469727
2021-04-27,8.470000267028809
2021-04-28,9.210000038146973
2021-04-29,8.0600004196167
2021-04-30,7.579999923706055
2021-05-03,7.309999942779541
2021-05-04,7.340000152587891
2021-05-05,7.820000171661377
2021-05-06,7.659999847412109
2021-05-07,7.599999904632568
2021-05-10,6.880000114440918
2021-05-11,6.909999847412109
2021-05-12,6.650000095367432
2021-05-13,6.090000152587891
2021-05-14,6.210000038146973
