,EYPT
2005-12-09,180.0
2005-12-12,176.39999389648438
2005-12-13,176.8000030517578
2005-12-14,184.0
2005-12-15,212.0
2005-12-16,216.0
2005-12-19,209.60000610351562
2005-12-20,206.0
2005-12-21,212.0
2005-12-22,227.60000610351562
2005-12-23,214.39999389648438
2005-12-27,208.0
2005-12-28,200.0
2005-12-29,200.0
2005-12-30,216.0
2006-01-03,212.0
2006-01-04,216.8000030517578
2006-01-05,222.0
2006-01-06,222.8000030517578
2006-01-09,203.1999969482422
2006-01-10,198.8000030517578
2006-01-11,207.60000610351562
2006-01-12,202.0
2006-01-13,208.0
2006-01-17,198.8000030517578
2006-01-18,194.39999389648438
2006-01-19,206.0
2006-01-20,201.60000610351562
2006-01-23,194.8000030517578
2006-01-24,199.60000610351562
2006-01-25,188.0
2006-01-26,202.39999389648438
2006-01-27,195.1999969482422
2006-01-30,198.0
2006-01-31,200.0
2006-02-01,190.39999389648438
2006-02-02,180.0
2006-02-03,184.0
2006-02-06,180.8000030517578
2006-02-07,178.39999389648438
2006-02-08,194.39999389648438
2006-02-09,181.60000610351562
2006-02-10,189.1999969482422
2006-02-13,196.0
2006-02-14,200.39999389648438
2006-02-15,200.0
2006-02-16,192.0
2006-02-17,217.60000610351562
2006-02-21,202.0
2006-02-22,205.60000610351562
2006-02-23,200.39999389648438
2006-02-24,204.0
2006-02-27,206.0
2006-02-28,209.1999969482422
2006-03-01,214.0
2006-03-02,200.0
2006-03-03,200.0
2006-03-06,192.39999389648438
2006-03-07,193.1999969482422
2006-03-08,199.1999969482422
2006-03-09,199.60000610351562
2006-03-10,200.8000030517578
2006-03-13,193.1999969482422
2006-03-14,188.0
2006-03-15,214.0
2006-03-16,218.39999389648438
2006-03-17,216.0
2006-03-20,212.0
2006-03-21,196.0
2006-03-22,202.0
2006-03-23,207.60000610351562
2006-03-24,196.8000030517578
2006-03-27,196.0
2006-03-28,203.1999969482422
2006-03-29,206.0
2006-03-30,207.60000610351562
2006-03-31,212.8000030517578
2006-04-03,202.8000030517578
2006-04-04,202.0
2006-04-05,204.8000030517578
2006-04-06,208.8000030517578
2006-04-07,212.0
2006-04-10,211.1999969482422
2006-04-11,204.0
2006-04-12,206.0
2006-04-13,201.60000610351562
2006-04-17,198.8000030517578
2006-04-18,210.39999389648438
2006-04-19,204.39999389648438
2006-04-20,198.0
2006-04-21,200.0
2006-04-24,204.39999389648438
2006-04-25,196.0
2006-04-26,206.0
2006-04-27,203.1999969482422
2006-04-28,200.0
2006-05-01,198.0
2006-05-02,181.1999969482422
2006-05-03,178.0
2006-05-04,183.1999969482422
2006-05-05,190.0
2006-05-08,189.1999969482422
2006-05-09,189.60000610351562
2006-05-10,190.0
2006-05-11,197.1999969482422
2006-05-12,192.0
2006-05-15,182.0
2006-05-16,188.0
2006-05-17,180.0
2006-05-18,182.0
2006-05-19,181.1999969482422
2006-05-22,178.8000030517578
2006-05-23,164.8000030517578
2006-05-24,168.0
2006-05-25,172.8000030517578
2006-05-26,182.0
2006-05-30,194.0
2006-05-31,180.39999389648438
2006-06-01,184.8000030517578
2006-06-02,187.1999969482422
2006-06-05,184.0
2006-06-06,190.39999389648438
2006-06-07,185.60000610351562
2006-06-08,186.0
2006-06-09,188.0
2006-06-12,188.0
2006-06-13,188.0
2006-06-14,170.8000030517578
2006-06-15,169.1999969482422
2006-06-16,169.1999969482422
2006-06-19,167.1999969482422
2006-06-20,163.60000610351562
2006-06-21,156.39999389648438
2006-06-22,156.0
2006-06-23,156.0
2006-06-26,156.39999389648438
2006-06-27,154.39999389648438
2006-06-28,154.39999389648438
2006-06-29,154.39999389648438
2006-06-30,156.0
2006-07-03,156.0
2006-07-05,172.0
2006-07-06,159.60000610351562
2006-07-07,159.60000610351562
2006-07-10,164.39999389648438
2006-07-11,164.39999389648438
2006-07-12,158.0
2006-07-13,158.0
2006-07-14,160.0
2006-07-17,130.0
2006-07-18,122.0
2006-07-19,129.1999969482422
2006-07-20,118.0
2006-07-21,110.0
2006-07-24,104.0
2006-07-25,104.80000305175781
2006-07-26,105.19999694824219
2006-07-27,96.4000015258789
2006-07-28,113.5999984741211
2006-07-31,112.0
2006-08-01,110.4000015258789
2006-08-02,102.4000015258789
2006-08-03,105.5999984741211
2006-08-04,104.80000305175781
2006-08-07,101.19999694824219
2006-08-08,100.0
2006-08-09,98.80000305175781
2006-08-10,102.80000305175781
2006-08-11,96.0
2006-08-14,94.0
2006-08-15,98.0
2006-08-16,100.0
2006-08-17,101.5999984741211
2006-08-18,96.80000305175781
2006-08-21,95.5999984741211
2006-08-22,92.0
2006-08-23,90.4000015258789
2006-08-24,90.0
2006-08-25,89.19999694824219
2006-08-28,97.5999984741211
2006-08-29,90.0
2006-08-30,120.0
2006-08-31,108.4000015258789
2006-09-01,104.0
2006-09-05,98.4000015258789
2006-09-06,102.0
2006-09-07,90.0
2006-09-08,108.0
2006-09-11,102.4000015258789
2006-09-12,100.0
2006-09-13,93.19999694824219
2006-09-14,94.0
2006-09-15,96.0
2006-09-18,96.0
2006-09-19,106.0
2006-09-20,92.4000015258789
2006-09-21,94.0
2006-09-22,95.5999984741211
2006-09-25,96.0
2006-09-26,96.0
2006-09-27,96.0
2006-09-28,98.0
2006-09-29,96.0
2006-10-02,94.4000015258789
2006-10-03,90.0
2006-10-04,95.5999984741211
2006-10-05,88.0
2006-10-06,96.0
2006-10-09,90.0
2006-10-10,90.0
2006-10-11,90.0
2006-10-12,90.0
2006-10-13,95.19999694824219
2006-10-16,87.19999694824219
2006-10-17,94.0
2006-10-18,90.0
2006-10-19,94.0
2006-10-20,93.19999694824219
2006-10-23,89.5999984741211
2006-10-24,92.0
2006-10-25,90.0
