,TLW
2015-04-29,33.0
2015-04-30,33.0
2015-05-01,33.0
2015-05-04,33.0
2015-05-05,33.0
2015-05-06,33.0
2015-05-07,33.0
2015-05-08,33.0
2015-05-11,33.0
2015-05-12,33.0
2015-05-13,33.0
2015-05-14,33.0
2015-05-15,33.0
2015-05-18,33.0
2015-05-19,33.0
2015-05-20,33.0
2015-05-21,33.0
2015-05-22,33.0
2015-05-26,33.0
2015-05-27,33.0
2015-05-28,33.0
2015-05-29,33.0
2015-06-01,33.0
2015-06-02,33.0
2015-06-03,33.0
2015-06-04,33.0
2015-06-05,33.0
2015-06-08,33.0
2015-06-09,33.0
2015-06-10,33.0
2015-06-11,33.0
2015-06-12,33.0
2015-06-15,33.0
2015-06-16,33.0
2015-06-17,33.0
2015-06-18,33.0
2015-06-19,33.0
2015-06-22,33.0
2015-06-23,33.0
2015-06-24,33.0
2015-06-25,33.0
2015-06-26,33.0
2015-06-29,33.0
2015-06-30,33.0
2015-07-01,33.0
2015-07-02,33.0
2015-07-06,33.0
2015-07-07,33.0
2015-07-08,33.0
2015-07-09,33.0
2015-07-10,33.0
2015-07-13,33.0
2015-07-14,33.0
2015-07-15,33.0
2015-07-16,33.0
2015-07-17,33.0
2015-07-20,33.0
2015-07-21,33.0
2015-07-22,33.0
2015-07-23,33.0
2015-07-24,33.0
2015-07-27,33.0
2015-07-28,33.0
2015-07-29,33.0
2015-07-30,33.0
2015-07-31,33.0
2015-08-03,33.0
2015-08-04,33.0
2015-08-05,33.0
2015-08-06,33.0
2015-08-07,33.0
2015-08-10,33.0
2015-08-11,33.0
2015-08-12,33.0
2015-08-13,33.0
2015-08-14,33.0
2015-08-17,32.9900016784668
2015-08-18,32.9900016784668
2015-08-19,32.9900016784668
2015-08-20,32.9900016784668
2015-08-21,32.9900016784668
2015-08-24,32.9900016784668
2015-08-25,32.88999938964844
2015-08-26,32.88999938964844
2015-08-27,32.88999938964844
2015-08-28,32.88999938964844
2015-08-31,32.88999938964844
2015-09-01,32.88999938964844
2015-09-02,32.88999938964844
2015-09-03,32.88999938964844
2015-09-04,32.88999938964844
2015-09-08,32.88999938964844
2015-09-09,32.88999938964844
2015-09-10,32.88999938964844
2015-09-11,32.88999938964844
2015-09-14,32.88999938964844
2015-09-15,32.88999938964844
2015-09-16,32.88999938964844
2015-09-17,32.88999938964844
2015-09-18,32.88999938964844
2015-09-21,32.88999938964844
2015-09-22,32.88999938964844
2015-09-23,32.88999938964844
2015-09-24,32.88999938964844
2015-09-25,32.88999938964844
2015-09-28,32.88999938964844
2015-09-29,32.88999938964844
2015-09-30,32.88999938964844
2015-10-01,32.88999938964844
2015-10-02,32.88999938964844
2015-10-05,32.88999938964844
2015-10-06,32.88999938964844
2015-10-07,32.88999938964844
2015-10-08,32.88999938964844
2015-10-09,32.88999938964844
2015-10-12,32.88999938964844
2015-10-13,32.88999938964844
2015-10-14,32.88999938964844
2015-10-15,32.88999938964844
2015-10-16,32.88999938964844
2015-10-19,32.88999938964844
2015-10-20,32.88999938964844
2015-10-21,32.88999938964844
2015-10-22,32.88999938964844
2015-10-23,32.88999938964844
2015-10-26,32.88999938964844
2015-10-27,32.88999938964844
2015-10-28,32.88999938964844
2015-10-29,32.88999938964844
2015-10-30,32.88999938964844
2015-11-02,32.88999938964844
2015-11-03,32.88999938964844
2015-11-04,32.88999938964844
2015-11-05,32.88999938964844
2015-11-06,32.88999938964844
2015-11-09,32.88999938964844
2015-11-10,32.88999938964844
2015-11-11,32.88999938964844
2015-11-12,32.88999938964844
2015-11-13,32.88999938964844
2015-11-16,32.88999938964844
2015-11-17,32.88999938964844
2015-11-18,32.88999938964844
2015-11-19,32.88999938964844
2015-11-20,32.88999938964844
2015-11-23,32.88999938964844
2015-11-24,32.88999938964844
2015-11-25,32.88999938964844
2015-11-27,32.88999938964844
2015-11-30,32.88999938964844
2015-12-01,32.88999938964844
2015-12-02,32.88999938964844
2015-12-03,32.88999938964844
