,EVLO
2018-05-08,16.0
2018-05-09,16.25
2018-05-10,16.149999618530273
2018-05-11,16.0
2018-05-14,16.100000381469727
2018-05-15,16.0
2018-05-16,16.010000228881836
2018-05-17,16.0
2018-05-18,16.0
2018-05-21,16.0
2018-05-22,16.0
2018-05-23,16.0
2018-05-24,16.0
2018-05-25,16.260000228881836
2018-05-29,15.989999771118164
2018-05-30,15.6899995803833
2018-05-31,15.890000343322754
2018-06-01,15.970000267028809
2018-06-04,16.0
2018-06-05,16.040000915527344
2018-06-06,15.949999809265137
2018-06-07,15.050000190734863
2018-06-08,14.75
2018-06-11,13.899999618530273
2018-06-12,14.109999656677246
2018-06-13,13.149999618530273
2018-06-14,11.960000038146973
2018-06-15,11.390000343322754
2018-06-18,12.020000457763672
2018-06-19,12.229999542236328
2018-06-20,13.550000190734863
2018-06-21,13.720000267028809
2018-06-22,13.300000190734863
2018-06-25,12.59000015258789
2018-06-26,12.199999809265137
2018-06-27,11.510000228881836
2018-06-28,11.8100004196167
2018-06-29,11.800000190734863
2018-07-02,11.970000267028809
2018-07-03,12.199999809265137
2018-07-05,13.149999618530273
2018-07-06,12.539999961853027
2018-07-09,12.489999771118164
2018-07-10,12.90999984741211
2018-07-11,12.930000305175781
2018-07-12,13.149999618530273
2018-07-13,13.039999961853027
2018-07-16,13.180000305175781
2018-07-17,13.789999961853027
2018-07-18,13.949999809265137
2018-07-19,14.760000228881836
2018-07-20,14.489999771118164
2018-07-23,14.25
2018-07-24,13.699999809265137
2018-07-25,13.520000457763672
2018-07-26,13.470000267028809
2018-07-27,13.0
2018-07-30,12.640000343322754
2018-07-31,12.640000343322754
2018-08-01,13.130000114440918
2018-08-02,13.59000015258789
2018-08-03,12.6899995803833
2018-08-06,12.59000015258789
2018-08-07,12.350000381469727
2018-08-08,12.880000114440918
2018-08-09,12.850000381469727
2018-08-10,13.130000114440918
2018-08-13,13.220000267028809
2018-08-14,13.09000015258789
2018-08-15,13.220000267028809
2018-08-16,13.369999885559082
2018-08-17,12.449999809265137
2018-08-20,12.84000015258789
2018-08-21,13.199999809265137
2018-08-22,12.369999885559082
2018-08-23,12.640000343322754
2018-08-24,13.739999771118164
2018-08-27,13.75
2018-08-28,13.680000305175781
2018-08-29,13.649999618530273
2018-08-30,13.449999809265137
2018-08-31,13.470000267028809
2018-09-04,13.239999771118164
2018-09-05,13.380000114440918
2018-09-06,13.100000381469727
2018-09-07,12.960000038146973
2018-09-10,13.039999961853027
2018-09-11,12.8100004196167
2018-09-12,12.949999809265137
2018-09-13,13.289999961853027
2018-09-14,13.149999618530273
2018-09-17,13.210000038146973
2018-09-18,13.569999694824219
2018-09-19,13.5600004196167
