,CERE
2020-07-30,11.899999618530273
2020-07-31,11.199999809265137
2020-08-03,11.199999809265137
2020-08-04,11.116000175476074
2020-08-05,10.75
2020-08-06,11.149999618530273
2020-08-07,10.630000114440918
2020-08-10,10.630000114440918
2020-08-11,10.5
2020-08-12,10.300000190734863
2020-08-13,10.319999694824219
2020-08-14,10.319999694824219
2020-08-17,10.210000038146973
2020-08-18,10.229999542236328
2020-08-19,10.300000190734863
2020-08-20,10.270000457763672
2020-08-21,10.199999809265137
2020-08-24,10.140000343322754
2020-08-25,10.265000343322754
2020-08-26,10.199999809265137
2020-08-27,10.350000381469727
2020-08-28,10.369999885559082
2020-08-31,10.600000381469727
2020-09-01,10.270000457763672
2020-09-02,10.579999923706055
2020-09-03,10.670000076293945
2020-09-04,10.600000381469727
2020-09-08,10.470000267028809
2020-09-09,10.449999809265137
2020-09-10,10.3100004196167
2020-09-11,10.350000381469727
2020-09-14,10.449999809265137
2020-09-15,10.899999618530273
2020-09-16,11.239999771118164
2020-09-17,11.053999900817871
2020-09-18,11.0
2020-09-21,10.510000228881836
2020-09-22,10.449999809265137
2020-09-23,10.375
2020-09-24,10.399999618530273
2020-09-25,10.390000343322754
2020-09-28,10.399999618530273
2020-09-29,10.319999694824219
2020-09-30,10.449999809265137
2020-10-01,10.380000114440918
2020-10-02,10.369999885559082
2020-10-05,10.220000267028809
2020-10-06,10.199999809265137
2020-10-07,10.199999809265137
2020-10-08,10.34000015258789
2020-10-09,10.229999542236328
2020-10-12,10.180000305175781
2020-10-13,9.949999809265137
2020-10-14,9.970000267028809
2020-10-15,10.0
2020-10-16,10.039999961853027
2020-10-19,10.0
2020-10-20,10.020000457763672
2020-10-21,10.079999923706055
2020-10-22,10.25
2020-10-23,10.1899995803833
2020-10-26,10.010000228881836
2020-10-27,10.100000381469727
2020-10-28,9.880000114440918
2020-10-29,10.0
2020-10-30,10.300000190734863
2020-11-02,10.220000267028809
2020-11-03,10.100000381469727
2020-11-04,10.180000305175781
2020-11-05,9.819999694824219
2020-11-06,10.050000190734863
2020-11-09,10.15999984741211
2020-11-10,10.640000343322754
2020-11-11,10.960000038146973
2020-11-12,11.880000114440918
2020-11-13,12.289999961853027
2020-11-16,12.350000381469727
2020-11-17,12.59000015258789
2020-11-18,12.65999984741211
2020-11-19,12.949999809265137
2020-11-20,13.649999618530273
2020-11-23,14.199999809265137
2020-11-24,13.609999656677246
2020-11-25,13.979999542236328
2020-11-27,14.4399995803833
2020-11-30,14.119999885559082
2020-12-01,14.770000457763672
2020-12-02,15.039999961853027
2020-12-03,15.390000343322754
2020-12-04,15.449999809265137
2020-12-07,17.190000534057617
2020-12-08,16.059999465942383
2020-12-09,16.1299991607666
2020-12-10,16.709999084472656
2020-12-11,16.899999618530273
2020-12-14,17.040000915527344
2020-12-15,17.190000534057617
2020-12-16,16.34000015258789
2020-12-17,18.270000457763672
2020-12-18,17.1200008392334
2020-12-21,17.06999969482422
2020-12-22,17.40999984741211
2020-12-23,17.239999771118164
2020-12-24,17.760000228881836
2020-12-28,17.780000686645508
2020-12-29,16.979999542236328
2020-12-30,17.1200008392334
2020-12-31,16.579999923706055
2021-01-04,16.40999984741211
2021-01-05,15.670000076293945
2021-01-06,15.850000381469727
2021-01-07,16.049999237060547
2021-01-08,15.710000038146973
2021-01-11,15.529999732971191
2021-01-12,15.270000457763672
2021-01-13,15.399999618530273
2021-01-14,15.140000343322754
2021-01-15,14.4399995803833
2021-01-19,14.479999542236328
2021-01-20,14.479999542236328
2021-01-21,14.020000457763672
2021-01-22,13.65999984741211
2021-01-25,13.420000076293945
2021-01-26,13.149999618530273
2021-01-27,12.520000457763672
2021-01-28,12.989999771118164
2021-01-29,12.869999885559082
2021-02-01,12.619999885559082
2021-02-02,13.149999618530273
2021-02-03,12.699999809265137
2021-02-04,12.770000457763672
2021-02-05,13.649999618530273
2021-02-08,14.100000381469727
2021-02-09,14.569999694824219
2021-02-10,15.369999885559082
2021-02-11,15.680000305175781
2021-02-12,15.649999618530273
2021-02-16,14.760000228881836
2021-02-17,14.899999618530273
2021-02-18,14.75
2021-02-19,15.0
2021-02-22,16.06999969482422
2021-02-23,15.960000038146973
2021-02-24,15.920000076293945
2021-02-25,15.029999732971191
2021-02-26,15.15999984741211
2021-03-01,15.869999885559082
2021-03-02,15.4399995803833
2021-03-03,14.65999984741211
2021-03-04,13.779999732971191
2021-03-05,13.779999732971191
2021-03-08,13.100000381469727
2021-03-09,13.729999542236328
2021-03-10,14.010000228881836
2021-03-11,15.130000114440918
2021-03-12,15.779999732971191
2021-03-15,15.770000457763672
2021-03-16,15.9399995803833
2021-03-17,16.170000076293945
2021-03-18,15.960000038146973
2021-03-19,17.18000030517578
2021-03-22,17.739999771118164
2021-03-23,17.59000015258789
2021-03-24,12.5
2021-03-25,12.449999809265137
2021-03-26,12.600000381469727
