,JUST
2018-06-14,40.220001220703125
2018-06-15,40.209999084472656
2018-06-18,40.1349983215332
2018-06-19,39.96900177001953
2018-06-20,40.02000045776367
2018-06-21,39.75
2018-06-22,39.808998107910156
2018-06-25,39.22999954223633
2018-06-26,39.33000183105469
2018-06-27,38.9900016784668
2018-06-28,39.290000915527344
2018-06-29,39.27000045776367
2018-07-02,39.31999969482422
2018-07-03,39.18000030517578
2018-07-05,39.52000045776367
2018-07-06,39.810001373291016
2018-07-09,40.2599983215332
2018-07-10,40.380001068115234
2018-07-11,40.13999938964844
2018-07-12,40.45000076293945
2018-07-13,40.529998779296875
2018-07-16,40.540000915527344
2018-07-17,40.70899963378906
2018-07-18,40.784000396728516
2018-07-19,40.59400177001953
2018-07-20,40.54999923706055
2018-07-23,40.617000579833984
2018-07-24,40.816001892089844
2018-07-25,40.959999084472656
2018-07-26,41.11000061035156
2018-07-27,40.80400085449219
2018-07-30,40.60599899291992
2018-07-31,40.810001373291016
2018-08-01,40.70000076293945
2018-08-02,40.88999938964844
2018-08-03,41.099998474121094
2018-08-06,41.2599983215332
2018-08-07,41.40999984741211
2018-08-08,41.349998474121094
2018-08-09,41.400001525878906
2018-08-10,41.04399871826172
2018-08-13,40.93000030517578
2018-08-14,41.15599822998047
2018-08-15,40.810001373291016
2018-08-16,41.23699951171875
2018-08-17,41.29999923706055
2018-08-20,41.4119987487793
2018-08-21,41.5
2018-08-22,41.540000915527344
2018-08-23,41.439998626708984
2018-08-24,41.689998626708984
2018-08-27,42.040000915527344
2018-08-28,42.0099983215332
2018-08-29,42.29999923706055
2018-08-30,42.099998474121094
2018-08-31,42.095001220703125
2018-09-04,42.029998779296875
2018-09-05,41.869998931884766
2018-09-06,41.79999923706055
2018-09-07,41.63999938964844
2018-09-10,41.70000076293945
2018-09-11,41.88999938964844
2018-09-12,41.91999816894531
2018-09-13,42.082000732421875
2018-09-14,42.15999984741211
2018-09-17,41.900001525878906
2018-09-18,42.125
2018-09-19,42.209999084472656
2018-09-20,42.529998779296875
2018-09-21,42.529998779296875
2018-09-24,42.16999816894531
2018-09-25,42.20000076293945
2018-09-26,41.970001220703125
