,BCOR
1998-12-15,25.0
1998-12-16,33.4375
1998-12-17,42.265625
1998-12-18,46.71875
1998-12-21,44.53125
1998-12-22,42.03125
1998-12-23,49.6875
1998-12-24,53.4375
1998-12-28,58.828125
1998-12-29,55.3125
1998-12-30,47.34375
1998-12-31,47.65625
1999-01-04,41.5625
1999-01-05,46.40625
1999-01-06,49.21875
1999-01-07,48.125
1999-01-08,55.46875
1999-01-11,71.25
1999-01-12,76.71875
1999-01-13,65.3125
1999-01-14,66.09375
1999-01-15,69.375
1999-01-19,75.0
1999-01-20,67.890625
1999-01-21,61.40625
1999-01-22,58.75
1999-01-25,56.328125
1999-01-26,56.5625
1999-01-27,61.171875
1999-01-28,73.75
1999-01-29,71.875
1999-02-01,81.40625
1999-02-02,77.890625
1999-02-03,79.6875
1999-02-04,77.03125
1999-02-05,76.25
1999-02-08,67.65625
1999-02-09,60.15625
1999-02-10,57.734375
1999-02-11,62.34375
1999-02-12,58.90625
1999-02-16,56.71875
1999-02-17,52.34375
1999-02-18,50.546875
1999-02-19,53.125
1999-02-22,58.125
1999-02-23,58.75
1999-02-24,63.90625
1999-02-25,66.25
1999-02-26,68.125
1999-03-01,70.625
1999-03-02,72.34375
1999-03-03,70.9375
1999-03-04,73.75
1999-03-05,72.8125
1999-03-08,76.25
1999-03-09,80.625
1999-03-10,106.171875
1999-03-11,95.9375
1999-03-12,82.5
1999-03-15,96.875
1999-03-16,96.25
1999-03-17,97.65625
1999-03-18,98.125
1999-03-19,97.421875
1999-03-22,101.09375
1999-03-23,96.25
1999-03-24,102.34375
1999-03-25,111.25
1999-03-26,110.3125
1999-03-29,109.375
1999-03-30,111.875
1999-03-31,110.78125
1999-04-01,109.6875
1999-04-05,110.625
1999-04-06,112.03125
1999-04-07,139.375
1999-04-08,137.1875
1999-04-09,137.578125
1999-04-12,157.5
1999-04-13,166.25
1999-04-14,145.0
1999-04-15,151.09375
1999-04-16,145.3125
1999-04-19,107.1875
1999-04-20,115.546875
1999-04-21,148.28125
1999-04-22,137.34375
1999-04-23,145.9375
1999-04-26,168.59375
1999-04-27,158.125
1999-04-28,143.125
1999-04-29,148.28125
1999-04-30,179.140625
1999-05-03,162.5
1999-05-04,142.5
1999-05-05,143.75
1999-05-06,133.75
1999-05-07,135.0
1999-05-10,138.125
1999-05-11,154.375
1999-05-12,151.25
1999-05-13,143.75
1999-05-14,132.1875
1999-05-17,126.5625
1999-05-18,133.75
1999-05-19,134.53125
1999-05-20,131.875
1999-05-21,131.25
1999-05-24,122.5
1999-05-25,99.6875
1999-05-26,96.71875
1999-05-27,112.1875
1999-05-28,117.5
1999-06-01,109.6875
1999-06-02,97.1875
1999-06-03,96.875
1999-06-04,99.84375
1999-06-07,115.9375
1999-06-08,116.875
1999-06-09,115.625
1999-06-10,125.46875
1999-06-11,115.0
1999-06-14,97.96875
1999-06-15,95.9375
1999-06-16,104.53125
1999-06-17,112.5
1999-06-18,115.0
1999-06-21,122.5
1999-06-22,118.28125
1999-06-23,115.3125
1999-06-24,111.25
1999-06-25,105.9375
1999-06-28,112.8125
1999-06-29,122.1875
1999-06-30,117.5
1999-07-01,119.84375
1999-07-02,122.8125
1999-07-06,125.3125
1999-07-07,133.4375
1999-07-08,132.03125
1999-07-09,137.03125
1999-07-12,131.875
1999-07-13,129.6875
1999-07-14,136.5625
1999-07-15,135.625
1999-07-16,148.90625
1999-07-19,142.5
1999-07-20,130.9375
1999-07-21,143.046875
1999-07-22,147.1875
1999-07-23,147.65625
1999-07-26,142.1875
1999-07-27,137.96875
1999-07-28,126.09375
1999-07-29,116.09375
1999-07-30,114.84375
1999-08-02,110.0
1999-08-03,104.0625
1999-08-04,102.96875
1999-08-05,109.375
1999-08-06,110.0
1999-08-09,106.25
1999-08-10,107.03125
1999-08-11,102.1875
1999-08-12,102.03125
1999-08-13,104.375
1999-08-16,103.125
1999-08-17,108.125
1999-08-18,116.5625
1999-08-19,108.90625
1999-08-20,108.90625
1999-08-23,112.65625
1999-08-24,113.75
1999-08-25,110.15625
1999-08-26,111.71875
1999-08-27,113.125
1999-08-30,112.5
1999-08-31,115.15625
1999-09-01,115.625
1999-09-02,114.84375
1999-09-03,117.34375
1999-09-07,118.59375
1999-09-08,117.5
1999-09-09,118.75
1999-09-10,120.15625
1999-09-13,122.1875
1999-09-14,121.71875
1999-09-15,116.25
1999-09-16,111.71875
1999-09-17,114.375
1999-09-20,108.4375
1999-09-21,104.375
1999-09-22,103.75
1999-09-23,102.5
1999-09-24,94.375
1999-09-27,98.59375
1999-09-28,105.15625
1999-09-29,105.625
1999-09-30,102.8125
1999-10-01,102.5
1999-10-04,101.09375
1999-10-05,101.25
1999-10-06,109.0625
1999-10-07,122.5
1999-10-08,121.875
1999-10-11,121.71875
1999-10-12,121.5625
1999-10-13,118.4375
1999-10-14,117.5
1999-10-15,112.96875
1999-10-18,117.65625
1999-10-19,112.65625
1999-10-20,116.09375
1999-10-21,119.21875
1999-10-22,121.09375
1999-10-25,118.4375
1999-10-26,123.75
1999-10-27,119.375
1999-10-28,125.0
1999-10-29,139.0625
1999-11-01,138.90625
1999-11-02,141.40625
1999-11-03,141.71875
1999-11-04,143.75
1999-11-05,155.0
1999-11-08,164.84375
1999-11-09,159.53125
1999-11-10,155.9375
1999-11-11,148.125
1999-11-12,158.59375
1999-11-15,184.21875
1999-11-16,208.75
1999-11-17,208.4375
1999-11-18,214.0625
1999-11-19,207.5
1999-11-22,235.625
1999-11-23,231.5625
1999-11-24,260.0
1999-11-26,274.375
1999-11-29,277.34375
1999-11-30,254.21875
1999-12-01,260.9375
1999-12-02,287.8125
1999-12-03,328.4375
1999-12-06,372.5
1999-12-07,434.21875
1999-12-08,424.21875
1999-12-09,426.25
1999-12-10,395.15625
1999-12-13,380.390625
1999-12-14,357.5
1999-12-15,342.8125
1999-12-16,381.25
1999-12-17,416.71875
1999-12-20,393.75
1999-12-21,433.75
1999-12-22,475.0
1999-12-23,465.3125
1999-12-27,456.875
1999-12-28,504.375
1999-12-29,508.125
1999-12-30,534.375
1999-12-31,535.0
2000-01-03,531.875
2000-01-04,472.5
2000-01-05,477.5
2000-01-06,445.625
2000-01-07,495.9375
2000-01-10,572.5
2000-01-11,575.9375
2000-01-12,536.25
2000-01-13,565.9375
2000-01-14,580.0
2000-01-18,586.25
2000-01-19,649.6875
2000-01-20,701.25
2000-01-21,680.0
2000-01-24,625.9375
2000-01-25,747.5
2000-01-26,700.0
2000-01-27,837.5
2000-01-28,758.75
2000-01-31,700.625
2000-02-01,728.75
2000-02-02,721.25
2000-02-03,769.6875
2000-02-04,750.625
2000-02-07,785.625
2000-02-08,836.25
2000-02-09,912.1875
2000-02-10,957.5
2000-02-11,956.5625
2000-02-14,1002.5
2000-02-15,1002.8125
2000-02-16,995.625
2000-02-17,1005.0
2000-02-18,1001.25
2000-02-22,981.25
2000-02-23,972.5
2000-02-24,1108.125
2000-02-25,1126.5625
2000-02-28,1090.625
2000-02-29,1085.0
2000-03-01,1190.0
2000-03-02,1305.3125
2000-03-03,1299.0625
2000-03-06,1267.5
2000-03-07,1297.5
2000-03-08,1260.625
2000-03-09,1284.6875
2000-03-10,1224.6875
2000-03-13,1156.5625
2000-03-14,1011.5625
2000-03-15,975.625
2000-03-16,1125.3125
2000-03-17,1047.5
2000-03-20,865.0
2000-03-21,798.125
