,EAR
2020-10-16,33.68000030517578
2020-10-19,35.06999969482422
2020-10-20,33.849998474121094
2020-10-21,34.54999923706055
2020-10-22,35.70000076293945
2020-10-23,38.25
2020-10-26,36.0099983215332
2020-10-27,36.58000183105469
2020-10-28,36.959999084472656
2020-10-29,35.06999969482422
2020-10-30,34.650001525878906
2020-11-02,33.5
2020-11-03,34.779998779296875
2020-11-04,35.0
2020-11-05,35.0
2020-11-06,34.75
2020-11-09,34.29999923706055
2020-11-10,33.900001525878906
2020-11-11,34.52000045776367
2020-11-12,35.119998931884766
2020-11-13,34.400001525878906
2020-11-16,34.83000183105469
2020-11-17,33.4900016784668
2020-11-18,35.59000015258789
2020-11-19,36.0
2020-11-20,35.7599983215332
2020-11-23,36.54999923706055
2020-11-24,41.849998474121094
2020-11-25,45.95000076293945
2020-11-27,49.75
2020-11-30,50.11000061035156
2020-12-01,51.79999923706055
2020-12-02,47.36000061035156
2020-12-03,46.58000183105469
2020-12-04,49.45000076293945
2020-12-07,47.959999084472656
2020-12-08,48.650001525878906
2020-12-09,46.88999938964844
2020-12-10,47.9900016784668
2020-12-11,56.97999954223633
2020-12-14,47.470001220703125
2020-12-15,48.349998474121094
2020-12-16,50.70000076293945
2020-12-17,50.68000030517578
2020-12-18,47.540000915527344
2020-12-21,47.5
2020-12-22,57.939998626708984
2020-12-23,55.29999923706055
2020-12-24,53.75
2020-12-28,51.31999969482422
2020-12-29,50.0
2020-12-30,47.90999984741211
2020-12-31,44.81999969482422
2021-01-04,42.5
2021-01-05,46.349998474121094
2021-01-06,45.650001525878906
2021-01-07,47.33000183105469
2021-01-08,49.88999938964844
2021-01-11,51.29999923706055
2021-01-12,53.91999816894531
2021-01-13,59.779998779296875
2021-01-14,56.31999969482422
2021-01-15,54.779998779296875
2021-01-19,54.90999984741211
2021-01-20,55.79999923706055
2021-01-21,56.66999816894531
2021-01-22,63.0
2021-01-25,62.400001525878906
2021-01-26,56.9900016784668
2021-01-27,57.0099983215332
2021-01-28,54.58000183105469
2021-01-29,52.58000183105469
2021-02-01,56.150001525878906
2021-02-02,60.09000015258789
2021-02-03,63.02000045776367
2021-02-04,64.56999969482422
2021-02-05,64.37999725341797
2021-02-08,70.30999755859375
2021-02-09,72.94000244140625
2021-02-10,75.37000274658203
2021-02-11,68.6500015258789
2021-02-12,71.83000183105469
2021-02-16,70.80000305175781
2021-02-17,68.77999877929688
2021-02-18,68.91000366210938
2021-02-19,69.02999877929688
2021-02-22,63.61000061035156
2021-02-23,64.62999725341797
2021-02-24,63.959999084472656
2021-02-25,61.15999984741211
2021-02-26,58.40999984741211
2021-03-01,56.709999084472656
2021-03-02,60.38999938964844
2021-03-03,55.75
2021-03-04,54.060001373291016
2021-03-05,55.66999816894531
2021-03-08,49.290000915527344
2021-03-09,51.33000183105469
2021-03-10,54.56999969482422
2021-03-11,57.34000015258789
2021-03-12,58.599998474121094
2021-03-15,54.650001525878906
2021-03-16,52.529998779296875
2021-03-17,55.13999938964844
2021-03-18,46.7400016784668
2021-03-19,47.38999938964844
2021-03-22,50.7599983215332
2021-03-23,53.11000061035156
2021-03-24,50.56999969482422
2021-03-25,52.369998931884766
2021-03-26,47.68000030517578
2021-03-29,43.79999923706055
2021-03-30,44.720001220703125
2021-03-31,49.95000076293945
2021-04-01,51.779998779296875
2021-04-05,51.83000183105469
2021-04-06,54.95000076293945
2021-04-07,51.18000030517578
2021-04-08,52.2599983215332
2021-04-09,52.88999938964844
2021-04-12,49.130001068115234
2021-04-13,49.4900016784668
2021-04-14,48.0
2021-04-15,47.959999084472656
2021-04-16,47.0099983215332
2021-04-19,47.279998779296875
2021-04-20,46.25
2021-04-21,48.040000915527344
2021-04-22,49.029998779296875
2021-04-23,50.720001220703125
2021-04-26,54.439998626708984
2021-04-27,55.099998474121094
2021-04-28,55.869998931884766
2021-04-29,57.779998779296875
2021-04-30,57.2400016784668
2021-05-03,51.869998931884766
2021-05-04,47.75
2021-05-05,45.0
2021-05-06,42.5
2021-05-07,41.27000045776367
2021-05-10,36.66999816894531
2021-05-11,38.2400016784668
2021-05-12,39.0
2021-05-13,32.65999984741211
2021-05-14,34.47999954223633
