,ASML
1995-03-15,2.109375
1995-03-16,2.320312976837158
1995-03-17,2.238281011581421
1995-03-20,2.226562976837158
1995-03-21,2.332031011581421
1995-03-22,2.613281011581421
1995-03-23,2.554687976837158
1995-03-24,2.566406011581421
1995-03-27,2.601562976837158
1995-03-28,2.683593988418579
1995-03-29,2.695312976837158
1995-03-30,2.542968988418579
1995-03-31,2.636718988418579
1995-04-03,2.578125
1995-04-04,2.425781011581421
1995-04-05,2.367187976837158
1995-04-06,2.367187976837158
1995-04-07,2.367187976837158
1995-04-10,2.484375
1995-04-11,2.484375
1995-04-12,2.53125
1995-04-13,2.484375
1995-04-17,2.402343988418579
1995-04-18,2.355468988418579
1995-04-19,2.332031011581421
1995-04-20,2.332031011581421
1995-04-21,2.378906011581421
1995-04-24,2.671875
1995-04-25,2.566406011581421
1995-04-26,2.660156011581421
1995-04-27,2.671875
1995-04-28,2.566406011581421
1995-05-01,2.554687976837158
1995-05-02,2.566406011581421
1995-05-03,2.636718988418579
1995-05-04,2.800781011581421
1995-05-05,2.835937976837158
1995-05-08,2.882812976837158
1995-05-09,2.800781011581421
1995-05-10,2.707031011581421
1995-05-11,2.648437976837158
1995-05-12,2.800781011581421
1995-05-15,2.882812976837158
1995-05-16,2.882812976837158
1995-05-17,3.175781011581421
1995-05-18,3.269531011581421
1995-05-19,3.164062976837158
1995-05-22,3.117187976837158
1995-05-23,3.234375
1995-05-24,3.328125
1995-05-25,3.222656011581421
1995-05-26,3.199218988418579
1995-05-30,3.077636957168579
1995-05-31,3.023437976837158
1995-06-01,3.064452886581421
1995-06-02,3.117187976837158
1995-06-05,3.152343988418579
1995-06-06,3.082031011581421
1995-06-07,3.105468988418579
1995-06-08,3.128906011581421
1995-06-09,3.164062976837158
1995-06-12,3.152343988418579
1995-06-13,3.164062976837158
1995-06-14,3.117187976837158
1995-06-15,3.128906011581421
1995-06-16,3.128906011581421
1995-06-19,3.164062976837158
1995-06-20,3.175781011581421
1995-06-21,3.152343988418579
1995-06-22,3.105468988418579
1995-06-23,3.105468988418579
1995-06-26,3.1875
1995-06-27,3.128906011581421
1995-06-28,3.082031011581421
1995-06-29,3.292968988418579
1995-06-30,3.363281011581421
1995-07-03,3.46875
1995-07-05,3.621093988418579
1995-07-06,3.621093988418579
1995-07-07,3.714843988418579
1995-07-10,3.796875
1995-07-11,3.726562976837158
1995-07-12,3.914062976837158
1995-07-13,4.511719226837158
1995-07-14,4.347655773162842
1995-07-17,4.371094226837158
1995-07-18,4.230469226837158
1995-07-19,4.195312976837158
1995-07-20,4.546875
1995-07-21,4.652344226837158
1995-07-24,4.816405773162842
1995-07-25,5.050780773162842
1995-07-26,5.0625
1995-07-27,5.214844226837158
1995-07-28,5.238280773162842
1995-07-31,5.25
1995-08-01,4.939453125
1995-08-02,4.746094226837158
1995-08-03,4.640625
1995-08-04,4.359375
1995-08-07,4.523437976837158
1995-08-08,4.617187976837158
1995-08-09,4.523437976837158
1995-08-10,4.394530773162842
1995-08-11,4.464844226837158
1995-08-14,4.652344226837158
1995-08-15,4.640625
1995-08-16,4.921875
1995-08-17,4.910155773162842
1995-08-18,4.898437976837158
1995-08-21,4.488280773162842
1995-08-22,4.570312976837158
1995-08-23,4.652344226837158
1995-08-24,4.570312976837158
1995-08-25,4.59375
1995-08-28,4.523437976837158
1995-08-29,4.40625
1995-08-30,4.382812976837158
1995-08-31,4.417969226837158
1995-09-01,4.546875
1995-09-05,4.839844226837158
1995-09-06,4.851562976837158
1995-09-07,4.839844226837158
1995-09-08,4.828125
1995-09-11,5.0625
1995-09-12,4.921875
1995-09-13,4.863280773162842
1995-09-14,4.828125
1995-09-15,4.617187976837158
1995-09-18,4.535155773162842
1995-09-19,4.617187976837158
1995-09-20,4.664062976837158
1995-09-21,4.605469226837158
1995-09-22,4.148437976837158
1995-09-25,4.289062976837158
1995-09-26,4.318358898162842
1995-09-27,4.007812976837158
1995-09-28,4.113280773162842
1995-09-29,4.113280773162842
1995-10-02,3.726562976837158
1995-10-03,3.796875
1995-10-04,3.761718988418579
1995-10-05,3.75
1995-10-06,3.820312976837158
1995-10-09,3.738281011581421
1995-10-10,3.667968988418579
1995-10-11,3.820312976837158
1995-10-12,3.984375
1995-10-13,3.9375
1995-10-16,3.867187976837158
1995-10-17,4.207030773162842
1995-10-18,4.617187976837158
1995-10-19,4.253905773162842
1995-10-20,4.347655773162842
1995-10-23,4.558594226837158
1995-10-24,4.710937976837158
1995-10-25,4.617187976837158
1995-10-26,4.5
1995-10-27,4.453125
1995-10-30,4.582030773162842
1995-10-31,4.652344226837158
1995-11-01,4.628905773162842
1995-11-02,4.59375
1995-11-03,4.617187976837158
1995-11-06,4.652344226837158
1995-11-07,4.359375
1995-11-08,4.359375
1995-11-09,4.464844226837158
1995-11-10,4.453125
1995-11-13,4.230469226837158
1995-11-14,4.089844226837158
1995-11-15,4.054687976837158
1995-11-16,4.242187976837158
1995-11-17,4.265625
1995-11-20,4.15283203125
1995-11-21,4.019530773162842
1995-11-22,4.03125
1995-11-24,4.07666015625
1995-11-27,4.078125
1995-11-28,4.019530773162842
1995-11-29,4.078125
1995-11-30,3.949218988418579
1995-12-01,3.9375
1995-12-04,3.679687976837158
1995-12-05,3.832031011581421
1995-12-06,3.773437976837158
1995-12-07,3.609375
1995-12-08,3.679687976837158
1995-12-11,3.75
