,CARA
2014-01-31,12.90999984741211
2014-02-03,12.630000114440918
2014-02-04,11.739999771118164
2014-02-05,10.600000381469727
2014-02-06,11.670000076293945
2014-02-07,11.84000015258789
2014-02-10,13.680000305175781
2014-02-11,13.149999618530273
2014-02-12,13.390000343322754
2014-02-13,13.489999771118164
2014-02-14,13.239999771118164
2014-02-18,13.859999656677246
2014-02-19,13.260000228881836
2014-02-20,13.90999984741211
2014-02-21,15.0
2014-02-24,14.479999542236328
2014-02-25,14.899999618530273
2014-02-26,15.449999809265137
2014-02-27,17.360000610351562
2014-02-28,18.8799991607666
2014-03-03,21.280000686645508
2014-03-04,21.860000610351562
2014-03-05,22.489999771118164
2014-03-06,21.190000534057617
2014-03-07,20.0
2014-03-10,20.170000076293945
2014-03-11,20.06999969482422
2014-03-12,20.0
2014-03-13,18.43000030517578
2014-03-14,17.260000228881836
2014-03-17,18.5
2014-03-18,19.950000762939453
2014-03-19,19.049999237060547
2014-03-20,18.1299991607666
2014-03-21,17.149999618530273
2014-03-24,16.520000457763672
2014-03-25,16.889999389648438
2014-03-26,16.969999313354492
2014-03-27,17.309999465942383
2014-03-28,16.520000457763672
2014-03-31,18.610000610351562
2014-04-01,19.25
2014-04-02,19.969999313354492
2014-04-03,18.770000457763672
2014-04-04,18.5
2014-04-07,17.600000381469727
2014-04-08,18.290000915527344
2014-04-09,18.299999237060547
2014-04-10,17.079999923706055
2014-04-11,15.479999542236328
2014-04-14,15.479999542236328
2014-04-15,13.819999694824219
2014-04-16,13.640000343322754
2014-04-17,13.380000114440918
2014-04-21,14.930000305175781
2014-04-22,16.719999313354492
2014-04-23,15.350000381469727
2014-04-24,14.199999809265137
2014-04-25,13.8100004196167
2014-04-28,13.369999885559082
2014-04-29,14.319999694824219
2014-04-30,14.390000343322754
2014-05-01,14.350000381469727
2014-05-02,13.880000114440918
2014-05-05,14.529999732971191
2014-05-06,14.479999542236328
2014-05-07,13.739999771118164
2014-05-08,13.630000114440918
2014-05-09,13.880000114440918
2014-05-12,13.640000343322754
2014-05-13,13.640000343322754
2014-05-14,13.649999618530273
2014-05-15,13.869999885559082
2014-05-16,14.029999732971191
2014-05-19,14.020000457763672
2014-05-20,13.84000015258789
2014-05-21,13.710000038146973
2014-05-22,13.649999618530273
2014-05-23,14.119999885559082
2014-05-27,14.100000381469727
2014-05-28,14.319999694824219
