,EZJ
2009-06-05,18.996667861938477
2009-06-08,19.34666633605957
2009-06-09,19.25
2009-06-10,19.43000030517578
2009-06-11,20.420000076293945
2009-06-12,19.99333381652832
2009-06-15,19.32666778564453
2009-06-16,19.079999923706055
2009-06-17,19.450000762939453
2009-06-18,19.356666564941406
2009-06-19,19.690000534057617
2009-06-22,18.690000534057617
2009-06-23,19.093332290649414
2009-06-24,19.336666107177734
2009-06-25,20.043333053588867
2009-06-26,20.290000915527344
2009-06-29,19.90999984741211
2009-06-30,19.690000534057617
2009-07-01,20.18000030517578
2009-07-02,19.270000457763672
2009-07-06,19.586666107177734
2009-07-07,19.149999618530273
2009-07-08,18.920000076293945
2009-07-09,19.083332061767578
2009-07-10,18.636667251586914
2009-07-13,18.386667251586914
2009-07-14,18.75
2009-07-15,19.23666763305664
2009-07-16,18.956666946411133
2009-07-17,18.866666793823242
2009-07-20,19.35333251953125
2009-07-21,19.85333251953125
2009-07-22,20.22333335876465
2009-07-23,20.433332443237305
2009-07-24,20.649999618530273
2009-07-27,20.476667404174805
2009-07-28,20.450000762939453
2009-07-29,20.71666717529297
2009-07-30,21.496667861938477
2009-07-31,21.60333251953125
2009-08-03,22.280000686645508
2009-08-04,22.046667098999023
2009-08-05,21.843332290649414
2009-08-06,21.559999465942383
2009-08-07,21.746667861938477
2009-08-10,21.616666793823242
2009-08-11,21.65333366394043
2009-08-12,21.906667709350586
2009-08-13,22.206666946411133
2009-08-14,22.206666946411133
2009-08-17,21.106666564941406
2009-08-18,21.65333366394043
2009-08-19,21.873332977294922
2009-08-20,22.333332061767578
2009-08-21,22.636667251586914
2009-08-24,22.65333366394043
2009-08-25,23.0
2009-08-26,22.950000762939453
2009-08-27,23.28333282470703
2009-08-28,23.09000015258789
2009-08-31,22.773332595825195
2009-09-01,22.190000534057617
2009-09-02,22.47333335876465
2009-09-03,22.21666717529297
2009-09-04,22.190000534057617
2009-09-08,22.553333282470703
2009-09-09,22.796667098999023
2009-09-10,23.156667709350586
2009-09-11,23.5
2009-09-14,23.116666793823242
2009-09-15,22.746667861938477
2009-09-16,22.97333335876465
2009-09-17,22.579999923706055
2009-09-18,22.809999465942383
2009-09-21,22.219999313354492
2009-09-22,22.926666259765625
2009-09-23,22.573333740234375
2009-09-24,22.296667098999023
2009-09-25,22.296667098999023
2009-09-28,22.21666717529297
2009-09-29,21.543333053588867
2009-09-30,21.616666793823242
2009-10-01,21.616666793823242
2009-10-02,21.616666793823242
2009-10-05,20.350000381469727
2009-10-06,20.856666564941406
2009-10-07,21.190000534057617
2009-10-08,21.790000915527344
2009-10-09,21.790000915527344
2009-10-12,21.82666778564453
2009-10-13,21.82666778564453
2009-10-14,21.82666778564453
2009-10-15,21.733333587646484
2009-10-16,21.733333587646484
2009-10-19,21.773332595825195
2009-10-20,21.463333129882812
2009-10-21,21.829999923706055
2009-10-22,21.036666870117188
2009-10-23,20.796667098999023
2009-10-26,20.376667022705078
2009-10-27,20.246667861938477
2009-10-28,19.920000076293945
2009-10-29,19.920000076293945
2009-10-30,19.979999542236328
2009-11-02,19.979999542236328
2009-11-03,19.93666648864746
2009-11-04,19.93666648864746
2009-11-05,20.530000686645508
2009-11-06,20.530000686645508
2009-11-09,20.523332595825195
2009-11-10,20.523332595825195
2009-11-11,20.523332595825195
2009-11-12,20.0
2009-11-13,20.0
2009-11-16,20.3700008392334
2009-11-17,20.3700008392334
2009-11-18,19.56333351135254
