,APP
2021-04-15,65.19999694824219
2021-04-16,61.0
2021-04-19,58.86000061035156
2021-04-20,60.150001525878906
2021-04-21,61.810001373291016
2021-04-22,62.099998474121094
2021-04-23,58.5
2021-04-26,59.79999923706055
2021-04-27,58.849998474121094
2021-04-28,58.75
2021-04-29,59.16999816894531
2021-04-30,58.0099983215332
2021-05-03,60.060001373291016
2021-05-04,58.54999923706055
2021-05-05,58.18000030517578
2021-05-06,56.93000030517578
2021-05-07,57.2599983215332
2021-05-10,55.5
2021-05-11,53.459999084472656
2021-05-12,52.25
2021-05-13,49.869998931884766
2021-05-14,57.2599983215332
