,CLRMU
2021-01-29,10.260000228881836
2021-02-01,10.350000381469727
2021-02-02,10.3100004196167
2021-02-03,10.430000305175781
2021-02-04,10.329999923706055
2021-02-05,10.390000343322754
2021-02-08,10.529999732971191
2021-02-09,10.539999961853027
2021-02-10,10.510000228881836
2021-02-11,10.579999923706055
2021-02-12,10.430000305175781
2021-02-16,10.449999809265137
2021-02-17,10.5
2021-02-18,10.5
2021-02-19,10.5
2021-02-22,10.489999771118164
2021-02-23,10.378999710083008
2021-02-24,10.49899959564209
2021-02-25,10.350000381469727
2021-02-26,10.1899995803833
2021-03-01,10.229999542236328
2021-03-02,10.130000114440918
2021-03-03,10.140000343322754
2021-03-04,10.039999961853027
2021-03-05,10.0
2021-03-08,10.079999923706055
2021-03-09,10.100000381469727
2021-03-10,10.039999961853027
2021-03-11,10.020000457763672
2021-03-12,10.029999732971191
2021-03-15,10.039999961853027
2021-03-16,9.979999542236328
2021-03-17,9.989999771118164
2021-03-18,9.970000267028809
2021-03-19,9.960000038146973
2021-03-22,9.890000343322754
2021-03-23,9.850000381469727
2021-03-24,9.829999923706055
2021-03-25,9.829999923706055
2021-03-26,9.880000114440918
2021-03-29,9.899999618530273
2021-03-30,9.899999618530273
2021-03-31,9.949999809265137
2021-04-01,10.0
2021-04-05,10.0
2021-04-06,9.979999542236328
2021-04-07,9.970000267028809
2021-04-08,9.989999771118164
2021-04-09,10.029999732971191
2021-04-12,9.899999618530273
2021-04-13,10.010000228881836
2021-04-14,10.010000228881836
2021-04-15,10.09000015258789
2021-04-16,10.0
2021-04-19,9.989999771118164
2021-04-20,9.899999618530273
2021-04-21,9.920000076293945
2021-04-22,9.970000267028809
2021-04-23,9.970000267028809
2021-04-26,9.970000267028809
2021-04-27,9.930000305175781
2021-04-28,9.989999771118164
2021-04-29,9.96500015258789
2021-04-30,9.96500015258789
2021-05-03,9.989999771118164
2021-05-04,9.989999771118164
2021-05-05,10.0
2021-05-06,10.010000228881836
2021-05-07,9.993000030517578
2021-05-10,10.0
2021-05-11,10.0
2021-05-12,9.989999771118164
2021-05-13,9.956999778747559
2021-05-14,9.989999771118164
