,FINMU
2021-01-13,10.4350004196167
2021-01-14,10.420000076293945
2021-01-15,10.5
2021-01-19,10.484999656677246
2021-01-20,10.5
2021-01-21,10.550000190734863
2021-01-22,10.649999618530273
2021-01-25,10.670000076293945
2021-01-26,10.6899995803833
2021-01-27,10.600000381469727
2021-01-28,10.5
2021-01-29,10.40999984741211
2021-02-01,10.600000381469727
2021-02-02,10.600000381469727
2021-02-03,11.15999984741211
2021-02-04,11.079999923706055
2021-02-05,10.835000038146973
2021-02-08,10.819999694824219
2021-02-09,10.680000305175781
2021-02-10,10.710000038146973
2021-02-11,10.65999984741211
2021-02-12,10.539999961853027
2021-02-16,10.520000457763672
2021-02-17,10.600000381469727
2021-02-18,10.479999542236328
2021-02-19,10.510000228881836
2021-02-22,10.640000343322754
2021-02-23,10.5
2021-02-24,10.5
2021-02-25,10.449999809265137
2021-02-26,10.399999618530273
2021-03-01,10.350000381469727
2021-03-02,10.220000267028809
2021-03-03,10.100000381469727
2021-03-04,10.069999694824219
2021-03-05,10.25
2021-03-08,10.270000457763672
2021-03-09,10.109999656677246
2021-03-10,10.039999961853027
2021-03-11,10.140000343322754
2021-03-12,10.100000381469727
2021-03-15,10.079999923706055
2021-03-16,10.010000228881836
2021-03-17,10.010000228881836
2021-03-18,10.029999732971191
2021-03-19,10.0
2021-03-22,9.970000267028809
2021-03-23,9.880000114440918
2021-03-24,9.850000381469727
2021-03-25,9.850000381469727
2021-03-26,9.970000267028809
2021-03-29,9.920000076293945
2021-03-30,9.899999618530273
2021-03-31,9.880000114440918
2021-04-01,9.930000305175781
2021-04-05,9.899999618530273
2021-04-06,9.899999618530273
2021-04-07,9.979999542236328
2021-04-08,10.029999732971191
2021-04-09,10.0
2021-04-12,10.039999961853027
2021-04-13,10.050000190734863
2021-04-14,10.079999923706055
2021-04-15,10.069999694824219
2021-04-16,10.050000190734863
2021-04-19,10.0600004196167
2021-04-20,10.0
2021-04-21,10.039999961853027
2021-04-22,9.960000038146973
2021-04-23,9.989999771118164
2021-04-26,9.979999542236328
2021-04-27,9.979999542236328
2021-04-28,10.020999908447266
2021-04-29,9.989999771118164
2021-04-30,9.989999771118164
2021-05-03,10.050000190734863
2021-05-04,9.989999771118164
2021-05-05,9.996999740600586
2021-05-06,10.0
2021-05-07,9.989999771118164
2021-05-10,10.0
2021-05-11,10.0
2021-05-12,9.989999771118164
2021-05-13,9.949999809265137
2021-05-14,9.954999923706055
