,BYSI
2017-03-09,16.799999237060547
2017-03-10,19.25
2017-03-13,19.700000762939453
2017-03-14,18.33799934387207
2017-03-15,18.780000686645508
2017-03-16,18.75
2017-03-17,19.799999237060547
2017-03-20,19.38599967956543
2017-03-21,18.5
2017-03-22,18.530000686645508
2017-03-23,19.200000762939453
2017-03-24,18.600000381469727
2017-03-27,19.440000534057617
2017-03-28,19.56100082397461
2017-03-29,19.670000076293945
2017-03-30,19.790000915527344
2017-03-31,19.93000030517578
2017-04-03,19.760000228881836
2017-04-04,19.90999984741211
2017-04-05,19.799999237060547
2017-04-06,19.8700008392334
2017-04-07,20.100000381469727
2017-04-10,19.969999313354492
2017-04-11,19.989999771118164
2017-04-12,19.950000762939453
2017-04-13,20.5
2017-04-17,20.600000381469727
2017-04-18,20.989999771118164
2017-04-19,21.600000381469727
2017-04-20,21.489999771118164
2017-04-21,21.700000762939453
2017-04-24,21.625
2017-04-25,21.56999969482422
2017-04-26,22.860000610351562
2017-04-27,25.0
2017-04-28,24.639999389648438
2017-05-01,24.989999771118164
2017-05-02,26.0
2017-05-03,26.200000762939453
2017-05-04,26.989999771118164
2017-05-05,26.31999969482422
2017-05-08,26.399999618530273
2017-05-09,26.31999969482422
2017-05-10,25.860000610351562
2017-05-11,25.81999969482422
2017-05-12,26.350000381469727
2017-05-15,26.799999237060547
2017-05-16,27.440000534057617
2017-05-17,26.899999618530273
2017-05-18,27.5
2017-05-19,27.9689998626709
2017-05-22,29.25
2017-05-23,29.809999465942383
2017-05-24,30.149999618530273
2017-05-25,31.799999237060547
2017-05-26,31.674999237060547
2017-05-30,32.25
2017-05-31,34.900001525878906
2017-06-01,38.29999923706055
2017-06-02,42.599998474121094
2017-06-05,43.400001525878906
2017-06-06,43.75
2017-06-07,42.189998626708984
2017-06-08,43.31999969482422
2017-06-09,43.5
2017-06-12,42.33000183105469
2017-06-13,37.439998626708984
2017-06-14,34.29999923706055
2017-06-15,35.32500076293945
2017-06-16,36.79999923706055
2017-06-19,33.709999084472656
2017-06-20,31.600000381469727
2017-06-21,30.014999389648438
2017-06-22,32.5
2017-06-23,35.70000076293945
2017-06-26,38.099998474121094
2017-06-27,39.0
2017-06-28,41.79999923706055
2017-06-29,42.900001525878906
2017-06-30,42.875
2017-07-03,48.349998474121094
2017-07-05,45.880001068115234
2017-07-06,44.900001525878906
2017-07-07,42.900001525878906
2017-07-10,39.9900016784668
2017-07-11,38.810001373291016
2017-07-12,42.0
2017-07-13,40.130001068115234
2017-07-14,41.880001068115234
2017-07-17,41.13999938964844
2017-07-18,41.779998779296875
2017-07-19,40.209999084472656
2017-07-20,39.0
2017-07-21,37.79999923706055
2017-07-24,41.72999954223633
2017-07-25,39.70000076293945
2017-07-26,38.7599983215332
2017-07-27,39.5
2017-07-28,39.0099983215332
2017-07-31,41.7400016784668
2017-08-01,39.5
2017-08-02,39.599998474121094
2017-08-03,38.290000915527344
2017-08-04,38.36000061035156
2017-08-07,40.0
2017-08-08,41.279998779296875
2017-08-09,40.790000915527344
2017-08-10,39.0099983215332
2017-08-11,39.2599983215332
2017-08-14,39.0
2017-08-15,39.150001525878906
2017-08-16,39.25
2017-08-17,38.40999984741211
2017-08-18,40.970001220703125
2017-08-21,38.40999984741211
2017-08-22,38.5
2017-08-23,38.29999923706055
2017-08-24,36.75
2017-08-25,37.959999084472656
2017-08-28,37.099998474121094
2017-08-29,40.400001525878906
2017-08-30,38.70000076293945
2017-08-31,38.5
2017-09-01,40.59000015258789
2017-09-05,35.75
2017-09-06,35.54999923706055
2017-09-07,36.5
2017-09-08,36.20000076293945
2017-09-11,36.5099983215332
2017-09-12,37.22999954223633
2017-09-13,38.095001220703125
2017-09-14,37.54999923706055
2017-09-15,38.0
2017-09-18,38.11000061035156
2017-09-19,38.854000091552734
2017-09-20,39.0
2017-09-21,39.422000885009766
2017-09-22,38.599998474121094
2017-09-25,38.279998779296875
2017-09-26,37.0
2017-09-27,37.060001373291016
2017-09-28,37.0
2017-09-29,36.869998931884766
2017-10-02,38.0
2017-10-03,39.470001220703125
2017-10-04,38.5
2017-10-05,38.95000076293945
2017-10-06,39.04999923706055
2017-10-09,39.0
2017-10-10,39.0
2017-10-11,39.19599914550781
2017-10-12,39.0
2017-10-13,38.0
2017-10-16,36.75
2017-10-17,35.97999954223633
2017-10-18,35.7599983215332
2017-10-19,35.0
2017-10-20,28.989999771118164
2017-10-23,32.5
2017-10-24,32.79999923706055
2017-10-25,33.11000061035156
2017-10-26,35.349998474121094
2017-10-27,36.279998779296875
2017-10-30,33.84000015258789
2017-10-31,35.20000076293945
2017-11-01,35.810001373291016
2017-11-02,35.810001373291016
2017-11-03,35.0
2017-11-06,35.0
2017-11-07,34.999000549316406
2017-11-08,35.599998474121094
2017-11-09,35.599998474121094
2017-11-10,35.5099983215332
2017-11-13,34.83000183105469
2017-11-14,34.630001068115234
2017-11-15,34.209999084472656
2017-11-16,34.369998931884766
2017-11-17,35.25
2017-11-20,34.04999923706055
2017-11-21,34.69599914550781
2017-11-22,34.06800079345703
2017-11-24,29.13599967956543
2017-11-27,32.39500045776367
2017-11-28,33.869998931884766
2017-11-29,33.80500030517578
2017-11-30,32.5099983215332
2017-12-01,32.5099983215332
2017-12-04,32.5099983215332
2017-12-05,31.59000015258789
2017-12-06,31.59000015258789
2017-12-07,31.59000015258789
2017-12-08,31.700000762939453
2017-12-11,31.700000762939453
2017-12-12,28.450000762939453
2017-12-13,30.860000610351562
2017-12-14,29.110000610351562
2017-12-15,32.41999816894531
2017-12-18,30.239999771118164
2017-12-19,29.000999450683594
2017-12-20,34.0
2017-12-21,31.510000228881836
2017-12-22,31.059999465942383
2017-12-26,32.58000183105469
2017-12-27,30.040000915527344
2017-12-28,28.610000610351562
2017-12-29,29.07900047302246
2018-01-02,29.0
2018-01-03,30.500999450683594
2018-01-04,28.93000030517578
2018-01-05,28.0
2018-01-08,28.0
2018-01-09,27.59000015258789
2018-01-10,27.799999237060547
2018-01-11,26.729999542236328
2018-01-12,25.739999771118164
2018-01-16,23.40999984741211
2018-01-17,25.0
2018-01-18,25.6200008392334
2018-01-19,25.969999313354492
2018-01-22,28.209999084472656
2018-01-23,31.551000595092773
2018-01-24,33.93600082397461
2018-01-25,32.81999969482422
2018-01-26,31.75
2018-01-29,28.85700035095215
2018-01-30,28.0
2018-01-31,29.139999389648438
2018-02-01,26.639999389648438
2018-02-02,26.920000076293945
2018-02-05,27.356000900268555
2018-02-06,26.010000228881836
2018-02-07,27.290000915527344
2018-02-08,26.469999313354492
2018-02-09,26.999000549316406
2018-02-12,26.2450008392334
2018-02-13,26.6200008392334
2018-02-14,26.34000015258789
2018-02-15,26.1200008392334
2018-02-16,26.5
2018-02-20,26.145000457763672
2018-02-21,26.25
2018-02-22,25.899999618530273
2018-02-23,24.989999771118164
2018-02-26,22.575000762939453
2018-02-27,21.649999618530273
2018-02-28,20.5
2018-03-01,20.389999389648438
2018-03-02,21.5
2018-03-05,26.850000381469727
2018-03-06,29.0
2018-03-07,27.3700008392334
2018-03-08,26.5
2018-03-09,28.0
2018-03-12,30.299999237060547
2018-03-13,28.459999084472656
2018-03-14,26.989999771118164
2018-03-15,27.299999237060547
2018-03-16,26.09000015258789
2018-03-19,26.25
2018-03-20,27.149999618530273
2018-03-21,26.5
2018-03-22,26.799999237060547
2018-03-23,26.3799991607666
2018-03-26,26.600000381469727
2018-03-27,26.299999237060547
2018-03-28,26.459999084472656
2018-03-29,25.6200008392334
2018-04-02,26.649999618530273
2018-04-03,26.520000457763672
2018-04-04,27.0
2018-04-05,26.770000457763672
2018-04-06,27.0
2018-04-09,26.799999237060547
2018-04-10,26.899999618530273
2018-04-11,26.950000762939453
2018-04-12,27.049999237060547
2018-04-13,27.049999237060547
2018-04-16,26.920000076293945
2018-04-17,27.0
2018-04-18,27.0
2018-04-19,27.5
2018-04-20,31.100000381469727
2018-04-23,30.0
2018-04-24,30.0
2018-04-25,32.0
2018-04-26,33.0
