,ESSCU
2020-03-05,9.989999771118164
2020-03-06,9.979999542236328
2020-03-09,9.949999809265137
2020-03-10,9.960000038146973
2020-03-11,9.989999771118164
2020-03-12,9.84000015258789
2020-03-13,9.8100004196167
2020-03-16,9.75
2020-03-17,9.609999656677246
2020-03-18,9.5
2020-03-19,9.369999885559082
2020-03-20,9.5
2020-03-23,9.399999618530273
2020-03-24,9.5
2020-03-25,9.699999809265137
2020-03-26,9.699999809265137
2020-03-27,9.699999809265137
2020-03-30,9.890000343322754
2020-03-31,9.800000190734863
2020-04-01,9.75
2020-04-02,9.75
2020-04-03,9.75
2020-04-06,9.729999542236328
2020-04-07,9.800000190734863
2020-04-08,10.0
2020-04-09,9.989999771118164
2020-04-13,9.850000381469727
2020-04-14,9.850000381469727
2020-04-15,9.850000381469727
2020-04-16,9.850000381469727
2020-04-17,9.800000190734863
2020-04-20,9.90999984741211
2020-04-21,9.899999618530273
2020-04-22,9.899999618530273
2020-04-23,9.899999618530273
2020-04-24,9.859999656677246
2020-04-27,9.880000114440918
2020-04-28,9.850000381469727
2020-04-29,9.819999694824219
2020-04-30,9.819999694824219
2020-05-01,9.859999656677246
2020-05-04,9.859999656677246
2020-05-05,9.859999656677246
2020-05-06,9.859999656677246
2020-05-07,9.859999656677246
2020-05-08,9.850000381469727
2020-05-11,9.859999656677246
2020-05-12,9.869999885559082
2020-05-13,9.880000114440918
2020-05-14,9.850000381469727
2020-05-15,9.9399995803833
2020-05-18,9.9399995803833
2020-05-19,9.90999984741211
2020-05-20,9.899999618530273
2020-05-21,9.899999618530273
2020-05-22,9.899999618530273
2020-05-26,9.899999618530273
2020-05-27,9.899999618530273
2020-05-28,9.899999618530273
2020-05-29,9.949999809265137
2020-06-01,9.949999809265137
2020-06-02,9.949999809265137
2020-06-03,9.960000038146973
2020-06-04,9.949999809265137
2020-06-05,9.970000267028809
2020-06-08,9.970000267028809
2020-06-09,9.970000267028809
2020-06-10,10.0600004196167
2020-06-11,10.164999961853027
2020-06-12,10.039999961853027
2020-06-15,10.140000343322754
2020-06-16,10.069999694824219
2020-06-17,10.085000038146973
2020-06-18,10.100000381469727
2020-06-19,10.109999656677246
2020-06-22,10.109999656677246
2020-06-23,10.180000305175781
2020-06-24,10.199999809265137
2020-06-25,10.180000305175781
2020-06-26,10.180000305175781
2020-06-29,10.180000305175781
2020-06-30,10.149999618530273
2020-07-01,10.149999618530273
2020-07-02,10.149999618530273
2020-07-06,10.149999618530273
2020-07-07,10.1899995803833
2020-07-08,10.1899995803833
2020-07-09,10.239999771118164
2020-07-10,10.25
2020-07-13,10.274999618530273
2020-07-14,10.170000076293945
2020-07-15,10.279999732971191
2020-07-16,10.25
2020-07-17,10.279999732971191
2020-07-20,10.270000457763672
2020-07-21,10.350000381469727
2020-07-22,10.289999961853027
2020-07-23,10.260000228881836
2020-07-24,10.300000190734863
2020-07-27,10.300000190734863
2020-07-28,10.300000190734863
2020-07-29,10.239999771118164
2020-07-30,10.170000076293945
2020-07-31,10.119999885559082
2020-08-03,10.119999885559082
2020-08-04,10.149999618530273
2020-08-05,10.149999618530273
2020-08-06,10.149999618530273
2020-08-07,10.100000381469727
2020-08-10,10.100000381469727
2020-08-11,10.100000381469727
2020-08-12,10.100000381469727
2020-08-13,10.100000381469727
2020-08-14,10.100000381469727
2020-08-17,10.100000381469727
