,AMRB
1999-01-04,6.660958766937256
1999-01-05,6.822111129760742
1999-01-06,6.660958766937256
1999-01-07,6.660958766937256
1999-01-08,6.6878180503845215
1999-01-11,6.6878180503845215
1999-01-12,6.6878180503845215
1999-01-13,6.6878180503845215
1999-01-14,6.956405162811279
1999-01-15,7.036981105804443
1999-01-19,7.036981105804443
1999-01-20,6.741535186767578
1999-01-21,7.036981105804443
1999-01-22,6.875827789306641
1999-01-25,7.036981105804443
1999-01-26,7.036981105804443
1999-01-27,7.036981105804443
1999-01-28,7.090697765350342
1999-01-29,7.036981105804443
1999-02-01,7.036981105804443
1999-02-02,7.036981105804443
1999-02-03,7.036981105804443
1999-02-04,7.251850128173828
1999-02-05,7.251850128173828
1999-02-08,7.251850128173828
1999-02-09,7.171274185180664
1999-02-10,7.171274185180664
1999-02-11,7.171274185180664
1999-02-12,7.171274185180664
1999-02-16,7.171274185180664
1999-02-17,7.3592848777771
1999-02-18,7.3592848777771
1999-02-19,7.520436763763428
1999-02-22,7.305568218231201
1999-02-23,7.305568218231201
1999-02-24,7.466720104217529
1999-02-25,7.466720104217529
1999-02-26,7.466720104217529
1999-03-01,7.466720104217529
1999-03-02,7.466720104217529
1999-03-03,7.466720104217529
1999-03-04,7.466720104217529
1999-03-05,7.466720104217529
1999-03-08,7.842741966247559
1999-03-09,7.842741966247559
1999-03-10,7.842741966247559
1999-03-11,7.842741966247559
1999-03-12,7.842741966247559
1999-03-15,7.842741966247559
1999-03-16,7.466720104217529
1999-03-17,7.466720104217529
1999-03-18,7.466720104217529
1999-03-19,7.466720104217529
1999-03-22,7.466720104217529
1999-03-23,7.466720104217529
1999-03-24,7.466720104217529
1999-03-25,7.386144161224365
1999-03-26,7.305568218231201
1999-03-29,7.386144161224365
1999-03-30,7.251850128173828
1999-03-31,7.251850128173828
1999-04-01,7.251850128173828
1999-04-05,7.171274185180664
1999-04-06,7.171274185180664
1999-04-07,7.171274185180664
1999-04-08,7.251850128173828
1999-04-09,7.251850128173828
1999-04-12,7.036981105804443
1999-04-13,7.036981105804443
1999-04-14,7.036981105804443
1999-04-15,7.036981105804443
1999-04-16,7.036981105804443
1999-04-19,7.090697765350342
1999-04-20,7.171274185180664
1999-04-21,7.171274185180664
1999-04-22,7.036981105804443
1999-04-23,7.171274185180664
1999-04-26,7.144414901733398
1999-04-27,7.171274185180664
1999-04-28,7.1981329917907715
1999-04-29,7.171274185180664
1999-04-30,7.171274185180664
1999-05-03,7.171274185180664
1999-05-04,7.305568218231201
1999-05-05,7.2787089347839355
1999-05-06,7.171274185180664
1999-05-07,7.2787089347839355
1999-05-10,7.2787089347839355
1999-05-11,7.6815900802612305
1999-05-12,7.3592848777771
1999-05-13,7.3592848777771
1999-05-14,7.305568218231201
1999-05-17,7.305568218231201
1999-05-18,7.305568218231201
1999-05-19,7.305568218231201
1999-05-20,7.305568218231201
1999-05-21,7.305568218231201
1999-05-24,7.3592848777771
1999-05-25,7.3592848777771
1999-05-26,7.3592848777771
1999-05-27,7.3592848777771
1999-05-28,7.3592848777771
1999-06-01,7.090697765350342
1999-06-02,7.144414901733398
1999-06-03,7.305568218231201
1999-06-04,7.305568218231201
1999-06-07,7.305568218231201
1999-06-08,7.305568218231201
1999-06-09,7.1981329917907715
1999-06-10,7.1981329917907715
1999-06-11,7.1981329917907715
1999-06-14,7.251850128173828
1999-06-15,7.305568218231201
1999-06-16,7.305568218231201
1999-06-17,7.305568218231201
1999-06-18,7.305568218231201
1999-06-21,7.1981329917907715
1999-06-22,7.305568218231201
1999-06-23,7.399572849273682
1999-06-24,7.305568218231201
1999-06-25,7.305568218231201
1999-06-28,7.520436763763428
1999-06-29,7.520436763763428
1999-06-30,7.520436763763428
1999-07-01,7.520436763763428
1999-07-02,7.520436763763428
1999-07-06,7.520436763763428
1999-07-07,7.520436763763428
1999-07-08,7.520436763763428
1999-07-09,7.520436763763428
1999-07-12,7.520436763763428
1999-07-13,7.520436763763428
1999-07-14,7.3592848777771
1999-07-15,7.3592848777771
1999-07-16,7.3592848777771
1999-07-19,7.3592848777771
1999-07-20,7.460004806518555
1999-07-21,7.842741966247559
1999-07-22,7.842741966247559
1999-07-23,7.735307216644287
1999-07-26,7.735307216644287
1999-07-27,7.735307216644287
1999-07-28,7.735307216644287
1999-07-29,7.735307216644287
1999-07-30,7.453290939331055
1999-08-02,7.453290939331055
