,APA
1979-05-15,3.559403896331787
1979-05-16,3.7999041080474854
1979-05-17,3.848004102706909
1979-05-18,3.9682540893554688
1979-05-21,4.040403842926025
1979-05-22,4.088503837585449
1979-05-23,3.9682540893554688
1979-05-24,3.920154094696045
1979-05-25,3.9682540893554688
1979-05-29,4.11255407333374
1979-05-30,4.353054046630859
1979-05-31,4.329003810882568
1979-06-01,4.329003810882568
1979-06-04,4.425203800201416
1979-06-05,4.569505214691162
1979-06-06,4.66570520401001
1979-06-07,4.641654968261719
1979-06-08,4.593554973602295
1979-06-11,4.617605209350586
1979-06-12,4.593554973602295
1979-06-13,4.47330379486084
1979-06-14,4.47330379486084
1979-06-15,4.617605209350586
1979-06-18,4.569505214691162
1979-06-19,4.617605209350586
1979-06-20,4.641654968261719
1979-06-21,4.593554973602295
1979-06-22,4.569505214691162
1979-06-25,4.377103805541992
1979-06-26,4.401154041290283
1979-06-27,4.449254035949707
1979-06-28,4.401154041290283
1979-06-29,4.521405220031738
1979-07-02,4.425203800201416
1979-07-03,4.497354030609131
1979-07-05,4.497354030609131
1979-07-06,4.521405220031738
1979-07-09,5.074554920196533
1979-07-10,4.906205177307129
1979-07-11,4.810005187988281
1979-07-12,4.78595495223999
1979-07-13,4.617605209350586
1979-07-16,4.66570520401001
1979-07-17,4.449254035949707
1979-07-18,4.377103805541992
1979-07-19,4.425203800201416
1979-07-20,4.353054046630859
1979-07-23,4.401154041290283
1979-07-24,4.521405220031738
1979-07-25,4.545454978942871
1979-07-26,4.521405220031738
1979-07-27,4.497354030609131
1979-07-30,4.401154041290283
1979-07-31,4.449254035949707
1979-08-01,4.497354030609131
1979-08-02,4.569505214691162
1979-08-03,4.521405220031738
1979-08-06,4.521405220031738
1979-08-07,4.569505214691162
1979-08-08,4.689754962921143
1979-08-09,4.737854957580566
1979-08-10,4.617605209350586
1979-08-13,4.66570520401001
1979-08-14,4.617605209350586
1979-08-15,4.66570520401001
1979-08-16,4.689754962921143
1979-08-17,4.78595495223999
1979-08-20,4.78595495223999
1979-08-21,4.617605209350586
1979-08-22,4.737854957580566
1979-08-23,4.78595495223999
1979-08-24,4.810005187988281
1979-08-27,4.78595495223999
1979-08-28,4.66570520401001
1979-08-29,4.954305171966553
1979-08-30,5.339105129241943
1979-08-31,5.459354877471924
1979-09-04,5.122654914855957
1979-09-05,4.9783549308776855
1979-09-06,4.9783549308776855
1979-09-07,5.218854904174805
1979-09-10,5.170754909515381
1979-09-11,5.074554920196533
1979-09-12,5.194805145263672
1979-09-13,5.315054893493652
1979-09-14,5.531506061553955
1979-09-17,5.603655815124512
1979-09-18,5.507455825805664
1979-09-19,5.4112548828125
1979-09-20,5.4112548828125
1979-09-21,5.627706050872803
1979-09-24,5.459354877471924
1979-09-25,5.555555820465088
1979-09-26,5.555555820465088
1979-09-27,5.483405113220215
1979-09-28,5.483405113220215
1979-10-01,5.507455825805664
1979-10-02,5.675806045532227
1979-10-03,5.820106029510498
1979-10-04,6.012506008148193
1979-10-05,6.469456195831299
1979-10-08,6.34920597076416
1979-10-09,5.555555820465088
1979-10-10,5.363154888153076
1979-10-11,5.315054893493652
1979-10-12,5.4112548828125
1979-10-15,5.363154888153076
1979-10-16,5.459354877471924
1979-10-17,5.435305118560791
1979-10-18,5.675806045532227
1979-10-19,5.555555820465088
1979-10-22,5.218854904174805
1979-10-23,5.194805145263672
1979-10-24,5.339105129241943
1979-10-25,5.242905139923096
1979-10-26,5.315054893493652
1979-10-29,5.2910051345825195
1979-10-30,5.483405113220215
1979-10-31,5.483405113220215
1979-11-01,5.555555820465088
1979-11-02,5.6517558097839355
1979-11-05,5.820106029510498
1979-11-06,6.012506008148193
1979-11-07,5.892255783081055
1979-11-08,5.892255783081055
1979-11-09,6.036555767059326
1979-11-12,6.132756233215332
1979-11-13,6.204905986785889
1979-11-14,6.421356201171875
1979-11-15,6.613757133483887
1979-11-16,6.878306865692139
1979-11-19,7.166906833648682
1979-11-20,7.142857074737549
1979-11-21,7.046657085418701
1979-11-23,7.166906833648682
1979-11-26,7.551708221435547
1979-11-27,7.142857074737549
1979-11-28,7.094757080078125
