,BSMN
2019-09-26,25.0
2019-09-27,24.9950008392334
2019-09-30,24.9950008392334
2019-10-01,24.9950008392334
2019-10-02,25.059999465942383
2019-10-03,25.059999465942383
2019-10-04,25.059999465942383
2019-10-07,25.059999465942383
2019-10-08,25.059999465942383
2019-10-09,25.059999465942383
2019-10-10,25.059999465942383
2019-10-11,25.059999465942383
2019-10-14,25.110000610351562
2019-10-15,25.100000381469727
2019-10-16,25.100000381469727
2019-10-17,25.100000381469727
2019-10-18,25.100000381469727
2019-10-21,25.024999618530273
2019-10-22,25.003999710083008
2019-10-23,25.049999237060547
2019-10-24,25.040000915527344
2019-10-25,25.0049991607666
2019-10-28,25.0049991607666
2019-10-29,25.030000686645508
2019-10-30,25.030000686645508
2019-10-31,25.100000381469727
2019-11-01,25.100000381469727
2019-11-04,25.100000381469727
2019-11-05,25.049999237060547
2019-11-06,25.06999969482422
2019-11-07,25.06999969482422
2019-11-08,25.06999969482422
2019-11-11,25.06999969482422
2019-11-12,25.06999969482422
2019-11-13,25.059999465942383
2019-11-14,25.030000686645508
2019-11-15,25.030000686645508
2019-11-18,25.030000686645508
2019-11-19,25.03499984741211
2019-11-20,25.075000762939453
2019-11-21,25.03499984741211
2019-11-22,25.045000076293945
2019-11-25,25.049999237060547
2019-11-26,25.059999465942383
2019-11-27,25.059999465942383
2019-11-29,25.059999465942383
2019-12-02,25.059999465942383
2019-12-03,25.059999465942383
2019-12-04,25.059999465942383
2019-12-05,25.084999084472656
2019-12-06,25.084999084472656
2019-12-09,25.09000015258789
2019-12-10,25.094999313354492
2019-12-11,25.1299991607666
2019-12-12,25.104999542236328
2019-12-13,25.114999771118164
2019-12-16,25.110000610351562
2019-12-17,25.110000610351562
2019-12-18,25.1200008392334
2019-12-19,25.1200008392334
2019-12-20,25.1200008392334
2019-12-23,25.084999084472656
2019-12-24,25.100000381469727
2019-12-26,25.100000381469727
2019-12-27,25.100000381469727
2019-12-30,25.1299991607666
2019-12-31,25.1299991607666
2020-01-02,25.110000610351562
2020-01-03,25.145000457763672
2020-01-06,25.165000915527344
2020-01-07,25.165000915527344
2020-01-08,25.18000030517578
2020-01-09,25.18000030517578
2020-01-10,25.174999237060547
2020-01-13,25.18000030517578
2020-01-14,25.190000534057617
2020-01-15,25.229999542236328
2020-01-16,25.229999542236328
2020-01-17,25.225000381469727
2020-01-21,25.225000381469727
2020-01-22,25.235000610351562
2020-01-23,25.260000228881836
2020-01-24,25.264999389648438
2020-01-27,25.274999618530273
2020-01-28,25.274999618530273
2020-01-29,25.28499984741211
2020-01-30,25.290000915527344
2020-01-31,25.290000915527344
2020-02-03,25.280000686645508
2020-02-04,25.2549991607666
2020-02-05,25.25
2020-02-06,25.229999542236328
2020-02-07,25.270000457763672
2020-02-10,25.270000457763672
2020-02-11,25.260000228881836
2020-02-12,25.25
2020-02-13,25.25
2020-02-14,25.260000228881836
2020-02-18,25.270000457763672
2020-02-19,25.270000457763672
2020-02-20,25.290000915527344
2020-02-21,25.315000534057617
2020-02-24,25.35099983215332
2020-02-25,25.344999313354492
2020-02-26,25.34000015258789
2020-02-27,25.350000381469727
2020-02-28,25.329999923706055
2020-03-02,25.350000381469727
2020-03-03,25.3799991607666
2020-03-04,25.385000228881836
2020-03-05,25.3799991607666
2020-03-06,25.43000030517578
2020-03-09,25.549999237060547
2020-03-10,25.3700008392334
2020-03-11,25.280000686645508
2020-03-12,24.799999237060547
2020-03-13,24.979999542236328
2020-03-16,24.815000534057617
2020-03-17,24.709999084472656
2020-03-18,24.40999984741211
2020-03-19,23.996999740600586
2020-03-20,23.770000457763672
2020-03-23,23.684999465942383
2020-03-24,23.739999771118164
2020-03-25,24.545000076293945
2020-03-26,24.875
2020-03-27,24.799999237060547
2020-03-30,24.93400001525879
2020-03-31,24.885000228881836
2020-04-01,24.670000076293945
2020-04-02,24.6299991607666
2020-04-03,24.704999923706055
2020-04-06,24.80500030517578
2020-04-07,24.854999542236328
2020-04-08,24.854999542236328
2020-04-09,24.940000534057617
2020-04-13,24.96500015258789
2020-04-14,24.979999542236328
2020-04-15,24.989999771118164
2020-04-16,24.989999771118164
2020-04-17,24.9950008392334
2020-04-20,25.030000686645508
2020-04-21,24.915000915527344
2020-04-22,24.885000228881836
2020-04-23,24.885000228881836
2020-04-24,24.799999237060547
2020-04-27,24.825000762939453
2020-04-28,24.81999969482422
2020-04-29,24.799999237060547
2020-04-30,24.799999237060547
2020-05-01,24.799999237060547
2020-05-04,24.854999542236328
2020-05-05,24.864999771118164
2020-05-06,24.875
2020-05-07,24.915000915527344
2020-05-08,24.975000381469727
2020-05-11,24.975000381469727
2020-05-12,25.003999710083008
2020-05-13,25.03499984741211
2020-05-14,25.06999969482422
2020-05-15,25.06999969482422
2020-05-18,25.114999771118164
2020-05-19,25.149999618530273
2020-05-20,25.200000762939453
2020-05-21,25.209999084472656
2020-05-22,25.260000228881836
2020-05-26,25.274999618530273
2020-05-27,25.315000534057617
2020-05-28,25.295000076293945
2020-05-29,25.31999969482422
2020-06-01,25.334999084472656
2020-06-02,25.395999908447266
2020-06-03,25.325000762939453
2020-06-04,25.325000762939453
2020-06-05,25.334999084472656
2020-06-08,25.360000610351562
2020-06-09,25.354999542236328
2020-06-10,25.375
2020-06-11,25.385000228881836
2020-06-12,25.399999618530273
2020-06-15,25.415000915527344
2020-06-16,25.450000762939453
2020-06-17,25.434999465942383
2020-06-18,25.440000534057617
2020-06-19,25.454999923706055
2020-06-22,25.479999542236328
2020-06-23,25.395000457763672
2020-06-24,25.395000457763672
2020-06-25,25.405000686645508
2020-06-26,25.405000686645508
2020-06-29,25.440000534057617
2020-06-30,25.43000030517578
2020-07-01,25.424999237060547
2020-07-02,25.437000274658203
2020-07-06,25.43000030517578
2020-07-07,25.44499969482422
2020-07-08,25.440000534057617
2020-07-09,25.475000381469727
2020-07-10,25.450000762939453
2020-07-13,25.479999542236328
2020-07-14,25.5
2020-07-15,25.5
2020-07-16,25.55500030517578
2020-07-17,25.565000534057617
2020-07-20,25.55500030517578
2020-07-21,25.514999389648438
2020-07-22,25.520000457763672
2020-07-23,25.524999618530273
2020-07-24,25.584999084472656
2020-07-27,25.604999542236328
2020-07-28,25.610000610351562
2020-07-29,25.559999465942383
2020-07-30,25.579999923706055
2020-07-31,25.579999923706055
2020-08-03,25.584999084472656
2020-08-04,25.594999313354492
2020-08-05,25.600000381469727
2020-08-06,25.625
2020-08-07,25.625
2020-08-10,25.625
2020-08-11,25.625
2020-08-12,25.614999771118164
2020-08-13,25.6200008392334
2020-08-14,25.594999313354492
2020-08-17,25.584999084472656
2020-08-18,25.579999923706055
2020-08-19,25.584999084472656
2020-08-20,25.639999389648438
2020-08-21,25.56999969482422
2020-08-24,25.56999969482422
2020-08-25,25.549999237060547
2020-08-26,25.540000915527344
2020-08-27,25.548999786376953
2020-08-28,25.530000686645508
2020-08-31,25.540000915527344
2020-09-01,25.530000686645508
2020-09-02,25.530000686645508
2020-09-03,25.579999923706055
2020-09-04,25.56999969482422
2020-09-08,25.549999237060547
2020-09-09,25.575000762939453
2020-09-10,25.579999923706055
2020-09-11,25.579999923706055
2020-09-14,25.579999923706055
2020-09-15,25.579999923706055
2020-09-16,25.584999084472656
2020-09-17,25.584999084472656
2020-09-18,25.579999923706055
2020-09-21,25.579999923706055
2020-09-22,25.59000015258789
2020-09-23,25.579999923706055
2020-09-24,25.59000015258789
2020-09-25,25.59000015258789
2020-09-28,25.579999923706055
2020-09-29,25.579999923706055
2020-09-30,25.575000762939453
2020-10-01,25.59000015258789
2020-10-02,25.56999969482422
2020-10-05,25.56999969482422
2020-10-06,25.559999465942383
2020-10-07,25.549999237060547
2020-10-08,25.549999237060547
2020-10-09,25.559999465942383
2020-10-12,25.559999465942383
2020-10-13,25.530000686645508
2020-10-14,25.549999237060547
2020-10-15,25.56999969482422
2020-10-16,25.549999237060547
2020-10-19,25.5
2020-10-20,25.530000686645508
2020-10-21,25.524999618530273
2020-10-22,25.527000427246094
2020-10-23,25.540000915527344
2020-10-26,25.549999237060547
2020-10-27,25.540000915527344
2020-10-28,25.540000915527344
2020-10-29,25.530000686645508
2020-10-30,25.520000457763672
2020-11-02,25.530000686645508
2020-11-03,25.530000686645508
