,ADERU
2021-01-15,10.550000190734863
2021-01-19,10.649999618530273
2021-01-20,10.65999984741211
2021-01-21,10.609999656677246
2021-01-22,10.699999809265137
2021-01-25,10.90999984741211
2021-01-26,10.619999885559082
2021-01-27,10.5
2021-01-28,10.5
2021-01-29,10.5
2021-02-01,10.779999732971191
2021-02-02,10.829999923706055
2021-02-03,11.029999732971191
2021-02-04,10.850000381469727
2021-02-05,10.869999885559082
2021-02-08,10.75
2021-02-09,10.729999542236328
2021-02-10,10.699999809265137
2021-02-11,10.725000381469727
2021-02-12,10.800000190734863
2021-02-16,10.739999771118164
2021-02-17,10.680000305175781
2021-02-18,10.65999984741211
2021-02-19,10.600000381469727
2021-02-22,10.649999618530273
2021-02-23,10.640000343322754
2021-02-24,10.569999694824219
2021-02-25,10.300000190734863
2021-02-26,10.300000190734863
2021-03-01,10.289999961853027
2021-03-02,10.3100004196167
2021-03-03,10.199999809265137
2021-03-04,10.100000381469727
2021-03-05,10.229999542236328
2021-03-08,10.210000038146973
2021-03-09,10.199999809265137
2021-03-10,10.359999656677246
2021-03-11,10.260000228881836
2021-03-12,10.270000457763672
2021-03-15,10.319999694824219
2021-03-16,10.220000267028809
2021-03-17,10.25
2021-03-18,10.229999542236328
2021-03-19,10.140000343322754
2021-03-22,10.180000305175781
2021-03-23,10.109999656677246
2021-03-24,10.050000190734863
2021-03-25,10.0
2021-03-26,10.119999885559082
2021-03-29,10.029999732971191
2021-03-30,10.0
2021-03-31,10.039999961853027
2021-04-01,10.15999984741211
2021-04-05,10.199999809265137
2021-04-06,10.239999771118164
2021-04-07,10.25
2021-04-08,10.180000305175781
2021-04-09,10.350000381469727
2021-04-12,10.199999809265137
2021-04-13,10.199999809265137
2021-04-14,10.300000190734863
2021-04-15,10.199999809265137
2021-04-16,10.170000076293945
2021-04-19,10.199999809265137
2021-04-20,10.020000457763672
2021-04-21,10.039999961853027
2021-04-22,10.050000190734863
2021-04-23,10.100000381469727
2021-04-26,10.109999656677246
2021-04-27,10.020000457763672
2021-04-28,10.239999771118164
2021-04-29,10.270000457763672
2021-04-30,10.079999923706055
2021-05-03,10.130000114440918
2021-05-04,10.15999984741211
2021-05-05,10.220000267028809
2021-05-06,10.220000267028809
2021-05-07,10.210000038146973
2021-05-10,10.140000343322754
2021-05-11,10.109999656677246
2021-05-12,10.149999618530273
2021-05-13,10.109999656677246
2021-05-14,10.149999618530273
