,EXPE
2005-07-21,48.040000915527344
2005-07-22,49.720001220703125
2005-07-25,48.47999954223633
2005-07-26,48.0
2005-07-27,48.13999938964844
2005-07-28,48.099998474121094
2005-07-29,48.68000030517578
2005-08-01,48.70000076293945
2005-08-02,48.099998474121094
2005-08-03,47.70000076293945
2005-08-04,47.20000076293945
2005-08-05,46.7400016784668
2005-08-08,45.0
2005-08-09,47.70000076293945
2005-08-10,47.400001525878906
2005-08-11,45.7400016784668
2005-08-12,44.599998474121094
2005-08-15,42.880001068115234
2005-08-16,42.900001525878906
2005-08-17,43.380001068115234
2005-08-18,43.5
2005-08-19,43.29999923706055
2005-08-22,43.20000076293945
2005-08-23,42.900001525878906
2005-08-24,43.20000076293945
2005-08-25,44.31999969482422
2005-08-26,44.220001220703125
2005-08-29,44.68000030517578
2005-08-30,44.79999923706055
2005-08-31,44.52000045776367
2005-09-01,44.439998626708984
2005-09-02,44.7400016784668
2005-09-06,44.18000030517578
2005-09-07,44.560001373291016
2005-09-08,44.900001525878906
2005-09-09,44.119998931884766
2005-09-12,44.20000076293945
2005-09-13,44.13999938964844
2005-09-14,43.63999938964844
2005-09-15,42.81999969482422
2005-09-16,42.0
2005-09-19,42.099998474121094
2005-09-20,41.880001068115234
2005-09-21,41.29999923706055
2005-09-22,40.5
2005-09-23,40.15999984741211
2005-09-26,40.08000183105469
2005-09-27,39.84000015258789
2005-09-28,39.459999084472656
2005-09-29,40.040000915527344
2005-09-30,39.619998931884766
2005-10-03,40.81999969482422
2005-10-04,41.18000030517578
2005-10-05,40.18000030517578
2005-10-06,40.08000183105469
2005-10-07,40.20000076293945
2005-10-10,40.599998474121094
2005-10-11,40.099998474121094
2005-10-12,39.29999923706055
2005-10-13,39.52000045776367
2005-10-14,40.279998779296875
2005-10-17,40.84000015258789
2005-10-18,39.7400016784668
2005-10-19,39.18000030517578
2005-10-20,39.0
2005-10-21,39.15999984741211
2005-10-24,38.540000915527344
2005-10-25,37.65999984741211
2005-10-26,37.47999954223633
2005-10-27,37.65999984741211
2005-10-28,37.560001373291016
2005-10-31,37.70000076293945
2005-11-01,38.08000183105469
2005-11-02,38.79999923706055
2005-11-03,41.41999816894531
2005-11-04,45.459999084472656
2005-11-07,45.2599983215332
2005-11-08,45.18000030517578
2005-11-09,44.599998474121094
2005-11-10,44.0
2005-11-11,43.0
2005-11-14,43.13999938964844
2005-11-15,43.02000045776367
2005-11-16,42.81999969482422
2005-11-17,43.29999923706055
2005-11-18,43.400001525878906
2005-11-21,45.20000076293945
2005-11-22,46.79999923706055
2005-11-23,45.599998474121094
2005-11-25,46.279998779296875
2005-11-28,46.380001068115234
2005-11-29,47.31999969482422
2005-11-30,49.779998779296875
2005-12-01,49.68000030517578
2005-12-02,49.79999923706055
2005-12-05,48.7599983215332
2005-12-06,48.619998931884766
2005-12-07,49.15999984741211
2005-12-08,49.2400016784668
2005-12-09,49.79999923706055
2005-12-12,50.400001525878906
2005-12-13,50.2400016784668
2005-12-14,50.720001220703125
2005-12-15,50.86000061035156
2005-12-16,52.20000076293945
2005-12-19,50.84000015258789
2005-12-20,49.52000045776367
2005-12-21,48.63999938964844
2005-12-22,48.36000061035156
2005-12-23,47.91999816894531
2005-12-27,47.439998626708984
2005-12-28,47.900001525878906
2005-12-29,47.65999984741211
2005-12-30,47.91999816894531
2006-01-03,48.0
2006-01-04,48.5
2006-01-05,48.0
2006-01-06,48.02000045776367
2006-01-09,48.84000015258789
2006-01-10,50.619998931884766
2006-01-11,50.880001068115234
2006-01-12,51.2599983215332
2006-01-13,51.439998626708984
2006-01-17,51.7400016784668
2006-01-18,51.91999816894531
2006-01-19,51.959999084472656
2006-01-20,50.70000076293945
2006-01-23,51.31999969482422
2006-01-24,50.97999954223633
2006-01-25,50.599998474121094
2006-01-26,51.34000015258789
2006-01-27,52.34000015258789
2006-01-30,52.619998931884766
2006-01-31,52.040000915527344
2006-02-01,52.36000061035156
2006-02-02,51.779998779296875
2006-02-03,50.939998626708984
2006-02-06,51.040000915527344
2006-02-07,51.08000183105469
2006-02-08,51.400001525878906
2006-02-09,50.47999954223633
2006-02-10,48.47999954223633
2006-02-13,48.400001525878906
2006-02-14,47.65999984741211
2006-02-15,48.5
2006-02-16,39.63999938964844
2006-02-17,40.2400016784668
2006-02-21,39.959999084472656
2006-02-22,40.599998474121094
2006-02-23,40.040000915527344
2006-02-24,39.040000915527344
2006-02-27,39.02000045776367
2006-02-28,37.939998626708984
2006-03-01,38.79999923706055
2006-03-02,38.31999969482422
2006-03-03,38.79999923706055
2006-03-06,38.720001220703125
2006-03-07,38.2599983215332
2006-03-08,37.540000915527344
2006-03-09,37.13999938964844
2006-03-10,36.939998626708984
2006-03-13,37.29999923706055
2006-03-14,37.20000076293945
2006-03-15,37.400001525878906
2006-03-16,36.279998779296875
2006-03-17,36.36000061035156
2006-03-20,36.2400016784668
2006-03-21,35.2400016784668
2006-03-22,37.0
2006-03-23,36.97999954223633
2006-03-24,36.97999954223633
2006-03-27,36.560001373291016
2006-03-28,36.540000915527344
2006-03-29,37.439998626708984
2006-03-30,39.619998931884766
2006-03-31,40.540000915527344
2006-04-03,39.099998474121094
2006-04-04,40.86000061035156
2006-04-05,40.20000076293945
2006-04-06,40.2400016784668
2006-04-07,39.52000045776367
2006-04-10,38.52000045776367
2006-04-11,39.47999954223633
2006-04-12,39.63999938964844
2006-04-13,38.7599983215332
2006-04-17,38.02000045776367
