,CASA
2017-12-15,14.399999618530273
2017-12-18,14.600000381469727
2017-12-19,14.899999618530273
2017-12-20,14.789999961853027
2017-12-21,15.699999809265137
2017-12-22,15.109999656677246
2017-12-26,15.739999771118164
2017-12-27,15.850000381469727
2017-12-28,15.739999771118164
2017-12-29,17.760000228881836
2018-01-02,18.549999237060547
2018-01-03,18.200000762939453
2018-01-04,17.700000762939453
2018-01-05,18.799999237060547
2018-01-08,19.1200008392334
2018-01-09,18.479999542236328
2018-01-10,19.040000915527344
2018-01-11,19.68000030517578
2018-01-12,20.510000228881836
2018-01-16,20.420000076293945
2018-01-17,19.959999084472656
2018-01-18,18.43000030517578
2018-01-19,18.530000686645508
2018-01-22,18.170000076293945
2018-01-23,19.229999542236328
2018-01-24,18.75
2018-01-25,18.8700008392334
2018-01-26,17.5
2018-01-29,18.209999084472656
2018-01-30,17.860000610351562
2018-01-31,19.09000015258789
2018-02-01,19.899999618530273
2018-02-02,20.610000610351562
2018-02-05,20.040000915527344
2018-02-06,19.979999542236328
2018-02-07,20.239999771118164
2018-02-08,18.639999389648438
2018-02-09,18.040000915527344
2018-02-12,18.0
2018-02-13,17.979999542236328
2018-02-14,17.969999313354492
2018-02-15,18.709999084472656
2018-02-16,19.270000457763672
2018-02-20,20.670000076293945
2018-02-21,20.100000381469727
2018-02-22,19.40999984741211
2018-02-23,19.639999389648438
2018-02-26,20.25
2018-02-27,22.579999923706055
2018-02-28,22.760000228881836
2018-03-01,22.670000076293945
2018-03-02,21.950000762939453
2018-03-05,23.5
2018-03-06,24.329999923706055
2018-03-07,24.100000381469727
2018-03-08,24.8700008392334
2018-03-09,26.899999618530273
2018-03-12,29.8799991607666
2018-03-13,30.0
2018-03-14,31.200000762939453
2018-03-15,33.59000015258789
2018-03-16,31.549999237060547
2018-03-19,32.099998474121094
2018-03-20,31.510000228881836
2018-03-21,31.420000076293945
2018-03-22,31.989999771118164
2018-03-23,29.700000762939453
2018-03-26,31.75
2018-03-27,29.520000457763672
2018-03-28,27.959999084472656
2018-03-29,29.34000015258789
2018-04-02,28.90999984741211
2018-04-03,29.270000457763672
2018-04-04,28.469999313354492
2018-04-05,29.079999923706055
2018-04-06,27.510000228881836
2018-04-09,28.81999969482422
2018-04-10,29.799999237060547
