Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Velocidad media,Velocidad máxima,Ganancia de altura,Altura perdida,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Tiempo de ascenso,Duración de la inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima
Ciclismo en ruta,2020-12-07 18:00:03,false,"CTS Test","36,99","934","01:25:03","149","178","26,1","40,3","31","31","0,00","0,0","0,0","82","121","211","118,5","229","183","557","0,0","0,0","6837","1:25:03","0:00","22,0","0:00","No","08:00.28","5","0,0"
Ciclismo en ruta,2020-12-05 16:20:28,false,"EM","20,03","562","00:55:00","140","156","21,8","31,6","37","36","0,00","0,0","0,0","82","115","183","57,3","196","170","610","0,0","0,0","4344","55:00","0:00","22,0","0:00","No","54:59.64","1","0,0"
Ciclismo en ruta,2020-12-02 18:21:34,false,"EM","22,00","490","00:41:45","146","173","31,6","46,3","22","32","0,00","0,0","0,0","90","124","216","60,7","226","196","592","0,0","0,0","3640","41:45","0:00","18,0","0:00","No","41:45.50","1","0,0"
Ciclismo en ruta,2020-12-01 18:07:50,false,"SSI 4x12","52,87","1.245","01:49:32","146","166","29,0","41,8","56","55","0,00","0,0","0,0","88","125","205","144,8","222","191","515","0,0","0,0","9469","1:49:32","0:00","21,0","0:00","No","00:05.97","11","0,0"
Ciclismo en ruta,2020-11-30 17:59:21,false,"EM","42,30","1.004","01:27:09","139","161","29,1","41,4","30","27","0,00","0,0","0,0","93","115","205","115,1","218","192","517","0,0","0,0","7830","1:27:09","0:00","17,0","0:00","No","01:25.05","3","0,0"
Ciclismo en ruta,2020-11-29 15:46:29,false,"EM","25,45","589","00:51:57","145","166","29,4","47,8","34","38","0,00","0,0","0,0","94","121","207","69,3","212","189","584","0,0","0,0","4687","51:57","0:00","25,0","0:00","No","51:57.09","1","0,0"
Ciclismo en ruta,2020-11-27 17:37:15,false,"EM","43,02","998","01:30:50","150","172","28,4","42,5","51","51","0,00","0,0","0,0","90","128","200","114,2","207","183","1.437","0,0","0,0","7842","1:30:50","0:00","26,0","0:00","No","01:30:50.02","1","0,0"
Ciclismo en ruta,2020-11-25 17:55:00,false,"SI 5x(5x30”)","45,14","1.039","01:31:24","149","178","29,6","49,1","42","29","0,00","0,0","0,0","80","115","250","178,8","230","194","863","0,0","0,0","6991","1:31:24","0:00","23,0","0:00","No","00:30.00","57","0,0"
Ciclismo en ruta,2020-11-23 17:49:04,false,"EM","36,76","905","01:13:54","151","173","29,9","40,3","31","29","0,00","0,0","0,0","89","114","222","113,5","225","204","512","0,0","0,0","6416","1:13:54","0:00","26,0","0:00","No","36:03.64","2","0,0"
Ciclismo en ruta,2020-11-21 09:50:50,false,"EM","32,46","753","01:08:32","144","172","28,4","45,4","54","60","0,00","0,0","0,0","82","113","204","89,3","201","183","868","0,0","0,0","5372","1:08:32","0:00","21,0","0:00","No","01:08:32.03","1","0,0"
Ciclismo en ruta,2020-11-20 09:07:09,false,"Bragado Ciclismo en ruta","7,16","184","00:19:54","--","--","21,6","39,4","10","16","0,00","0,0","0,0","84","122","205","25,8","--","154","732","0,0","0,0","1442","19:54","0:00","18,0","0:00","No","19:54.24","1","0,0"
Ciclismo en ruta,2020-11-18 17:57:14,false,"T 4x12","47,07","1.193","01:52:09","151","174","25,2","41,3","53","54","0,00","0,0","0,0","89","226","196","133,7","220","178","2.702","0,0","0,0","9461","1:52:09","0:00","16,0","0:00","No","00:00.00","10","0,0"
Ciclismo en ruta,2020-11-16 17:40:04,false,"EM","42,16","1.093","01:36:00","160","174","26,4","44,2","52","52","0,00","0,0","0,0","87","117","205","126,2","229","190","879","0,0","0,0","7978","1:36:00","0:00","21,0","0:00","No","45:00.61","2","0,0"
Ciclismo en ruta,2020-11-12 17:42:06,false,"CR 8x5","40,68","1.088","01:53:20","147","169","21,5","36,5","63","58","0,00","0,0","0,0","71","113","184","121,0","185","162","462","0,0","0,0","7863","1:53:20","0:00","20,0","0:00","No","00:00.00","19","0,0"
Ciclismo en ruta,2020-11-10 17:54:17,false,"PI 10x2","33,88","887","01:31:20","148","176","22,3","34,8","61","60","0,00","0,0","0,0","85","116","198","111,8","198","164","564","0,0","0,0","7494","1:31:20","0:00","18,0","0:00","No","01:20.04","23","0,0"
Ciclismo en ruta,2020-11-09 17:42:50,false,"Bragado Ciclismo en ruta","35,76","925","01:30:53","156","177","23,6","40,0","66","69","0,00","0,0","0,0","82","123","192","105,0","206","170","928","0,0","0,0","7127","1:30:53","0:00","18,0","0:00","No","13:59.97","3","0,0"
Ciclismo en ruta,2020-11-07 15:28:39,false,"Bragado Ciclismo en ruta","43,26","985","01:33:01","151","179","27,9","40,1","38","41","0,00","0,0","0,0","93","132","190","104,9","212","177","627","0,0","0,0","8319","1:33:01","0:00","24,0","0:00","No","01:48.33","3","0,0"
Ciclismo en ruta,2020-11-06 17:38:54,false,"Bragado Ciclismo en ruta","35,85","976","01:19:00","--","--","27,2","42,3","22","24","0,00","0,0","0,0","93","116","216","115,8","224","206","2.478","0,0","0,0","7202","1:19:00","0:00","18,0","0:00","No","00:59.22","4","0,0"
Ciclismo en ruta,2020-11-04 18:01:35,false,"Bragado Ciclismo en ruta","28,90","747","01:06:43","--","--","26,0","37,8","48","50","0,00","0,0","0,0","89","131","201","84,2","211","187","500","0,0","0,0","5758","1:06:43","0:00","18,0","0:00","No","01:06:42.95","1","0,0"
Ciclismo en ruta,2020-11-03 17:52:06,false,"Bragado Ciclismo en ruta","33,89","852","01:16:25","--","--","26,6","49,0","47","51","0,00","0,0","0,0","85","133","210","105,3","215","186","883","0,0","0,0","6110","1:16:25","0:00","19,0","0:00","No","01:16:24.86","1","0,0"
Ciclismo en ruta,2020-11-02 17:49:54,false,"Bragado Ciclismo en ruta","36,88","910","01:17:16","--","--","28,6","46,6","44","46","0,00","0,0","0,0","89","123","221","116,6","226","197","1.855","0,0","0,0","6232","1:17:16","0:00","20,0","0:00","No","01:17:16.19","1","0,0"
Ciclismo en ruta,2020-11-01 08:03:16,false,"Bragado Ciclismo en ruta","42,49","1.008","01:35:40","--","--","26,7","37,0","33","30","0,00","0,0","0,0","90","111","199","113,8","218","175","885","0,0","0,0","7541","1:35:40","0:00","14,0","0:00","No","02:11.29","3","0,0"
Ciclismo en ruta,2020-10-30 11:48:43,false,"Bragado Ciclismo en ruta","23,74","602","00:56:40","--","--","25,1","43,8","40","41","0,00","0,0","0,0","86","136","200","70,7","196","177","844","0,0","0,0","4433","56:40","0:00","16,0","0:00","No","56:40.30","1","0,0"
Ciclismo en ruta,2020-10-29 17:33:49,false,"Bragado Ciclismo en ruta","27,99","812","01:06:22","--","--","25,3","40,9","38","46","0,00","0,0","0,0","84","119","226","106,1","232","204","939","0,0","0,0","5184","1:06:22","0:00","13,0","0:00","No","22:03.92","2","0,0"
Ciclismo en ruta,2020-10-27 11:49:52,false,"Bragado Ciclismo en ruta","23,44","633","00:53:04","--","--","26,5","38,7","49","44","0,00","0,0","0,0","87","124","215","76,4","217","199","659","0,0","0,0","4308","53:04","0:00","19,0","0:00","No","53:03.77","1","0,0"
