,Fecha,NP,FTP,IF,Seconds,TSS,Fatigue,Fitness,Freshness
0,2020-10-12,191,230,0.8304347826086956,3446,66.01214345725688,8.787675179022347,1.5531543960194096,-7.234520783002937
1,2020-10-13,186,230,0.8086956521739129,4216,76.58933837429113,17.81357498400734,3.31862924508011,-14.494945738927226
2,2020-10-14,0,230,0.0,0,0.0,15.442194469178656,3.2405474963168364,-12.20164697286182
3,2020-10-15,207,230,0.9,3261,73.3725,23.153998409555264,4.890634050513486,-18.263364359041773
4,2020-10-16,279,230,1.2130434782608697,460,18.80217391304348,22.574674392661013,5.2179491195489005,-17.356725273112108
5,2020-10-16,207,230,0.9,441,9.9225,20.890390364783002,5.328639266824619,-15.561751097958384
6,2020-10-16,185,230,0.8043478260869565,3728,66.99789960092419,27.028318831586013,6.7796129478896985,-20.248705883696314
7,2020-10-17,0,230,0.0,0,0.0,23.43025226250357,6.620100090075241,-16.810152172428324
8,2020-10-18,166,230,0.7217391304347827,7187,103.99336904011764,34.15498357061093,8.91112887362723,-25.2438546969837
9,2020-10-19,0,230,0.0,0,0.0,29.608200423693162,8.701465041206287,-20.906735382486875
10,2020-10-20,0,230,0.0,0,0.0,25.666694598673573,8.496734245132235,-17.169960353541327
11,2020-10-21,0,230,0.0,0,0.0,22.249890307227467,8.296820419380149,-13.953069887847324
12,2020-10-22,0,230,0.0,0,0.0,19.287938179201273,8.101610228762906,-11.186327950438368
13,2020-10-23,200,230,0.8695652173913043,3370,70.7834488552825,26.14312871383815,9.576408169181182,-16.56672054465697
14,2020-10-24,230,230,1.0,1270,35.27777777777778,27.35915238227484,10.181118046798757,-17.178034335476077
15,2020-10-25,0,230,0.0,0,0.0,23.71704455609159,9.941573511163172,-13.775471044928414
16,2020-10-26,76,230,0.33043478260869563,3330,10.099810964083176,21.904289820731048,9.945296571538826,-11.958993249192224
17,2020-10-27,215,230,0.9347826086956522,3184,77.28439403486664,29.2766056057706,11.529671957211134,-17.74693364855946
18,2020-10-28,0,230,0.0,0,0.0,25.379242379344806,11.258398222605027,-14.120844156739784
19,2020-10-29,226,230,0.982608695652174,3982,106.79722327242176,36.217774993930796,13.506265635253627,-22.711509358677173
20,2020-10-30,200,230,0.8695652173913043,3400,71.41356857802981,40.90311295580514,14.86872680401474,-26.0343861517904
21,2020-10-31,0,230,0.0,0,0.0,35.4580046523728,14.518890740687695,-20.93911391168511
22,2020-11-01,199,230,0.8652173913043478,5740,119.36029195547151,46.62725335392498,16.985632080287008,-29.641621273637966
23,2020-11-02,221,230,0.9608695652173912,4636,118.89670027305188,56.247913911691924,19.383427626330985,-36.864486285360925
24,2020-11-03,210,230,0.9130434782608696,4585,106.1743856332703,62.8942306853316,21.42547248207025,-41.46875820326135
25,2020-11-04,201,230,0.8739130434782608,4003,84.92186672967864,65.82659585909367,22.919435542380683,-42.90716031671299
26,2020-11-05,0,230,0.0,0,0.0,57.06362116603512,22.380179881185832,-34.68344128484929
27,2020-11-06,216,230,0.9391304347826088,4740,116.12551984877126,64.92606516342296,24.585849614835173,-40.34021554858778
28,2020-11-07,190,230,0.8260869565217391,5581,105.79400336063853,70.36649092911605,26.49654050255923,-43.86995042655683
29,2020-11-08,0,230,0.0,0,0.0,60.99915586942233,25.873121594983488,-35.12603427443884
30,2020-11-09,192,230,0.8347826086956521,5453,105.555236294896,66.93055487456121,27.747907357854924,-39.18264751670628
31,2020-11-10,198,230,0.8608695652173913,5480,112.81134215500946,73.03830163844964,29.74930650619885,-43.28899513225078
32,2020-11-11,0,230,0.0,0,0.0,63.315289525659466,29.04935550084255,-34.26593402481693
33,2020-11-12,184,230,0.8,6800,120.88888888888887,70.97960799183419,31.21018482010827,-39.76942317172592
34,2020-11-13,0,230,0.0,0,0.0,61.53065350105242,30.475861812019357,-31.05479168903306
35,2020-11-14,0,230,0.0,0,0.0,53.33956367724848,29.75881618576324,-23.580747491485237
36,2020-11-15,0,230,0.0,0,0.0,46.23888893412422,29.058641433686304,-17.18024750043793
37,2020-11-16,205,230,0.8913043478260869,5760,127.1077504725898,57.00432162693653,31.365571594621997,-25.638750032314533
38,2020-11-17,0,230,0.0,0,0.0,49.4157866086426,30.627592597812228,-18.788194010830363
39,2020-11-18,196,230,0.8521739130434782,6729,135.73895400126025,60.90730795216449,33.10068564532186,-27.806622306842627
40,2020-11-19,0,230,0.0,0,0.0,52.79919919700989,32.32188234143313,-20.477316855576753
41,2020-11-20,205,230,0.8913043478260869,1194,26.34837744171393,49.2780102516113,32.18133584636818,-17.09667440524312
